sample	site	station	molecule	slope
north1_all	N1_DNA	N1	DNA	N
north1_active	N1_RNA	N1	RNA	N
north2_all	N1_DNA	N1	DNA	N
north2_active	N1_RNA	N1	RNA	N
north3_all	N1_DNA	N1	DNA	N
north3_active	N1_RNA	N1	RNA	N
north4_all	N1_DNA	N1	DNA	N
north4_active	N1_RNA	N1	RNA	N
north5_all	N1_DNA	N1	DNA	N
north5_active	N1_RNA	N1	RNA	N
north6_all	N1_DNA	N1	DNA	N
north6_active	N1_RNA	N1	RNA	N
north7_all	N1_DNA	N1	DNA	N
north7_active	N1_RNA	N1	RNA	N
north8_all	N1_DNA	N1	DNA	N
north8_active	N1_RNA	N1	RNA	N
north9_all	N1_DNA	N1	DNA	N
north9_active	N1_RNA	N1	RNA	N
north10_all	N1_DNA	N1	DNA	N
north10_active	N1_RNA	N1	RNA	N
north11_all	N2_DNA	N2	DNA	N
north11_active	N2_RNA	N2	RNA	N
north12_all	N2_DNA	N2	DNA	N
north12_active	N2_RNA	N2	RNA	N
north13_all	N2_DNA	N2	DNA	N
north13_active	N2_RNA	N2	RNA	N
north14_all	N2_DNA	N2	DNA	N
north14_active	N2_RNA	N2	RNA	N
north15_all	N2_DNA	N2	DNA	N
north15_active	N2_RNA	N2	RNA	N
north16_all	N2_DNA	N2	DNA	N
north16_active	N2_RNA	N2	RNA	N
north17_all	N2_DNA	N2	DNA	N
north17_active	N2_RNA	N2	RNA	N
north18_all	N2_DNA	N2	DNA	N
north18_active	N2_RNA	N2	RNA	N
north19_all	N2_DNA	N2	DNA	N
north19_active	N2_RNA	N2	RNA	N
north20_all	N2_DNA	N2	DNA	N
north20_active	N2_RNA	N2	RNA	N
south21_all	S1_DNA	S1	DNA	S
south21_active	S1_RNA	S1	RNA	S
south22_all	S1_DNA	S1	DNA	S
south22_active	S1_RNA	S1	RNA	S
south23_all	S1_DNA	S1	DNA	S
south23_active	S1_RNA	S1	RNA	S
south24_all	S1_DNA	S1	DNA	S
south24_active	S1_RNA	S1	RNA	S
south25_all	S1_DNA	S1	DNA	S
south25_active	S1_RNA	S1	RNA	S
south26_all	S1_DNA	S1	DNA	S
south26_active	S1_RNA	S1	RNA	S
south27_all	S1_DNA	S1	DNA	S
south27_active	S1_RNA	S1	RNA	S
south28_all	S1_DNA	S1	DNA	S
south28_active	S1_RNA	S1	RNA	S
south29_all	S1_DNA	S1	DNA	S
south29_active	S1_RNA	S1	RNA	S
south30_all	S1_DNA	S1	DNA	S
south30_active	S1_RNA	S1	RNA	S
south31_all	S2_DNA	S2	DNA	S
south31_active	S2_RNA	S2	RNA	S
south32_all	S2_DNA	S2	DNA	S
south32_active	S2_RNA	S2	RNA	S
south33_all	S2_DNA	S2	DNA	S
south33_active	S2_RNA	S2	RNA	S
south34_all	S2_DNA	S2	DNA	S
south34_active	S2_RNA	S2	RNA	S
south35_all	S2_DNA	S2	DNA	S
south35_active	S2_RNA	S2	RNA	S
south36_all	S2_DNA	S2	DNA	S
south36_active	S2_RNA	S2	RNA	S
south37_all	S2_DNA	S2	DNA	S
south37_active	S2_RNA	S2	RNA	S
south38_all	S2_DNA	S2	DNA	S
south38_active	S2_RNA	S2	RNA	S
south39_all	S2_DNA	S2	DNA	S
south39_active	S2_RNA	S2	RNA	S
south40_all	S2_DNA	S2	DNA	S
south40_active	S2_RNA	S2	RNA	S
