label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221
0.03	north1_all	80	4343	1943	1322	884	748	515	483	468	348	262	278	237	218	211	184	162	126	130	132	105	98	71	87	83	71	74	77	66	65	68	64	45	38	46	30	46	47	25	31	41	29	27	27	30	26	29	22	23	21	9	21	13	17	11	16	12	12	15	7	13	13	12	9	14	14	7	10	8	9	5	8	8	4	1	12	6	9	4	9	1	2	5	6	6	1	7	5	7	2	2	3	3	6	6	1	6	2	1	1	1	2	0	2	2	1	2	0	0	1	0	3	1	0	3	0	1	0	3	2	1	1	1	2	2	0	0	0	0	0	1	2	0	0	0	2	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2875	1205	857	522	500	287	323	308	187	147	192	118	152	138	119	98	80	76	71	57	56	35	49	44	30	37	52	37	40	40	43	24	19	28	17	31	33	15	22	30	19	17	20	15	16	18	16	13	14	3	18	7	10	4	7	10	7	9	3	7	10	7	5	6	11	5	2	7	7	3	4	5	2	0	8	3	7	2	7	1	0	4	2	3	1	4	4	6	1	1	2	1	4	4	1	3	1	0	1	0	2	0	1	2	1	0	0	0	0	0	0	1	0	2	0	1	0	2	2	0	0	0	2	2	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4245	1989	1253	903	794	557	482	407	331	295	286	213	231	209	201	180	122	161	111	114	95	97	79	73	76	79	71	54	57	58	44	44	42	34	29	32	41	29	29	22	32	17	36	31	27	15	29	13	11	16	14	11	11	16	14	9	8	12	14	6	3	7	15	7	16	8	6	11	9	12	8	3	5	5	5	7	6	6	10	8	2	5	2	4	7	5	7	6	7	2	1	2	8	3	3	4	4	0	1	4	1	9	2	1	1	2	4	1	1	1	0	1	4	0	1	0	0	3	0	2	1	0	0	0	0	1	0	0	0	0	0	2	1	0	3	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2820	1204	811	516	516	351	314	275	202	174	194	120	175	142	128	119	89	102	73	70	52	55	50	45	40	32	54	34	34	43	29	22	16	21	15	18	25	17	20	16	18	8	20	21	16	8	21	4	8	7	8	6	6	7	10	5	5	9	10	3	1	5	14	1	11	5	5	6	6	8	6	2	4	5	5	5	4	5	7	5	0	4	2	4	4	3	5	4	3	1	0	1	5	3	1	2	2	0	0	2	1	8	0	1	1	1	3	1	0	1	0	1	4	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4244	1934	1284	868	724	482	486	442	304	277	281	198	232	227	200	168	168	121	124	124	103	115	80	73	81	76	48	65	67	46	54	46	27	50	38	27	24	45	31	30	23	22	25	23	25	24	29	21	25	13	17	20	16	7	12	14	17	11	11	7	9	10	7	9	6	6	15	5	9	9	6	9	2	10	4	8	4	8	3	2	4	0	3	0	2	3	5	1	4	4	1	4	3	2	3	1	4	1	1	4	0	1	5	0	1	0	1	3	3	1	2	2	0	1	0	3	1	1	1	2	0	2	0	0	0	0	2	2	0	3	2	0	0	0	1	3	4	1	1	2	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2784	1196	823	502	490	280	297	300	174	153	186	101	147	138	133	102	111	82	65	80	63	76	50	45	52	40	30	39	37	30	36	27	18	35	24	21	15	19	19	19	14	13	15	14	13	15	16	13	15	5	11	13	12	4	5	8	11	5	8	3	4	4	4	3	2	3	7	3	6	6	3	6	2	5	3	6	2	6	3	1	3	0	3	0	0	3	5	1	4	2	0	2	2	0	2	0	3	1	1	0	0	0	4	0	1	0	1	1	2	1	2	1	0	1	0	3	1	0	0	2	0	2	0	0	0	0	2	2	0	3	2	0	0	0	0	2	2	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4421	1974	1326	832	771	516	521	427	352	293	291	222	223	223	188	152	145	152	111	143	101	96	86	78	90	67	70	72	60	49	67	58	30	44	41	47	39	30	27	26	25	27	29	22	21	16	20	22	20	25	25	11	18	12	16	12	20	8	18	9	5	13	6	8	11	9	7	13	10	11	8	9	9	7	8	10	4	6	6	2	5	6	7	3	6	2	4	3	0	2	5	6	0	1	1	1	5	1	4	0	1	0	0	1	3	2	1	1	0	1	1	1	2	0	0	0	3	3	0	2	2	0	0	2	0	1	2	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	2	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	2978	1220	867	481	524	294	333	282	201	176	191	104	158	152	126	83	95	101	60	90	56	54	48	51	47	38	47	45	42	41	45	28	13	26	32	30	32	14	18	18	17	8	20	11	17	6	13	14	10	21	16	9	10	7	9	4	13	5	11	4	5	10	5	5	6	8	4	9	7	6	6	7	8	6	5	8	4	5	4	2	1	1	2	0	5	2	2	1	0	0	1	5	0	1	1	0	4	0	3	0	1	0	0	1	3	2	1	1	0	0	1	0	2	0	0	0	1	2	0	2	1	0	0	2	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4060	2027	1303	930	730	559	505	423	369	290	305	224	224	190	182	150	173	127	115	87	108	78	84	85	70	75	78	70	49	68	54	48	33	50	43	37	53	26	34	23	33	25	26	42	17	19	28	16	23	19	14	13	14	21	10	20	10	9	7	8	7	7	18	9	3	5	7	6	4	8	8	10	5	7	7	12	6	6	8	5	9	8	1	5	4	3	3	3	5	5	1	4	3	3	5	6	4	2	5	1	0	0	2	0	1	1	0	1	1	1	1	2	1	0	1	1	3	2	1	1	3	1	2	1	2	2	1	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2724	1259	860	530	479	325	317	284	237	156	197	116	162	126	110	94	118	87	80	46	61	44	55	59	41	48	40	52	35	52	32	35	17	37	21	22	39	12	26	13	20	19	13	24	12	3	20	10	17	11	9	8	9	13	6	15	5	2	4	4	5	4	11	5	3	4	4	4	4	7	6	8	4	4	6	9	5	1	5	1	4	6	0	3	2	3	2	2	3	1	1	1	3	2	3	3	3	2	5	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	1	1	0	1	1	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
