label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207
0.03	north1_all	80	4928	2373	1644	1055	888	717	616	462	442	389	296	264	208	228	178	221	194	184	145	108	124	98	84	78	96	105	105	82	73	51	66	50	62	62	44	61	40	25	42	18	25	30	34	26	22	35	31	18	22	20	20	32	14	16	16	11	13	18	14	7	9	14	10	13	13	8	5	11	4	14	6	12	11	9	3	2	4	12	7	4	8	7	0	4	5	1	5	1	3	3	2	4	2	4	1	1	1	4	1	1	1	1	0	1	2	2	3	1	1	2	1	1	3	0	2	0	1	0	0	3	1	0	0	0	1	1	0	2	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2477	1222	850	506	445	349	305	217	216	212	159	118	84	116	77	108	111	96	70	42	57	46	43	39	57	61	58	36	36	27	29	30	28	30	19	31	19	16	14	6	18	12	15	11	11	17	15	9	7	6	11	18	7	9	8	1	4	9	4	3	6	3	6	5	10	6	3	7	2	8	2	5	8	4	2	1	2	5	2	1	4	6	0	1	3	1	0	0	1	1	0	2	1	1	0	0	1	3	0	1	1	1	0	0	0	1	0	0	0	0	1	0	2	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4949	2354	1709	1051	866	739	636	438	434	398	322	282	208	245	178	221	189	175	144	116	120	87	74	90	94	111	109	86	85	55	61	44	70	69	41	62	46	31	46	21	38	29	34	20	25	33	27	18	29	20	27	22	13	14	17	7	8	17	12	7	11	18	9	15	18	10	6	10	4	9	4	8	9	9	3	5	9	13	7	5	7	5	2	6	4	1	6	1	3	4	3	4	4	6	1	0	1	4	1	1	3	3	0	6	1	4	3	2	1	3	0	1	4	0	2	0	0	0	1	1	2	0	0	0	1	0	0	2	0	0	1	1	0	1	0	1	1	2	0	0	0	0	1	1	1	0	0	0	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2533	1198	925	525	438	369	314	199	219	207	182	138	93	121	73	108	105	90	71	45	59	39	38	47	48	63	59	39	39	27	31	23	34	35	17	39	21	16	15	8	20	16	16	8	11	13	14	7	12	8	15	10	3	7	8	2	3	7	6	5	8	8	7	8	11	5	4	7	2	5	0	2	8	3	2	3	4	8	3	3	2	5	0	2	3	1	2	0	0	1	0	2	1	3	1	0	1	3	0	1	2	2	0	5	0	1	0	1	0	1	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4956	2374	1759	1063	837	723	606	451	447	424	334	275	229	221	188	206	179	164	134	124	123	97	84	95	97	113	104	89	70	59	50	44	71	76	50	53	41	39	44	21	34	35	32	22	25	33	23	15	25	20	26	26	18	15	16	9	13	16	9	11	12	16	7	17	15	8	10	7	4	4	3	7	10	8	5	8	11	7	6	8	3	5	3	6	4	2	10	4	2	3	4	1	4	5	1	2	0	1	1	2	2	2	1	8	0	4	2	2	0	3	0	1	2	0	1	0	0	0	2	0	1	0	0	0	1	0	1	2	0	0	1	1	0	1	0	1	1	2	0	0	0	0	0	1	1	0	0	0	1	0	4	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	2552	1209	962	545	422	369	295	221	241	219	184	147	110	108	86	95	99	92	68	48	63	48	41	44	47	65	56	50	26	23	30	19	33	42	22	30	22	20	18	10	15	17	18	11	11	12	13	4	13	10	12	10	7	7	6	3	4	6	7	7	9	8	4	9	8	3	9	4	2	3	1	3	10	3	2	4	5	7	3	4	0	5	0	2	3	2	6	3	0	0	3	0	1	3	1	0	0	1	0	2	1	1	0	5	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	4929	2429	1823	1094	810	703	612	423	472	429	326	268	234	201	199	187	166	157	129	121	130	98	99	97	90	121	113	83	79	70	52	45	57	70	48	48	35	43	49	28	33	41	32	23	18	30	23	23	27	20	23	29	19	14	18	18	12	12	8	11	11	13	5	21	16	9	9	7	5	2	5	11	11	8	9	8	10	6	4	8	4	5	5	7	4	3	10	5	3	3	4	0	2	5	2	2	2	1	4	2	5	4	1	9	0	4	2	2	1	3	0	2	2	0	1	0	0	4	3	0	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	1	2	1	0	0	0	0	0	1	0	0	0	1	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	2513	1244	996	560	415	370	314	196	243	222	165	138	125	104	101	92	84	86	59	50	69	52	49	46	46	67	56	45	29	20	31	23	29	40	22	28	16	21	17	14	13	23	18	12	8	9	12	8	15	13	12	14	8	6	6	11	4	5	7	7	9	9	2	9	6	4	7	5	4	2	2	6	10	4	2	5	3	6	2	5	1	5	0	3	4	3	6	3	0	0	3	0	0	3	2	0	0	0	4	2	3	2	0	6	0	0	0	2	0	3	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	4947	2424	1759	1085	816	714	585	464	444	443	317	290	243	199	208	202	161	182	118	117	143	114	102	103	127	117	111	83	66	72	45	56	56	64	41	47	39	48	49	35	29	41	26	26	16	35	26	27	30	16	14	30	18	13	21	24	14	14	10	10	10	11	8	17	13	5	7	8	7	6	8	13	13	6	11	8	7	3	6	9	3	3	4	6	4	3	9	4	1	3	3	0	2	4	2	5	3	1	10	3	4	2	1	3	1	3	2	1	1	2	0	1	2	0	1	1	0	4	3	0	0	2	0	2	1	0	1	0	0	1	0	1	0	2	1	0	0	0	1	0	1	1	0	0	2	0	0	0	1	0	1	0	2	0	1	0	0	0	1	0	3	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	2546	1235	939	534	427	366	303	224	228	241	149	147	129	93	110	94	79	109	43	53	78	54	51	51	67	66	53	43	25	24	25	29	21	33	21	24	19	22	19	16	14	22	14	14	9	17	12	12	10	11	6	16	10	8	9	16	5	4	7	5	7	7	4	8	5	3	6	3	5	4	4	6	10	3	2	5	2	2	3	6	1	3	0	3	4	3	6	3	0	0	3	0	0	2	2	3	0	0	5	3	2	1	0	1	1	2	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
