label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205
0.03	north1_all	80	4388	1974	1499	1030	761	560	450	423	358	320	314	327	250	264	158	216	183	199	132	150	144	134	112	89	78	71	71	59	83	85	83	44	35	51	39	48	57	31	45	61	51	54	30	30	33	29	24	16	18	20	19	14	32	21	13	21	12	8	15	9	5	15	6	13	15	12	11	13	12	4	9	4	8	7	12	5	6	9	8	4	7	7	8	5	4	4	4	4	1	3	2	2	1	1	5	4	4	4	0	2	1	1	1	6	0	3	4	0	1	0	1	2	2	0	1	0	0	0	0	2	1	1	0	0	0	0	1	3	1	0	1	1	3	0	0	0	0	4	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0
0.03	north1_active	80	2117	889	753	491	336	242	195	179	154	145	151	177	128	134	60	100	99	113	59	79	82	69	55	51	25	34	33	26	44	48	52	21	18	29	16	18	29	14	19	30	34	36	14	17	17	13	5	8	12	8	12	7	8	8	4	8	3	1	6	3	1	8	4	6	12	4	6	9	4	1	1	2	2	3	6	1	5	7	5	4	2	5	2	2	1	3	2	3	0	0	1	1	0	0	2	4	1	0	0	1	0	1	1	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_all	80	4374	1897	1543	1045	729	528	425	410	352	341	290	322	251	245	165	200	195	160	129	147	120	129	100	83	74	70	70	59	83	82	71	45	40	52	39	49	46	32	45	55	52	52	28	28	26	30	22	16	20	23	18	19	23	23	12	21	14	8	17	9	7	16	5	14	12	8	15	8	10	7	8	5	5	6	13	5	7	10	5	4	4	9	6	7	5	4	3	5	2	3	1	4	0	2	4	4	3	4	0	0	0	2	2	6	0	2	3	1	1	1	1	2	1	0	0	0	1	0	1	2	2	0	0	0	0	0	2	0	0	1	1	1	3	1	0	0	0	3	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_active	80	2096	844	786	521	323	215	171	177	148	163	141	171	119	125	74	94	110	84	64	70	67	70	50	42	21	34	29	24	44	42	37	25	19	29	19	22	18	16	17	24	30	34	11	18	13	15	8	8	13	11	10	12	5	13	2	8	5	1	6	3	4	8	3	7	7	3	8	6	3	3	2	3	2	2	6	3	5	8	4	3	1	6	0	4	1	3	3	4	0	1	1	1	0	1	2	3	0	2	0	0	0	1	2	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north3_all	80	4348	1846	1542	1094	746	527	467	399	365	343	283	297	219	234	175	211	193	153	117	127	114	125	108	83	81	73	64	70	78	77	66	52	42	45	40	53	52	37	40	58	44	47	23	30	27	27	20	16	19	24	21	16	22	21	10	23	17	9	18	10	8	17	10	12	10	6	13	9	10	8	7	8	9	8	10	5	9	11	5	4	6	10	4	9	5	5	4	4	3	4	1	5	0	2	3	3	2	4	0	1	1	2	1	4	0	0	3	3	0	2	1	1	0	1	0	0	1	0	1	3	2	0	0	0	0	1	2	0	0	1	1	0	3	1	1	1	0	4	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north3_active	80	2033	770	754	567	326	226	199	170	155	163	138	150	102	110	79	97	104	76	64	63	66	62	53	42	27	41	24	30	44	34	34	26	20	24	22	25	18	21	15	24	22	29	9	19	16	12	9	7	11	10	11	13	7	9	0	12	9	2	7	3	5	8	6	5	5	4	6	7	3	4	2	6	5	5	3	2	7	9	3	3	0	7	0	4	2	4	3	3	1	1	1	2	0	1	0	2	0	2	0	1	1	1	1	1	0	0	1	2	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north4_all	80	4402	1856	1521	1113	737	516	483	392	349	351	269	257	204	235	189	182	207	147	110	125	116	126	105	86	76	62	61	61	79	62	84	69	43	44	43	52	47	37	41	40	47	37	22	29	26	27	18	14	16	24	22	24	20	18	10	18	20	9	13	16	9	18	18	11	12	7	16	10	6	11	5	10	8	7	6	5	8	11	8	2	5	12	6	8	3	3	4	4	7	3	3	4	2	2	4	3	2	2	0	2	1	1	2	4	3	2	2	4	0	2	2	3	0	2	0	2	1	0	1	2	2	0	0	3	0	1	2	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	2042	791	778	587	329	213	203	183	151	164	124	124	93	105	89	94	114	75	60	74	65	62	51	45	27	30	20	22	48	32	44	32	23	23	23	26	19	20	17	15	27	26	7	19	15	12	10	4	9	14	11	18	8	7	1	10	11	3	4	9	6	10	10	4	5	4	10	7	5	6	2	5	5	3	2	2	7	9	6	0	0	9	0	3	2	1	3	3	4	1	1	1	0	1	1	1	0	2	0	2	1	0	1	1	2	0	0	3	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	3	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4382	1857	1498	1171	722	531	503	393	372	336	266	279	196	221	198	173	197	164	109	125	135	123	122	88	71	64	61	71	87	68	66	71	47	38	45	48	47	37	45	35	45	30	21	28	21	24	24	20	16	24	26	21	15	21	10	19	25	13	13	20	5	18	21	12	18	8	13	9	7	12	2	9	11	6	5	5	5	5	7	2	6	12	4	5	2	4	3	5	6	4	3	2	3	0	3	2	3	2	0	2	2	1	1	0	3	2	1	4	0	2	2	2	0	2	0	2	1	1	1	2	3	0	0	3	1	1	1	0	1	2	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0
0.03	north5_active	80	2038	809	748	597	328	236	221	174	175	150	130	139	85	108	89	93	105	76	57	80	77	63	59	40	26	27	31	27	45	38	35	36	21	23	25	23	18	16	22	15	32	17	8	16	9	10	14	7	8	12	12	13	8	8	3	13	14	4	3	12	5	11	12	4	10	3	8	5	5	7	0	4	4	3	2	0	5	3	4	0	0	8	0	1	1	2	1	3	4	1	1	1	0	0	1	0	1	2	0	2	1	0	0	0	2	0	0	2	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	3	1	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
