label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95
0.03	north1_all	80	5747	2636	1548	1272	1014	807	531	494	324	320	190	204	142	120	149	139	85	77	66	73	34	43	42	40	31	33	28	33	15	17	18	12	21	11	10	7	9	13	7	6	2	4	5	2	4	7	5	4	0	0	0	1	3	1	1	1	1	3	0	2	2	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	2718	1231	711	620	547	479	269	271	146	167	70	95	48	63	79	82	37	47	31	43	14	19	18	18	11	15	17	17	8	5	12	8	6	3	5	3	2	6	5	6	0	3	2	1	0	1	1	3	0	0	0	0	2	1	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5745	2593	1594	1269	1079	808	522	452	342	342	190	205	144	117	145	149	105	88	72	79	35	39	36	38	27	35	29	32	14	18	19	16	19	8	15	5	12	10	12	8	4	5	4	2	3	6	6	6	0	1	0	1	0	1	1	1	0	3	0	1	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2721	1245	756	622	590	470	246	249	161	183	57	96	52	62	74	96	41	55	34	43	14	18	14	16	12	16	19	18	9	8	13	12	8	2	7	1	7	6	8	6	0	3	0	1	0	1	2	5	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5820	2545	1596	1271	1071	814	507	443	343	315	192	205	135	116	144	137	97	85	78	79	34	37	40	34	23	37	28	34	20	21	20	14	13	9	11	3	15	12	11	7	4	3	3	2	2	7	6	7	0	2	0	2	0	1	1	1	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	2783	1210	743	631	552	453	237	250	158	170	71	100	49	59	64	85	31	54	37	39	16	16	18	13	11	20	16	20	12	11	11	10	6	2	6	1	9	7	7	4	0	2	1	1	0	2	2	7	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5876	2644	1626	1263	1073	872	515	430	363	293	208	208	125	124	138	125	104	106	75	70	43	36	38	38	22	31	33	33	21	23	19	9	9	10	13	6	12	7	10	6	4	3	3	3	2	3	6	6	0	2	0	4	0	1	0	1	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	2818	1239	778	636	558	491	249	231	160	151	78	97	51	62	60	81	36	64	34	36	16	16	15	14	9	17	18	18	10	15	10	5	4	3	7	2	8	4	7	2	1	1	1	1	1	2	3	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5900	2673	1607	1266	1021	846	545	445	367	289	209	175	129	125	148	123	92	107	76	70	40	40	49	35	23	31	27	23	24	19	17	11	7	12	10	6	10	9	7	3	3	8	4	1	1	1	5	10	2	2	2	4	0	1	0	1	4	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	2842	1232	744	649	542	463	263	226	170	147	86	91	55	59	66	66	31	63	36	34	12	17	20	12	9	18	14	13	11	11	9	6	3	4	7	2	4	5	5	1	1	6	1	0	1	1	2	4	2	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	5918	2676	1612	1265	988	833	537	458	362	284	219	190	139	138	151	119	80	99	60	67	44	40	46	35	33	33	22	20	27	12	15	12	7	12	9	11	8	7	4	8	3	8	5	5	2	1	4	6	2	0	2	2	0	1	0	0	5	1	0	1	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2902	1243	727	642	514	449	278	226	172	132	92	95	65	59	69	58	37	56	25	38	14	18	21	14	10	16	14	6	13	6	7	5	2	5	6	3	2	5	4	4	1	6	2	1	1	0	3	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5836	2677	1584	1256	973	812	533	482	350	272	211	191	152	142	152	129	81	93	72	72	44	49	48	33	34	32	22	22	23	20	18	16	8	13	5	13	10	9	4	8	5	8	9	5	1	3	5	6	2	0	3	1	0	2	1	0	5	1	0	1	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2879	1247	696	633	524	438	271	242	177	119	100	105	67	68	71	64	37	53	31	40	15	17	24	11	13	15	14	9	12	12	10	8	2	5	4	4	1	4	4	5	1	6	4	1	0	2	3	1	2	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	5861	2622	1547	1244	1008	772	530	490	379	289	232	194	163	133	134	134	84	82	82	69	50	49	51	37	30	34	19	18	17	22	14	18	7	20	7	12	10	9	5	9	3	4	8	7	3	4	4	6	0	1	3	0	1	2	1	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2872	1235	692	646	553	418	278	223	204	122	108	100	71	64	57	65	39	42	40	35	19	22	24	16	12	13	12	8	9	11	8	8	2	10	5	3	2	6	4	6	1	1	5	2	2	2	2	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	5939	2611	1539	1205	963	831	502	468	351	314	229	193	149	141	130	136	81	86	87	56	57	51	46	35	28	29	17	17	20	30	14	17	10	17	6	11	10	7	6	5	3	6	7	6	3	4	3	3	1	2	1	0	1	2	1	3	0	1	0	1	0	0	2	2	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
