label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84
0.03	north1_all	80	6234	2643	1583	1137	765	706	468	477	368	307	206	159	151	133	112	88	87	66	73	57	52	39	33	39	32	23	24	44	21	15	28	13	17	15	10	7	15	5	3	4	7	3	3	8	1	2	5	3	0	4	2	3	7	1	1	3	1	0	0	1	2	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	3160	1052	444	528	317	437	168	303	216	162	78	66	71	70	34	36	49	46	37	18	16	17	22	27	13	12	9	21	16	7	19	4	15	12	8	1	13	2	2	3	3	1	0	8	1	2	4	2	0	3	0	2	6	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6219	2644	1625	1155	790	682	447	541	357	301	211	182	155	125	109	93	90	82	73	58	54	32	40	37	26	20	18	34	18	13	21	13	16	11	14	6	15	5	6	8	8	5	3	7	3	3	1	2	0	1	4	4	7	0	2	3	1	0	0	2	2	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	3095	1081	452	565	314	425	161	348	214	175	78	76	68	69	33	36	59	58	41	17	19	14	27	26	8	11	7	15	10	5	15	4	13	9	12	1	13	2	3	4	3	2	0	6	3	2	0	1	0	0	1	3	6	0	1	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6202	2574	1563	1132	799	704	433	520	350	301	208	182	161	139	106	92	95	73	74	56	61	38	40	30	29	15	21	24	19	16	19	15	17	12	14	5	11	1	6	8	6	4	3	6	3	4	0	1	2	1	3	4	5	0	2	1	0	0	1	2	2	1	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3099	1058	446	536	305	457	152	333	216	170	75	78	74	63	32	36	61	53	42	22	21	18	25	18	8	6	7	7	12	6	15	7	13	9	11	1	9	1	3	4	2	1	0	5	3	2	0	1	1	1	1	3	4	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6161	2605	1545	1165	839	741	474	494	372	292	222	189	169	135	113	107	99	84	65	56	59	37	44	35	25	16	21	11	15	17	13	12	17	17	13	8	8	3	6	10	5	4	3	6	3	3	2	2	3	3	2	1	4	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3068	1048	450	544	311	458	166	324	226	174	84	69	81	56	41	40	59	57	38	18	19	15	27	23	10	8	8	4	7	7	10	6	12	11	9	3	6	3	2	2	2	1	0	5	3	1	2	1	1	1	1	1	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6092	2639	1501	1177	802	768	452	471	393	288	210	180	184	138	108	107	100	88	75	56	57	38	53	37	25	18	21	9	16	21	19	16	16	16	11	12	7	4	7	11	4	2	3	5	0	2	3	4	3	3	4	2	3	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3079	1044	437	551	300	475	172	308	223	165	77	56	97	46	35	40	57	60	42	18	22	15	33	19	11	7	6	5	6	9	14	8	11	10	6	4	6	3	3	1	2	0	0	5	0	1	3	3	1	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6011	2624	1482	1197	772	766	460	472	393	295	211	194	180	136	123	111	104	91	77	54	57	37	52	47	22	22	22	10	23	15	27	19	17	15	8	10	5	5	6	11	7	5	3	3	3	3	3	4	1	2	3	2	0	1	0	0	2	0	2	1	0	1	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	2
0.03	north6_active	80	3046	1031	417	578	297	452	176	310	219	170	79	65	94	46	37	47	62	60	43	16	24	11	31	26	9	7	9	5	11	5	23	12	12	9	4	3	5	4	2	4	2	3	0	3	0	2	3	2	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2
0.03	north7_all	80	6018	2587	1442	1209	768	725	455	474	384	291	209	189	179	136	125	94	103	90	88	45	52	42	41	42	24	20	29	17	28	16	42	19	14	12	7	12	6	4	10	9	6	8	5	1	3	3	2	3	2	1	5	3	0	1	0	0	2	0	1	1	0	2	2	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2
0.03	north7_active	80	3039	1029	389	584	309	437	189	307	214	172	71	63	95	54	34	40	65	62	50	11	22	13	27	22	7	5	15	9	11	4	37	10	10	6	3	3	4	2	3	4	1	4	1	1	0	2	2	2	0	1	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
0.03	north8_all	80	6019	2573	1470	1175	783	708	437	476	371	306	206	186	173	136	115	96	83	70	84	44	51	38	47	42	29	22	37	20	31	18	38	14	7	9	6	10	6	4	8	8	5	11	4	2	4	4	3	4	2	5	6	2	1	1	0	0	2	1	4	0	0	1	2	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	2
0.03	north8_active	80	3034	1022	395	566	306	430	172	309	209	181	65	67	86	61	37	46	54	50	45	13	22	14	31	27	8	7	18	11	14	5	33	8	4	4	4	3	4	2	2	3	1	5	1	2	1	3	2	2	0	5	4	1	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2
0.03	north9_all	80	6049	2517	1513	1194	777	717	451	504	380	300	207	184	179	137	108	93	77	83	78	45	41	41	41	35	32	26	32	24	30	25	35	8	11	12	4	12	8	5	7	8	3	10	6	2	4	2	4	2	2	6	3	1	2	0	1	0	0	1	3	0	3	1	2	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0
0.03	north9_active	80	3051	973	401	572	286	432	168	334	225	174	71	66	92	70	35	42	52	54	46	17	19	19	24	23	10	8	16	16	18	8	32	3	8	5	3	3	5	2	2	3	1	4	3	2	2	1	2	0	0	6	2	0	1	0	0	0	0	1	3	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	6133	2560	1533	1137	779	706	433	476	376	290	200	179	170	151	108	95	76	93	74	53	38	45	46	39	30	21	30	23	30	25	33	8	17	13	4	9	8	4	4	10	2	4	4	2	3	3	5	5	2	6	1	1	3	0	1	1	2	3	3	0	4	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0
0.03	north10_active	80	3032	989	424	541	299	430	144	302	224	163	77	71	86	76	26	44	52	58	47	21	16	22	25	26	12	7	12	14	19	10	28	3	13	7	3	2	6	2	1	3	1	1	3	2	2	1	2	2	0	6	1	0	1	0	0	1	0	2	3	0	4	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
