label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287	Otu288	Otu289	Otu290	Otu291	Otu292	Otu293	Otu294	Otu295	Otu296	Otu297	Otu298	Otu299	Otu300	Otu301	Otu302	Otu303	Otu304	Otu305	Otu306	Otu307	Otu308	Otu309	Otu310	Otu311	Otu312	Otu313	Otu314	Otu315	Otu316	Otu317	Otu318	Otu319	Otu320	Otu321	Otu322	Otu323	Otu324	Otu325	Otu326	Otu327	Otu328	Otu329	Otu330	Otu331	Otu332	Otu333	Otu334	Otu335	Otu336	Otu337	Otu338	Otu339	Otu340	Otu341	Otu342	Otu343	Otu344	Otu345	Otu346	Otu347	Otu348	Otu349	Otu350	Otu351	Otu352	Otu353	Otu354	Otu355	Otu356	Otu357	Otu358	Otu359	Otu360	Otu361	Otu362	Otu363	Otu364	Otu365	Otu366	Otu367	Otu368	Otu369	Otu370	Otu371	Otu372	Otu373	Otu374	Otu375	Otu376	Otu377	Otu378	Otu379	Otu380	Otu381	Otu382	Otu383	Otu384	Otu385	Otu386	Otu387	Otu388	Otu389	Otu390	Otu391	Otu392	Otu393	Otu394	Otu395	Otu396	Otu397	Otu398	Otu399	Otu400	Otu401	Otu402	Otu403	Otu404	Otu405	Otu406	Otu407	Otu408	Otu409	Otu410	Otu411	Otu412	Otu413	Otu414	Otu415	Otu416	Otu417	Otu418	Otu419	Otu420	Otu421	Otu422	Otu423	Otu424	Otu425	Otu426	Otu427	Otu428	Otu429	Otu430	Otu431	Otu432	Otu433	Otu434	Otu435	Otu436	Otu437	Otu438	Otu439	Otu440	Otu441	Otu442	Otu443	Otu444	Otu445	Otu446	Otu447	Otu448	Otu449	Otu450	Otu451	Otu452	Otu453	Otu454	Otu455	Otu456	Otu457	Otu458	Otu459	Otu460	Otu461	Otu462	Otu463	Otu464	Otu465	Otu466	Otu467	Otu468	Otu469	Otu470	Otu471	Otu472	Otu473	Otu474	Otu475	Otu476	Otu477	Otu478	Otu479	Otu480	Otu481	Otu482	Otu483	Otu484	Otu485	Otu486	Otu487	Otu488	Otu489	Otu490	Otu491	Otu492	Otu493	Otu494	Otu495	Otu496	Otu497	Otu498	Otu499	Otu500	Otu501	Otu502	Otu503	Otu504	Otu505	Otu506	Otu507	Otu508	Otu509	Otu510	Otu511	Otu512	Otu513	Otu514	Otu515	Otu516	Otu517	Otu518	Otu519	Otu520	Otu521	Otu522
0.03	north1_all	80	3482	1784	1177	855	683	586	457	401	358	330	271	262	234	191	222	184	188	156	156	180	135	145	113	101	93	125	93	90	77	90	81	94	81	85	80	76	62	64	66	48	60	48	46	46	54	63	42	40	34	51	45	37	35	47	27	36	39	31	42	30	31	38	28	41	31	35	36	23	34	25	27	24	33	29	21	21	21	21	20	18	24	23	18	17	17	17	23	19	21	18	16	14	7	11	11	12	13	18	11	16	17	7	11	16	9	7	10	12	10	11	14	16	10	12	8	7	6	13	10	7	12	11	11	6	6	6	7	17	6	6	8	8	8	3	8	4	4	12	12	2	5	4	12	5	1	7	4	6	6	3	4	8	4	10	3	7	4	8	6	6	5	5	7	2	4	4	6	7	4	7	2	3	4	1	4	3	7	4	0	5	4	4	0	3	2	3	2	3	2	1	2	3	4	3	4	2	3	0	1	1	5	4	2	2	1	1	4	3	3	2	3	0	6	1	0	2	0	2	3	1	3	3	1	1	2	1	0	1	1	5	2	1	3	0	2	0	2	3	0	2	1	1	1	2	4	2	1	1	2	2	3	1	1	1	3	0	3	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	2	2	0	0	2	1	1	1	0	1	1	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	1	1	1	0	0	0	0	2	1	3	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	1782	919	566	442	337	284	207	205	190	173	138	121	102	89	109	93	95	84	76	105	63	74	67	46	51	59	49	49	37	45	48	51	41	39	48	40	23	29	31	21	27	25	22	23	27	27	20	17	19	26	19	25	23	27	15	16	23	17	15	15	18	13	8	19	15	19	12	14	18	13	13	8	19	15	11	12	12	11	10	12	11	12	7	12	7	9	8	12	12	9	7	8	4	3	8	7	8	6	8	7	8	3	9	8	4	3	4	10	6	5	9	10	6	7	3	6	2	8	6	2	8	7	5	5	1	2	5	10	0	4	4	6	4	2	3	0	0	5	5	1	4	3	9	3	0	1	1	1	5	0	2	4	2	5	2	4	2	2	4	3	2	2	3	1	3	3	0	3	3	5	1	2	3	0	0	2	6	3	0	1	2	4	0	2	0	3	0	1	1	0	0	2	1	2	2	1	1	0	0	0	2	2	1	2	1	0	2	1	2	1	0	0	4	1	0	0	0	2	1	0	1	0	0	1	2	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	4	1	1	1	1	0	2	1	1	0	3	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3459	1762	1153	831	673	587	427	401	343	340	292	270	219	201	193	196	172	156	145	162	138	131	114	102	101	117	107	87	88	78	79	87	85	74	77	74	62	63	58	47	56	50	59	48	45	59	45	49	37	51	45	41	34	60	28	31	36	37	39	37	33	35	24	39	29	31	34	26	39	22	30	26	34	22	20	18	29	23	19	18	19	21	21	17	20	20	17	23	15	16	25	18	14	16	13	11	10	18	11	16	12	10	13	15	10	11	12	9	10	12	11	10	10	12	12	6	3	15	7	9	8	10	9	4	5	7	7	12	10	7	7	9	6	4	7	6	2	15	10	5	4	6	8	7	2	8	7	7	4	3	4	9	4	9	3	6	7	6	6	6	6	6	9	1	5	4	5	6	3	6	4	4	5	2	4	1	4	4	2	4	2	5	0	1	2	3	0	2	3	2	2	3	5	3	4	2	2	0	2	3	5	5	3	2	1	3	3	1	3	3	1	0	5	2	0	2	2	2	3	0	4	4	1	2	3	1	0	0	2	4	2	2	5	0	2	0	2	1	0	2	0	3	1	1	2	2	2	1	0	2	3	1	1	1	2	1	2	0	1	0	1	0	0	0	0	1	1	1	0	0	3	1	0	0	0	0	0	0	2	3	2	1	0	0	1	1	1	0	1	1	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	1	1	0	0	0	1	1	3	1	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	1750	880	575	427	321	308	194	221	166	180	154	132	94	107	100	101	87	76	68	90	65	66	63	44	46	53	55	41	40	35	42	47	39	38	44	36	18	29	33	23	28	24	32	29	19	30	27	25	21	25	21	27	19	35	17	11	22	17	15	20	20	14	8	17	14	12	9	15	18	12	16	12	19	9	10	11	15	14	9	6	11	11	9	10	8	10	6	12	9	8	10	8	10	7	8	9	7	10	8	9	5	6	11	8	3	6	4	6	6	6	6	6	7	8	3	3	0	8	4	3	4	6	5	4	3	4	4	6	3	4	5	4	3	3	2	0	0	6	6	4	3	4	6	4	0	2	3	1	3	0	2	5	2	3	1	2	3	2	4	3	0	3	3	0	4	4	1	3	2	3	2	3	4	1	1	1	3	3	2	1	1	5	0	1	0	2	0	0	1	0	0	2	3	2	2	1	0	0	1	1	3	2	1	2	1	2	2	1	2	2	0	0	3	2	0	0	0	2	2	0	1	1	0	2	2	1	0	0	0	1	1	1	2	0	1	0	1	1	0	1	0	2	0	0	2	1	2	1	0	0	2	1	1	0	2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	3	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3539	1757	1122	836	701	577	412	385	334	369	303	251	237	217	196	194	176	164	157	140	143	130	115	116	101	112	109	102	98	94	83	85	78	64	85	69	62	74	52	51	57	48	46	48	51	49	40	54	41	40	47	34	36	55	34	37	34	34	39	38	32	24	26	32	30	27	32	21	33	18	34	27	26	21	21	21	33	22	14	22	17	18	23	18	21	16	16	19	16	17	25	14	18	15	17	13	7	18	10	12	10	12	13	9	11	15	10	7	14	13	12	12	11	10	15	12	4	15	9	7	6	8	7	4	9	6	8	9	16	7	10	7	5	2	5	7	4	15	5	7	3	9	7	8	7	6	8	8	2	8	7	8	6	7	2	3	7	3	3	6	8	6	8	2	6	4	4	4	1	5	4	4	4	1	3	1	2	4	3	2	3	5	0	3	1	3	0	2	3	2	3	2	4	2	4	2	2	0	2	3	6	4	3	1	0	3	4	3	2	3	0	0	3	1	0	2	2	4	4	0	4	3	1	2	3	0	0	0	2	3	2	2	6	0	2	0	1	2	0	2	1	3	2	1	2	1	2	1	1	1	3	1	1	1	1	2	1	0	2	1	0	0	0	0	0	1	1	1	0	0	4	0	0	0	0	1	0	0	2	2	2	2	0	0	1	2	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	2	2	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	1735	844	557	431	354	289	188	208	153	193	165	119	107	119	107	105	81	76	75	81	71	61	60	52	41	53	55	53	42	45	40	38	35	32	48	33	25	33	34	23	29	24	27	26	19	23	23	29	25	18	25	23	20	30	18	15	15	17	17	20	20	11	11	15	19	10	9	11	15	6	18	16	13	8	12	13	16	13	5	8	10	10	11	9	8	9	8	11	7	9	9	7	11	7	10	9	6	9	6	9	5	5	10	4	4	7	5	2	9	6	8	9	8	7	4	4	0	8	4	1	2	3	3	3	6	4	4	4	6	1	6	2	2	2	0	0	3	7	4	5	2	8	5	7	5	3	5	1	1	3	5	5	3	3	1	1	3	1	2	3	1	2	3	1	5	3	1	1	0	2	2	2	3	1	1	1	2	3	3	1	1	4	0	3	0	2	0	0	1	0	0	2	2	2	2	2	0	0	1	1	4	2	1	1	0	2	3	2	1	1	0	0	2	1	0	0	0	2	2	0	1	1	0	1	2	0	0	0	0	1	1	1	2	0	1	0	1	2	0	1	0	2	0	0	2	0	2	1	0	0	2	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	4	0	0	0	0	1	0	0	1	0	1	1	0	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3609	1780	1138	835	693	569	451	378	328	367	299	254	225	219	180	194	180	163	155	141	142	125	121	128	105	120	110	105	92	94	78	88	73	77	88	72	59	69	50	55	55	56	49	44	49	52	37	57	42	42	40	37	36	50	40	31	34	32	37	40	33	18	27	36	27	36	27	19	26	21	32	27	21	18	24	20	32	18	17	23	16	20	24	15	19	23	14	15	13	12	23	16	19	19	15	14	6	16	11	11	9	13	8	9	14	17	13	6	11	13	10	8	16	10	16	16	9	11	11	8	9	6	4	5	7	6	6	8	16	7	9	12	4	2	5	9	4	7	10	7	3	7	2	7	9	7	8	8	2	7	8	5	7	4	2	4	4	6	4	3	6	5	9	5	6	4	5	4	0	3	3	3	3	1	2	0	2	2	4	2	1	5	1	4	0	3	0	2	1	4	3	2	4	2	3	1	2	1	2	3	4	1	2	1	0	3	3	3	1	2	1	0	1	1	0	3	2	5	3	0	2	3	1	2	1	2	0	0	2	2	0	2	6	0	1	0	3	2	0	1	1	2	2	2	1	0	1	0	1	0	1	0	1	1	0	2	2	1	1	1	0	0	0	0	0	1	1	0	0	0	4	0	1	0	0	1	0	0	2	2	0	2	1	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	2	0	1	0	1	0	1	0	0	1	2	1	2	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	1774	869	571	434	346	289	209	201	144	188	153	124	105	120	103	99	83	75	71	79	69	64	60	62	40	56	51	54	39	41	35	47	35	37	45	36	29	34	29	29	27	30	32	22	21	24	23	31	21	20	26	22	18	25	17	13	14	18	19	21	24	10	13	21	16	17	8	7	9	9	13	15	10	8	13	12	18	11	7	8	11	12	12	6	7	14	7	5	6	7	10	7	11	11	6	8	4	10	7	8	5	7	6	3	5	9	8	1	8	7	6	6	11	5	4	4	4	5	6	3	5	2	1	4	5	4	3	5	8	1	6	5	2	2	0	1	3	5	8	5	2	6	1	5	6	5	6	3	1	3	6	3	3	2	1	1	2	2	2	0	1	2	6	2	5	3	2	1	0	1	1	1	2	1	1	0	2	0	4	1	0	3	0	4	0	2	0	1	0	1	1	1	2	1	2	1	0	1	1	1	3	0	0	0	0	2	2	2	0	1	0	0	1	1	0	0	0	2	1	0	1	1	0	1	0	1	0	0	1	0	0	1	3	0	0	0	2	2	0	1	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	4	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3622	1802	1158	858	716	577	470	395	327	356	310	281	216	206	187	199	171	147	167	145	140	136	123	139	105	128	120	107	96	104	80	78	81	79	85	59	65	76	58	56	57	62	52	52	47	57	40	51	46	46	38	36	35	40	43	36	41	33	39	44	29	21	29	31	29	33	25	17	19	18	28	25	24	18	28	20	30	25	23	19	20	28	20	13	21	20	19	15	16	12	19	15	15	17	13	17	12	18	13	9	10	13	8	7	12	17	14	7	16	10	8	11	14	13	19	17	9	10	16	9	12	3	4	6	9	8	8	8	16	6	9	10	3	4	5	11	5	8	13	10	3	6	3	5	15	6	5	9	4	6	8	4	10	1	3	4	0	4	2	2	6	5	7	6	7	1	6	5	0	5	2	1	3	2	3	0	3	2	2	4	1	4	2	6	1	4	0	6	1	5	3	3	4	2	2	1	1	4	2	2	4	2	2	1	1	2	2	3	0	3	1	1	0	1	0	2	3	6	1	0	2	2	1	1	2	2	0	0	3	0	1	1	4	0	1	0	2	2	1	1	1	1	1	3	0	0	1	0	2	0	0	0	1	2	0	2	2	1	1	1	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	1	1	1	1	2	0	2	2	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	2	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	1816	884	578	426	352	274	225	202	164	175	150	143	106	115	107	93	78	75	81	82	65	66	57	68	47	59	48	55	44	47	35	40	39	39	43	29	39	38	31	30	26	34	36	24	24	28	24	25	23	24	21	21	20	16	17	15	14	21	17	17	21	15	14	15	15	17	12	6	8	7	11	14	13	8	15	12	15	15	10	9	13	15	9	4	8	10	13	5	7	5	11	9	7	11	7	5	5	10	7	5	5	5	5	4	5	8	10	1	12	5	6	10	8	7	8	5	7	6	9	5	7	0	1	5	5	4	3	6	8	2	6	4	2	4	0	2	4	4	10	7	1	4	1	4	8	5	3	4	2	4	5	3	4	1	2	1	0	1	1	0	3	2	6	3	7	0	3	2	0	2	1	0	2	1	1	0	2	0	2	2	0	2	0	5	0	2	0	2	1	2	2	1	2	1	1	1	0	3	1	0	3	1	1	0	1	2	1	2	0	1	0	1	0	1	0	0	1	2	0	0	0	1	0	0	1	1	0	0	1	0	0	1	2	0	1	0	1	2	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	2	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
