label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287	Otu288	Otu289	Otu290	Otu291	Otu292	Otu293	Otu294	Otu295	Otu296	Otu297	Otu298	Otu299	Otu300	Otu301	Otu302	Otu303	Otu304	Otu305	Otu306	Otu307	Otu308	Otu309	Otu310	Otu311	Otu312	Otu313	Otu314	Otu315	Otu316	Otu317	Otu318	Otu319	Otu320	Otu321	Otu322	Otu323	Otu324	Otu325	Otu326	Otu327	Otu328	Otu329	Otu330	Otu331	Otu332	Otu333	Otu334	Otu335	Otu336	Otu337	Otu338	Otu339	Otu340	Otu341	Otu342	Otu343	Otu344	Otu345	Otu346	Otu347	Otu348	Otu349	Otu350	Otu351	Otu352	Otu353	Otu354	Otu355	Otu356	Otu357	Otu358	Otu359	Otu360	Otu361	Otu362	Otu363	Otu364	Otu365	Otu366	Otu367	Otu368	Otu369	Otu370	Otu371	Otu372	Otu373	Otu374	Otu375	Otu376	Otu377	Otu378	Otu379	Otu380	Otu381	Otu382	Otu383	Otu384	Otu385	Otu386	Otu387	Otu388	Otu389	Otu390	Otu391	Otu392	Otu393	Otu394	Otu395	Otu396	Otu397	Otu398	Otu399	Otu400	Otu401	Otu402	Otu403	Otu404	Otu405	Otu406	Otu407	Otu408	Otu409	Otu410	Otu411	Otu412	Otu413	Otu414	Otu415	Otu416	Otu417	Otu418	Otu419	Otu420	Otu421	Otu422	Otu423	Otu424	Otu425	Otu426	Otu427	Otu428	Otu429	Otu430	Otu431	Otu432	Otu433	Otu434	Otu435	Otu436	Otu437	Otu438	Otu439	Otu440	Otu441	Otu442	Otu443	Otu444	Otu445	Otu446	Otu447	Otu448	Otu449	Otu450	Otu451	Otu452	Otu453	Otu454	Otu455	Otu456	Otu457	Otu458	Otu459	Otu460	Otu461	Otu462	Otu463	Otu464	Otu465	Otu466	Otu467	Otu468	Otu469	Otu470	Otu471	Otu472	Otu473	Otu474	Otu475	Otu476	Otu477	Otu478	Otu479	Otu480	Otu481	Otu482	Otu483	Otu484	Otu485	Otu486	Otu487	Otu488	Otu489	Otu490	Otu491	Otu492	Otu493	Otu494	Otu495	Otu496	Otu497	Otu498	Otu499	Otu500	Otu501	Otu502	Otu503	Otu504	Otu505	Otu506	Otu507	Otu508	Otu509	Otu510	Otu511	Otu512	Otu513	Otu514
0.03	north1_all	80	3614	1839	1206	932	652	519	485	430	351	330	298	278	264	240	227	201	193	168	167	147	135	142	102	106	120	127	111	112	105	97	86	74	75	77	83	76	84	58	62	67	67	58	63	57	53	45	46	51	43	22	43	45	31	42	40	37	35	40	29	32	32	30	29	27	26	24	34	22	30	26	27	23	26	14	19	21	17	23	26	14	12	14	22	21	27	30	14	16	12	15	18	25	12	18	14	18	15	18	7	14	16	16	9	10	15	9	13	10	7	11	12	16	8	7	7	4	3	15	12	13	10	9	10	5	4	7	11	2	7	3	12	7	7	4	8	4	8	7	2	11	9	5	3	10	11	9	5	7	3	7	8	5	4	8	4	4	6	4	6	4	8	1	7	7	3	6	7	4	5	3	7	4	3	3	6	2	6	8	1	2	1	0	4	2	3	2	4	3	2	2	2	3	3	5	2	2	2	0	1	2	1	1	2	2	4	2	2	3	7	2	2	3	5	0	1	0	3	2	2	1	2	1	1	1	0	1	1	1	1	1	0	2	0	1	0	0	6	1	1	0	2	1	2	2	0	0	0	1	0	1	0	1	0	1	2	1	0	0	0	3	1	2	1	2	3	1	2	0	2	0	0	1	0	0	0	1	1	0	1	0	2	2	1	0	0	1	1	1	0	1	2	0	0	0	1	2	0	2	1	1	1	0	0	1	1	1	0	0	2	0	2	0	0	1	1	0	0	0	1	0	2	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1812	986	630	491	321	231	224	198	161	160	157	142	120	117	105	99	98	93	84	66	68	71	55	56	67	62	59	56	42	49	41	36	42	40	41	34	43	32	22	36	38	23	33	26	29	23	26	26	23	9	24	22	16	18	17	17	18	20	10	16	12	15	14	12	15	9	17	10	10	12	9	16	15	8	10	12	9	11	14	8	7	8	9	11	12	15	8	9	6	5	11	12	9	9	6	7	6	10	3	8	7	6	4	6	4	2	7	4	2	6	5	8	2	5	5	4	3	7	6	10	6	4	4	4	2	3	5	1	4	2	4	5	5	2	5	2	4	3	0	6	4	1	0	4	5	5	4	3	2	2	4	2	0	4	2	3	3	2	4	3	3	0	5	3	1	3	4	1	2	1	6	2	2	0	6	2	3	5	0	1	0	0	2	0	1	0	0	0	1	0	2	1	3	4	0	0	1	0	0	1	1	1	1	1	3	1	1	1	3	2	1	3	3	0	0	0	0	1	1	0	2	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	2	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	2	0	0	1	1	1	0	2	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3599	1855	1198	908	670	535	495	424	358	323	290	251	243	239	225	213	203	173	165	148	137	132	98	109	121	121	107	106	98	96	82	87	77	81	85	78	76	61	64	75	62	70	64	47	49	49	49	58	36	34	49	42	43	50	38	37	37	43	26	34	29	36	24	30	28	20	35	30	34	21	28	31	27	14	19	22	22	21	25	23	17	17	20	25	25	25	15	18	15	14	13	16	17	23	13	17	16	20	9	9	14	14	10	10	17	12	11	10	8	17	9	15	7	9	6	5	6	14	10	9	14	7	8	5	4	6	10	3	5	6	10	8	8	2	8	7	5	7	1	6	10	3	3	7	9	9	3	10	5	5	5	5	3	7	4	1	5	3	5	3	7	3	6	7	4	5	7	4	3	5	7	3	3	3	2	0	7	7	3	2	0	3	5	2	3	1	6	3	2	3	2	4	3	5	3	2	2	1	2	2	1	0	2	2	4	1	4	4	5	3	1	5	2	1	0	2	4	3	1	2	2	2	2	1	1	2	1	1	0	2	0	2	0	1	0	0	3	3	1	1	2	3	2	2	1	0	1	1	0	1	1	1	0	1	2	1	0	0	0	2	1	1	1	1	3	1	3	2	2	0	0	4	2	0	0	2	3	0	2	0	2	1	1	0	0	1	0	3	0	1	2	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	1780	993	609	466	345	245	228	199	173	151	147	129	108	120	111	104	103	101	79	59	75	71	62	53	65	61	56	55	46	56	32	47	38	43	45	38	40	32	27	38	33	30	34	19	25	25	31	34	20	13	22	20	24	21	19	16	18	24	12	14	15	23	11	7	12	8	21	10	11	12	8	21	13	7	9	10	12	12	15	11	11	8	10	14	11	12	12	10	7	6	7	4	14	10	7	7	9	9	4	5	6	4	6	6	7	5	5	4	4	7	6	8	1	4	2	5	5	7	4	8	7	2	3	4	1	2	5	2	2	5	3	5	5	0	4	2	2	2	0	4	5	1	2	1	3	4	2	5	2	1	2	3	0	3	2	1	4	1	3	3	3	1	4	3	2	2	3	1	2	0	6	2	2	0	2	0	2	4	1	1	0	0	3	0	1	0	0	0	1	1	2	2	2	4	1	0	1	1	1	2	1	0	1	1	3	1	2	2	2	2	0	4	2	1	0	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0	2	0	0	0	0	1	2	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	1	0	1	0	2	1	2	0	0	2	0	0	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3547	1874	1195	929	671	544	483	414	377	325	288	253	245	226	208	191	196	165	165	146	139	124	108	101	106	120	116	108	94	97	82	81	82	76	87	66	68	67	66	79	56	68	58	46	57	59	48	52	32	39	50	32	32	48	34	35	36	33	33	37	29	36	27	28	29	19	31	37	29	19	26	35	23	15	20	23	22	21	22	24	18	22	17	25	25	13	15	24	15	9	9	15	16	17	15	16	17	19	13	10	16	17	14	16	16	9	11	13	8	15	8	10	10	9	5	7	8	13	6	5	13	6	8	2	5	9	10	6	5	7	6	7	10	5	10	6	7	8	3	3	9	3	4	7	10	5	2	8	4	6	4	3	2	4	4	2	6	5	7	8	4	3	4	5	3	4	5	5	4	7	3	3	3	4	2	3	7	9	3	2	2	3	6	4	3	2	5	3	2	4	1	3	5	3	2	2	1	2	2	3	2	2	2	2	2	1	4	4	4	3	4	4	4	1	1	3	3	3	1	2	3	2	3	1	1	4	1	0	0	1	0	1	0	0	0	0	0	3	2	1	1	3	0	1	1	0	1	1	2	0	2	3	0	0	2	0	0	0	1	1	2	1	1	1	2	0	3	2	2	0	0	4	2	0	0	1	3	0	2	0	2	0	1	0	0	0	0	4	0	1	3	1	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	1706	998	598	484	344	254	215	204	182	161	132	124	120	125	103	90	102	89	77	63	83	69	69	56	59	62	56	53	43	58	36	47	43	40	44	32	29	34	27	37	22	32	29	22	28	33	24	30	18	19	22	13	17	19	18	13	17	17	11	15	15	26	13	14	12	9	18	13	9	10	11	24	10	5	9	8	11	11	12	12	11	9	10	13	10	6	12	12	7	5	4	5	12	8	8	9	9	9	6	3	8	8	8	9	5	4	6	6	4	5	5	5	4	4	2	7	4	6	4	4	6	3	4	1	3	4	5	3	2	5	0	4	7	2	5	1	3	3	1	1	4	1	2	2	2	2	2	4	2	3	2	2	0	3	2	2	6	1	5	6	2	1	3	2	1	1	3	2	2	1	3	2	2	1	2	0	2	6	1	1	1	0	3	2	1	0	0	1	1	1	1	2	4	2	2	0	1	1	1	3	1	0	1	1	1	1	2	2	2	2	0	2	3	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2	1	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	2	0	0	0	0	1	1	0	0	0	1	0	2	1	2	0	0	2	0	0	0	1	2	0	2	0	0	0	1	0	0	0	0	1	0	1	2	1	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3546	1852	1174	898	685	556	461	405	368	312	296	273	236	225	193	186	181	132	163	143	137	113	122	95	113	111	104	103	97	88	74	80	80	79	76	50	69	64	64	74	62	59	63	44	55	57	50	43	35	43	59	31	39	50	34	34	33	32	35	39	33	37	27	35	31	22	34	33	35	23	29	36	26	20	20	22	22	25	26	28	19	24	21	23	22	9	20	25	16	11	9	15	16	17	14	11	19	17	15	9	16	16	12	14	17	12	9	13	8	14	7	16	10	7	10	11	10	10	4	6	14	4	3	3	10	8	11	6	8	8	6	8	6	4	7	10	9	5	3	3	9	3	5	7	6	3	3	9	2	7	5	3	1	4	3	2	6	9	2	9	1	5	3	1	2	3	4	6	3	8	3	4	3	3	0	4	6	9	5	1	3	5	5	6	5	1	4	1	3	2	1	4	5	1	2	3	0	2	1	4	2	2	2	1	0	2	4	5	2	3	4	4	3	2	2	3	1	2	2	3	3	3	3	1	2	4	1	0	0	3	0	2	1	0	1	1	1	3	2	1	1	2	0	1	3	0	2	0	2	0	3	2	0	0	2	1	0	0	2	1	2	1	1	2	2	0	2	2	0	1	1	4	2	0	1	5	4	0	2	0	1	0	1	0	1	0	0	4	0	1	3	1	0	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	1715	968	598	479	343	268	205	190	189	153	141	140	118	122	88	89	98	73	77	61	78	59	77	54	54	57	55	49	50	45	33	41	40	40	42	22	31	34	30	37	30	28	32	19	29	29	19	22	18	22	26	13	19	22	19	11	13	15	14	20	16	26	12	18	12	13	20	11	18	10	11	20	10	7	8	6	11	12	16	12	13	14	12	10	10	4	15	12	7	9	5	5	9	6	6	10	9	8	7	2	9	7	6	6	5	8	5	5	5	4	5	8	6	3	6	8	4	5	2	5	7	2	2	0	4	3	6	3	5	7	2	4	4	2	4	4	5	2	1	1	5	1	3	3	1	1	1	5	0	3	3	2	0	3	2	1	6	4	2	5	0	3	1	0	1	0	2	2	2	2	2	3	2	2	0	0	2	6	3	1	1	2	3	3	2	0	1	1	2	1	1	2	4	1	2	0	0	1	1	2	1	0	0	1	0	2	2	2	1	2	0	2	2	1	2	1	0	0	2	2	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	2	0	1	0	2	1	0	0	2	0	0	0	0	1	2	0	0	1	0	0	1	1	0	0	1	2	0	0	0	4	2	0	2	0	0	0	1	0	1	0	0	1	0	1	2	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3530	1855	1194	932	713	532	457	408	374	317	262	287	245	217	178	187	185	143	168	154	144	117	139	106	111	109	108	105	89	94	73	75	73	77	68	45	61	62	66	76	62	46	65	41	55	62	45	33	39	46	59	38	44	37	39	29	28	35	37	35	37	33	28	32	31	23	29	25	33	35	23	27	25	21	17	24	24	19	28	23	20	22	18	25	14	11	17	19	16	9	9	13	15	19	18	11	17	15	11	10	14	12	12	15	14	12	14	13	9	13	12	17	14	8	9	12	10	7	4	6	13	4	7	7	12	7	11	9	12	5	2	7	7	6	9	6	7	4	3	4	8	5	4	6	5	6	3	6	3	5	4	5	0	3	8	2	6	11	2	11	2	5	1	2	4	3	1	7	5	7	4	6	3	2	3	5	2	8	2	0	3	3	2	6	4	2	2	1	3	4	2	4	6	0	2	3	1	2	1	4	2	4	1	2	1	1	3	3	1	1	3	2	6	3	4	1	1	1	1	4	2	1	1	2	3	3	2	1	0	2	1	3	1	1	1	2	1	2	2	0	2	1	0	0	3	0	2	0	2	0	4	2	0	1	0	2	0	0	2	1	2	1	1	2	1	0	2	2	2	1	1	2	0	2	1	5	1	0	1	0	1	1	2	0	1	0	1	2	0	0	1	0	1	0	1	0	1	0	1	0	1	3	0	0	1	1	0	0	0	0	1	0	2	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	1718	977	612	500	352	257	217	193	175	151	118	147	127	114	75	88	101	75	92	71	84	59	87	60	55	59	62	50	48	46	31	33	40	38	43	18	28	34	33	38	30	21	34	18	33	33	14	15	20	26	29	16	17	18	19	6	9	16	15	21	14	23	13	23	14	13	18	9	18	13	10	16	10	9	5	7	11	7	18	8	13	15	11	10	8	5	11	9	9	7	4	7	7	9	10	7	9	9	4	4	9	7	5	6	5	9	6	5	6	7	9	8	9	3	5	8	4	3	2	5	7	3	5	3	5	3	6	5	10	4	2	3	3	2	6	3	4	3	1	2	3	2	2	3	1	3	0	3	1	3	2	2	0	1	2	1	6	6	2	6	1	3	0	0	2	0	0	2	4	2	3	3	2	2	3	1	1	6	2	0	1	3	0	3	2	0	2	1	2	3	1	0	4	0	2	0	1	1	0	2	1	0	0	2	1	1	2	2	0	1	0	0	4	1	2	0	1	0	1	3	0	1	0	1	2	0	2	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	2	1	0	0	0	1	0	0	0	1	2	0	0	1	0	0	1	1	2	0	1	0	0	2	0	3	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
