label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287	Otu288	Otu289	Otu290	Otu291	Otu292	Otu293	Otu294	Otu295	Otu296	Otu297	Otu298	Otu299	Otu300	Otu301	Otu302	Otu303	Otu304	Otu305	Otu306	Otu307	Otu308	Otu309	Otu310	Otu311	Otu312	Otu313	Otu314	Otu315	Otu316	Otu317	Otu318	Otu319	Otu320	Otu321	Otu322	Otu323	Otu324	Otu325	Otu326	Otu327	Otu328	Otu329	Otu330	Otu331	Otu332	Otu333	Otu334	Otu335	Otu336	Otu337	Otu338	Otu339	Otu340	Otu341	Otu342	Otu343	Otu344	Otu345	Otu346	Otu347	Otu348	Otu349	Otu350	Otu351	Otu352	Otu353	Otu354	Otu355	Otu356	Otu357	Otu358	Otu359	Otu360	Otu361	Otu362	Otu363	Otu364	Otu365	Otu366	Otu367	Otu368	Otu369	Otu370	Otu371	Otu372	Otu373	Otu374	Otu375	Otu376	Otu377	Otu378	Otu379	Otu380	Otu381	Otu382	Otu383	Otu384	Otu385	Otu386	Otu387	Otu388	Otu389	Otu390	Otu391	Otu392	Otu393	Otu394	Otu395	Otu396	Otu397	Otu398	Otu399	Otu400	Otu401	Otu402	Otu403	Otu404	Otu405	Otu406	Otu407	Otu408	Otu409	Otu410	Otu411	Otu412	Otu413	Otu414	Otu415	Otu416	Otu417	Otu418	Otu419	Otu420	Otu421	Otu422	Otu423	Otu424	Otu425	Otu426	Otu427	Otu428	Otu429	Otu430	Otu431	Otu432	Otu433	Otu434	Otu435	Otu436	Otu437	Otu438	Otu439	Otu440	Otu441	Otu442	Otu443	Otu444	Otu445	Otu446	Otu447	Otu448	Otu449	Otu450	Otu451	Otu452	Otu453	Otu454	Otu455	Otu456	Otu457	Otu458	Otu459	Otu460	Otu461	Otu462	Otu463	Otu464	Otu465	Otu466	Otu467	Otu468	Otu469	Otu470	Otu471	Otu472	Otu473	Otu474	Otu475	Otu476	Otu477	Otu478	Otu479	Otu480	Otu481	Otu482	Otu483	Otu484	Otu485	Otu486	Otu487	Otu488	Otu489	Otu490	Otu491	Otu492	Otu493	Otu494	Otu495	Otu496	Otu497	Otu498	Otu499	Otu500	Otu501	Otu502	Otu503	Otu504	Otu505	Otu506	Otu507	Otu508	Otu509	Otu510	Otu511	Otu512
0.03	north1_all	80	3470	1740	1175	870	638	573	483	416	347	344	304	271	234	231	179	180	175	154	157	141	126	129	129	121	106	110	104	112	84	75	88	81	76	77	80	64	69	65	61	57	50	50	56	62	52	47	46	55	43	41	39	31	41	46	35	46	33	28	30	31	34	23	26	32	33	23	24	18	27	22	19	27	22	13	28	34	23	25	21	23	20	15	14	24	23	14	24	24	9	14	16	21	12	18	19	20	9	21	16	17	14	15	10	6	11	17	17	5	6	13	14	7	12	16	6	9	9	8	12	13	13	5	7	5	9	7	4	6	8	9	7	7	8	5	6	5	5	2	8	7	4	8	3	7	5	5	11	9	5	5	3	4	2	7	4	7	7	7	4	8	7	3	2	7	3	4	2	5	4	3	4	7	4	5	8	3	2	4	3	3	3	0	3	1	3	5	2	2	2	1	10	1	4	2	1	3	2	4	1	3	3	2	5	0	3	2	1	2	4	4	2	5	0	2	4	0	1	2	2	1	2	2	2	0	0	2	0	3	1	1	4	1	2	0	2	1	2	1	1	1	2	3	1	3	2	1	1	1	1	2	2	1	0	1	0	0	5	1	1	2	1	1	1	0	2	1	2	0	2	0	1	2	3	1	1	1	1	2	2	0	1	0	0	1	2	1	0	0	0	0	1	1	0	2	0	1	1	0	2	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	2	0	0	0	4	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	1672	856	585	453	319	265	237	209	168	161	140	124	124	113	91	89	88	69	74	58	68	65	77	66	49	53	59	59	40	36	42	41	42	35	39	24	31	38	32	26	23	26	29	34	30	24	21	24	26	21	17	19	20	25	21	17	18	18	16	14	21	9	13	17	18	13	8	9	18	11	7	14	12	6	13	13	10	12	9	12	9	10	6	13	9	5	12	11	4	7	9	12	8	6	10	7	5	11	8	7	4	7	4	5	6	10	6	3	2	5	7	1	4	9	2	4	6	3	5	7	3	3	4	4	8	4	3	1	5	3	3	3	3	1	3	2	4	1	4	3	2	4	1	4	3	2	3	3	4	4	0	1	1	3	3	4	3	6	2	5	6	2	2	5	2	1	1	4	3	2	3	3	1	4	3	1	1	3	2	1	1	0	3	0	2	4	1	0	2	0	8	0	3	1	0	0	0	2	1	2	2	1	3	0	2	2	0	2	3	3	1	3	0	1	2	0	0	0	1	1	2	1	1	0	0	0	0	1	0	0	2	1	1	0	2	1	1	0	1	1	1	1	0	2	2	0	1	1	1	1	2	1	0	0	0	0	4	1	1	0	0	0	1	0	1	0	0	0	2	0	1	1	2	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3388	1757	1169	878	624	568	471	417	365	308	301	252	240	223	207	188	183	154	144	152	120	120	142	120	112	113	97	117	92	81	85	76	84	70	73	69	60	69	71	61	51	47	57	59	53	47	55	50	46	41	40	28	37	49	36	39	27	27	26	36	39	20	27	35	35	21	31	18	21	26	25	27	17	11	25	32	27	16	16	27	18	13	15	24	15	16	22	19	12	15	14	24	19	19	12	16	12	15	14	17	10	14	10	5	13	14	15	4	8	14	9	11	10	15	5	6	8	9	8	8	11	7	6	5	8	7	6	6	9	10	13	8	7	8	7	3	8	4	5	9	7	7	3	8	2	5	12	6	4	5	2	5	4	6	3	6	6	5	3	8	7	7	1	8	3	6	4	3	7	4	6	9	4	3	7	2	6	3	2	1	2	0	4	2	2	5	2	3	1	3	6	1	4	1	3	4	2	5	1	3	2	3	6	1	2	3	0	2	2	3	0	4	0	1	3	0	0	1	1	2	2	3	1	0	0	2	0	2	1	1	3	0	2	0	1	2	0	3	2	1	3	2	0	3	3	2	2	0	0	1	1	1	0	2	0	0	2	1	1	2	1	1	1	1	1	1	2	1	2	0	2	1	2	0	1	2	0	3	1	1	1	0	0	1	2	1	1	1	0	0	1	1	0	2	0	1	0	0	2	1	0	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	1619	879	573	454	314	264	225	203	179	142	150	117	120	112	98	97	95	77	66	60	64	55	81	67	59	59	51	60	48	43	38	37	47	33	34	32	29	41	37	30	28	26	25	37	27	27	24	23	25	19	18	15	17	29	20	14	17	17	13	16	21	10	11	19	21	10	11	8	12	12	13	14	10	6	15	14	14	10	8	13	9	9	6	11	6	7	12	8	7	8	6	13	13	7	6	6	8	9	5	8	4	8	4	4	7	8	7	3	4	7	3	4	5	8	2	2	5	2	3	3	2	5	3	3	6	3	4	1	6	4	3	3	2	5	4	1	4	3	2	3	3	5	2	5	0	1	4	1	2	1	0	2	2	3	3	4	3	5	2	5	5	5	1	4	1	1	3	3	4	3	4	4	2	2	1	1	2	2	1	0	1	0	2	0	2	4	0	1	1	1	5	0	3	0	2	1	0	3	1	2	1	2	4	1	1	2	0	2	0	3	0	3	0	0	2	0	0	0	0	2	2	2	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	2	1	2	1	0	2	3	0	2	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	2	0	1	1	2	0	0	1	0	2	1	0	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3404	1741	1112	839	643	561	450	412	360	308	288	261	246	206	204	184	175	156	153	145	137	112	140	127	106	106	101	117	91	73	95	78	79	81	74	76	63	65	72	63	66	40	48	53	53	50	53	48	41	40	43	29	49	37	31	36	27	28	30	32	38	27	24	30	38	23	34	20	18	25	26	28	20	9	22	22	25	20	12	21	19	12	15	28	10	15	21	16	15	18	16	21	28	21	11	15	14	24	14	15	8	19	10	6	15	14	9	4	7	16	9	13	10	10	3	8	9	7	9	7	12	8	5	6	9	9	8	8	12	10	11	10	11	6	8	3	7	5	7	4	7	8	7	5	4	7	7	3	5	8	2	7	8	5	4	6	7	7	5	8	8	5	2	9	2	6	2	2	5	4	7	7	3	2	4	3	6	3	2	3	1	1	4	4	1	4	2	4	1	5	6	0	5	1	3	3	2	6	2	4	1	4	6	1	1	4	0	1	5	6	2	3	0	1	2	0	0	0	0	1	2	2	1	0	1	0	1	1	2	2	2	0	3	1	1	1	0	2	3	1	4	0	2	0	4	1	1	1	0	1	1	3	0	2	1	0	0	0	1	2	1	2	1	1	1	0	2	1	0	0	2	0	1	0	0	2	1	2	0	1	1	0	0	0	1	1	1	2	0	0	1	1	0	1	0	0	1	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	1641	877	552	448	317	263	214	217	165	141	137	129	138	106	96	101	99	82	77	64	71	54	79	68	54	53	52	56	45	39	47	40	39	40	34	43	36	36	38	31	36	20	21	28	24	29	24	23	21	20	22	12	18	17	19	12	16	19	18	14	20	14	10	13	27	11	14	9	6	9	16	16	12	4	15	10	15	11	3	10	8	8	7	13	4	6	11	4	6	10	7	9	18	7	6	8	8	18	5	5	4	13	6	4	9	5	3	3	4	9	3	4	6	5	2	3	6	0	4	3	5	6	3	4	6	3	3	1	8	5	2	5	4	5	4	1	3	3	2	1	2	5	4	2	1	3	3	0	2	4	0	4	3	3	3	4	3	5	4	6	4	4	1	5	1	2	2	2	2	3	5	3	2	1	1	0	2	1	1	1	0	0	2	0	1	3	0	1	1	2	4	0	3	0	2	1	0	2	2	3	0	3	3	1	0	3	0	0	2	5	2	2	0	0	1	0	0	0	0	1	2	1	1	0	0	0	0	0	2	1	1	0	1	0	1	0	0	1	2	0	3	0	2	0	3	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3360	1813	1138	836	657	551	430	430	360	313	304	273	241	190	208	179	168	157	149	142	158	119	133	121	120	107	108	97	92	70	92	72	75	77	81	76	59	63	66	63	56	42	43	55	56	46	55	42	40	40	46	37	49	32	36	31	35	28	34	27	30	29	29	30	37	23	39	21	19	27	27	32	20	14	20	17	27	25	9	25	22	17	15	27	10	11	19	17	18	16	18	17	24	23	15	14	17	17	10	14	7	21	9	8	14	15	10	6	4	16	6	13	10	9	8	10	10	7	8	8	10	5	4	3	9	11	10	8	11	9	14	10	7	7	7	3	5	5	11	4	7	7	9	4	3	7	4	3	5	6	4	7	7	3	1	4	6	7	5	6	7	6	3	6	3	6	3	1	4	3	8	5	3	2	5	2	7	3	1	4	2	2	4	5	1	4	2	3	2	7	3	1	3	3	2	3	1	4	1	1	1	2	6	1	1	4	0	1	4	5	4	0	0	1	1	1	0	0	0	1	2	1	2	2	1	1	2	1	2	2	0	1	2	1	1	1	0	2	3	1	3	1	2	0	3	1	1	1	0	1	1	3	1	2	1	0	1	1	1	0	0	1	2	2	1	0	1	1	0	0	1	0	0	0	1	1	1	2	0	1	0	0	0	0	1	2	1	2	0	0	1	0	0	1	0	1	1	2	1	2	0	0	0	2	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	1635	911	556	445	325	276	203	226	172	148	144	130	129	90	89	96	89	83	76	64	71	62	68	67	63	53	58	47	47	36	47	39	33	37	39	46	36	31	34	34	33	19	18	26	28	24	27	23	19	20	23	17	20	19	18	16	17	16	18	14	14	15	18	16	24	11	15	9	8	11	14	18	12	6	13	7	15	10	3	12	12	10	8	12	5	7	10	4	8	7	10	8	14	13	8	8	10	11	2	6	5	12	5	3	7	5	4	4	2	8	2	5	8	4	6	3	6	1	6	3	4	4	2	2	6	5	4	1	8	5	4	6	4	6	3	2	0	4	4	1	1	5	5	2	1	3	2	0	2	3	1	4	2	3	0	3	3	4	4	4	3	3	2	4	1	2	3	1	1	2	6	2	2	2	2	0	3	1	1	2	1	1	2	0	1	3	0	1	1	4	1	1	1	2	2	1	0	1	1	1	0	2	4	1	0	2	0	0	2	4	3	0	0	0	1	1	0	0	0	1	1	1	2	0	0	0	1	1	2	1	0	1	1	0	1	0	0	1	2	0	2	0	2	0	2	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3458	1757	1158	838	678	557	453	421	364	296	326	263	246	185	208	193	168	159	143	118	148	125	124	118	112	108	99	105	94	60	86	74	75	75	82	73	70	64	49	63	56	45	42	55	49	47	60	52	39	43	47	38	49	36	35	28	36	27	35	28	24	25	29	34	35	26	38	21	19	33	31	33	21	22	20	13	24	25	16	25	23	21	13	20	11	18	17	14	17	16	18	13	25	20	15	16	13	20	11	17	8	19	11	7	16	15	12	9	5	15	8	11	9	5	11	12	7	8	9	4	11	4	4	1	9	12	10	7	10	5	9	9	9	6	6	2	7	8	11	3	6	10	7	6	5	6	7	3	9	3	4	5	5	2	3	4	5	9	5	7	5	5	3	7	3	4	2	2	3	3	5	2	2	5	5	3	7	3	0	4	1	6	6	5	0	4	2	2	2	6	4	1	3	4	2	2	2	3	2	2	4	1	4	0	1	2	0	1	3	4	4	0	0	4	1	1	1	3	0	0	2	0	2	3	3	2	2	2	1	3	0	1	2	1	0	2	0	0	2	2	3	1	2	0	1	1	2	1	2	2	0	3	2	2	1	0	1	1	0	2	0	1	2	1	0	0	0	0	0	0	1	0	1	0	1	0	2	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	2	1	1	0	0	0	2	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	1712	895	573	454	350	280	213	222	184	133	157	132	132	88	85	95	82	81	79	57	63	71	58	65	59	54	49	43	45	29	41	42	31	40	42	40	33	35	25	36	35	26	19	24	28	25	27	29	18	24	24	16	21	16	13	14	16	17	19	14	10	11	16	20	21	13	18	8	7	13	16	21	13	10	10	4	12	11	9	15	10	14	10	9	8	13	9	4	8	8	11	8	14	13	9	7	8	13	3	7	5	11	5	2	7	6	2	4	2	7	4	4	9	2	7	4	4	4	7	2	6	3	2	1	5	6	4	0	8	1	4	6	5	4	2	2	0	5	5	1	1	8	4	2	3	4	4	1	5	3	1	3	1	2	1	1	2	5	3	4	2	2	2	6	0	3	2	2	1	2	4	1	1	5	2	1	4	1	0	2	1	2	2	1	0	2	1	0	1	4	2	1	1	2	1	0	2	1	1	2	1	1	2	0	1	1	0	0	2	3	3	0	0	2	0	1	1	2	0	0	1	0	2	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	2	0	2	0	0	0	2	0	2	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
