label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92
0.03	north1_all	80	10423	6883	2383	1250	2015	1507	1318	454	448	336	443	258	244	197	145	161	109	91	118	102	68	50	43	46	37	26	32	25	43	32	32	31	23	42	47	11	11	8	10	8	5	16	5	3	3	3	7	1	2	7	3	1	3	3	1	1	0	0	1	0	1	0	1	0	0	2	0	2	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north1_active	80	5309	3766	1128	501	1044	804	705	174	208	140	239	132	117	104	49	89	50	29	51	58	34	19	26	16	16	13	15	12	28	20	17	20	11	31	27	4	5	4	7	4	4	10	3	1	1	2	3	1	0	4	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10555	6979	2393	1260	2114	1555	1286	468	447	339	425	259	242	217	144	172	122	92	119	96	69	48	40	57	37	28	30	29	46	36	25	30	23	55	42	11	12	8	11	10	3	11	7	4	8	4	4	1	4	6	5	2	3	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north2_active	80	5382	3752	1149	504	1085	816	690	192	206	143	224	125	124	117	43	96	62	30	51	59	29	18	23	25	15	12	12	14	33	26	11	19	9	42	20	6	7	4	8	3	3	8	4	2	1	2	1	1	2	4	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	10584	6965	2389	1285	2049	1566	1343	435	413	326	409	259	250	220	148	185	140	99	133	100	70	53	56	59	42	21	28	30	57	38	24	29	20	35	39	12	13	6	8	9	3	12	9	3	7	4	4	2	6	5	4	2	4	3	0	1	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
0.03	north3_active	80	5337	3736	1133	516	1060	844	715	177	189	145	217	121	126	115	56	102	71	30	59	58	35	20	33	27	17	9	11	14	40	25	11	17	4	23	21	9	7	5	6	2	2	10	3	2	2	3	1	1	4	3	2	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	10837	6994	2409	1276	1911	1516	1300	431	415	317	431	257	241	237	146	168	135	103	127	116	75	58	60	62	35	28	35	32	46	36	33	25	21	41	30	10	10	6	8	8	4	10	11	1	7	2	7	3	6	4	2	4	3	3	1	3	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	5498	3757	1142	525	991	802	680	166	185	137	217	124	116	117	54	82	74	43	65	61	37	24	36	26	10	11	13	17	33	22	22	17	3	27	14	5	6	3	4	2	2	5	5	1	2	1	2	1	4	3	1	1	1	2	0	2	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	10854	6889	2464	1292	1770	1516	1281	427	416	342	422	263	229	241	150	185	123	112	130	112	96	65	57	53	33	33	38	28	45	30	32	22	16	27	21	8	8	8	9	6	3	9	10	4	4	2	6	3	6	4	0	2	3	5	1	4	2	1	2	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	5580	3701	1152	524	910	835	674	164	192	165	202	130	98	131	60	88	64	46	63	52	46	26	34	23	8	14	15	15	27	16	25	15	2	14	12	3	3	4	5	2	1	3	5	2	2	1	2	1	3	2	0	0	1	3	0	2	2	0	2	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	10807	6756	2455	1250	1750	1520	1263	431	411	332	444	250	217	247	154	178	123	116	111	105	91	59	56	42	28	45	41	28	38	28	38	23	27	24	24	10	5	9	11	3	3	9	8	5	4	5	5	4	5	4	2	2	7	4	1	4	2	1	2	0	2	0	0	0	3	3	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
