label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86
0.03	north1_all	80	5771	2453	1987	935	729	613	556	871	339	627	182	263	131	124	128	292	109	208	174	64	55	117	42	34	30	26	25	37	16	14	14	12	15	24	23	21	5	7	5	13	3	6	5	1	6	3	4	3	5	2	2	0	1	0	1	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	2530	955	1016	287	218	263	256	590	146	369	58	147	39	49	58	184	61	138	88	28	16	69	15	21	11	4	20	23	5	6	11	6	4	16	12	11	3	2	3	5	3	4	3	0	5	0	1	2	4	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	5688	2444	1994	907	780	585	516	862	341	630	181	288	125	117	116	256	100	175	183	58	56	129	47	40	28	24	28	45	22	20	19	7	13	23	22	14	6	10	6	14	5	5	2	2	9	5	4	3	4	3	2	0	2	0	0	2	1	1	4	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	2472	956	1057	259	234	255	247	548	137	379	59	165	38	45	49	157	62	106	95	22	21	82	14	19	10	3	20	31	6	6	14	3	3	15	14	11	3	3	4	3	2	3	1	1	7	1	0	2	3	3	0	0	1	0	0	1	0	0	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	5777	2391	2024	927	785	611	500	912	306	604	174	279	128	125	108	254	102	143	166	50	54	136	56	38	25	24	28	36	22	18	16	12	15	21	16	10	5	8	2	18	4	2	5	2	11	8	4	3	6	1	2	1	1	2	1	1	1	0	1	0	0	2	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north3_active	80	2526	916	1099	259	255	266	221	566	116	366	53	167	40	51	48	165	59	87	91	21	29	87	20	16	9	4	19	23	5	6	11	6	4	15	13	7	3	2	1	8	1	1	0	1	8	2	0	1	6	1	0	1	1	2	1	1	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	5735	2374	1974	955	820	580	545	922	322	579	180	266	126	119	108	240	101	154	143	54	65	108	67	37	22	29	27	41	19	16	25	12	13	20	17	13	8	6	2	21	8	1	6	3	8	8	2	5	3	1	2	1	1	2	2	2	1	0	1	0	0	2	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	2510	911	1063	280	272	262	256	576	124	364	56	150	37	43	48	132	54	97	79	21	40	81	25	16	5	8	15	29	3	5	14	6	5	16	14	9	6	1	2	10	1	1	0	2	6	3	0	1	3	1	0	1	1	2	1	2	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5715	2433	1951	952	799	592	542	906	308	558	168	258	134	124	105	241	96	192	149	63	64	108	60	42	25	24	30	45	24	17	18	13	11	22	21	14	7	5	4	14	9	2	5	2	3	6	0	7	3	2	2	1	0	2	2	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	2517	924	1032	290	277	254	231	567	120	364	47	144	38	49	45	147	52	122	89	26	44	80	24	16	7	8	19	28	5	7	9	5	2	17	16	12	5	1	4	11	3	0	0	2	2	2	0	2	3	1	0	1	0	2	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
