label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89
0.03	north1_all	80	6119	2894	2891	1242	817	1714	533	469	327	315	253	327	188	166	118	122	143	85	108	169	140	96	67	39	37	52	33	43	26	25	18	15	20	12	12	9	6	9	3	10	8	6	8	5	1	3	4	0	11	3	3	4	3	1	2	2	0	1	2	0	0	1	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north1_active	80	2398	1198	1770	501	261	1332	199	170	135	143	125	194	75	76	34	52	84	32	66	130	111	63	38	16	8	28	13	30	13	14	8	10	14	4	8	2	1	2	2	1	3	3	3	2	1	2	1	0	10	2	3	3	2	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	6147	2837	2691	1196	830	1536	494	443	327	321	252	301	190	153	123	124	125	89	91	165	135	84	52	45	31	45	28	44	23	21	11	20	25	11	11	6	6	6	3	9	4	6	7	3	1	3	3	0	10	2	0	5	3	0	3	2	0	1	2	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
0.03	north2_active	80	2346	1149	1568	480	288	1175	183	145	133	140	125	173	79	68	35	55	69	36	49	127	105	59	29	16	8	21	12	29	10	10	3	15	17	4	8	1	2	1	2	2	2	1	3	2	1	2	0	0	9	1	0	4	3	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	6159	2761	2615	1206	835	1360	461	403	322	297	233	298	168	155	124	117	129	92	88	108	115	77	50	42	25	44	31	38	26	18	13	19	19	10	14	7	6	7	0	7	2	6	5	2	3	2	2	0	11	3	1	4	2	0	4	1	0	1	1	1	1	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0
0.03	north3_active	80	2285	1104	1495	471	301	985	140	132	124	124	109	162	73	55	42	51	73	39	38	79	77	55	29	17	9	23	13	24	13	7	4	11	11	5	9	0	2	2	0	2	0	1	2	1	2	2	0	0	9	1	1	3	2	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north4_all	80	6076	2749	2417	1158	824	1233	451	381	330	283	239	261	172	142	119	121	126	90	88	106	111	79	45	44	27	37	23	43	28	19	11	21	11	15	8	12	7	9	2	5	0	6	3	2	3	2	2	0	3	1	3	2	1	0	7	1	1	0	1	1	1	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
0.03	north4_active	80	2230	1066	1309	451	299	820	131	113	120	104	107	132	72	48	40	54	74	36	37	73	69	49	21	16	9	22	12	23	11	6	1	12	5	4	5	4	3	2	1	3	0	1	2	0	1	2	0	0	1	0	3	1	1	0	2	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	5982	2746	2335	1176	805	1263	475	373	331	261	253	250	172	158	112	115	121	86	90	106	111	71	50	42	29	40	25	38	26	16	12	14	13	16	10	13	7	10	4	7	2	3	4	3	3	1	2	2	1	4	3	1	2	0	5	1	1	0	1	0	1	0	1	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	north5_active	80	2210	1071	1252	450	294	820	145	112	116	95	109	122	76	55	36	46	67	33	41	72	73	42	28	17	10	21	11	18	9	7	1	5	4	4	3	4	2	2	1	4	0	1	2	0	1	0	1	0	0	1	3	0	1	0	2	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	north6_all	80	5850	2775	2322	1209	829	1290	481	383	298	276	279	216	178	160	106	111	116	85	86	110	97	66	50	34	31	32	21	42	30	15	15	13	11	17	13	15	8	12	5	8	3	5	4	4	4	2	1	8	0	4	4	2	2	0	4	1	1	0	0	0	0	1	1	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_active	80	2164	1093	1249	464	299	845	151	114	100	102	120	102	75	59	31	53	62	30	37	73	65	34	28	15	10	14	10	21	13	7	5	6	4	4	4	5	3	4	2	3	1	3	1	2	2	1	1	4	0	1	3	1	1	0	2	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_all	80	5927	2807	2495	1212	833	1427	492	411	274	287	300	242	195	152	109	112	131	80	94	132	100	79	56	33	34	40	17	44	26	18	12	16	17	15	14	10	12	10	5	10	4	3	3	5	3	3	2	8	3	4	6	3	3	1	0	1	0	0	0	1	0	1	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	2222	1095	1395	471	274	977	177	128	99	112	133	119	88	55	36	47	65	28	48	101	67	51	33	17	12	20	5	27	15	8	5	8	7	4	6	3	6	3	1	5	1	3	0	2	2	2	1	4	3	1	5	3	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_all	80	6066	2849	2602	1218	810	1607	477	407	294	281	294	281	206	171	110	115	139	79	115	157	109	80	66	28	34	33	23	62	20	14	17	16	15	10	27	7	14	10	4	8	5	7	2	7	3	2	4	6	3	1	6	3	1	2	1	1	0	0	0	1	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2319	1105	1541	482	264	1158	167	132	108	107	127	158	92	64	42	50	69	32	59	124	77	53	40	12	12	21	9	50	12	6	7	8	7	2	20	1	5	5	1	4	3	5	0	4	2	2	1	4	3	0	5	3	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	6060	2882	2702	1211	819	1749	485	416	304	263	269	301	194	167	105	121	145	77	116	181	141	95	59	30	42	45	24	74	24	24	19	16	15	18	26	10	13	6	4	6	9	7	5	7	3	2	4	1	8	2	24	3	1	3	1	1	0	0	0	1	1	2	0	0	1	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2380	1183	1656	505	257	1330	171	150	119	102	114	174	87	61	38	51	75	41	63	152	102	73	35	12	14	28	8	61	15	8	10	8	6	6	21	2	4	4	1	4	5	5	1	3	2	2	0	0	7	1	23	3	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	6187	2916	2726	1205	823	1818	481	416	337	299	279	307	186	161	109	125	123	83	109	173	151	86	55	35	34	38	25	71	24	27	23	14	11	15	27	7	10	4	3	8	8	7	5	6	1	0	5	3	9	2	27	3	3	3	2	1	0	1	0	1	1	1	0	2	1	1	0	1	0	2	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2452	1203	1708	527	272	1408	167	152	126	122	119	180	82	62	43	59	68	50	62	147	108	66	32	13	11	23	13	55	17	10	12	6	5	6	24	3	2	3	1	3	5	5	1	2	1	0	0	3	8	1	26	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	6270	2966	2975	1258	824	1677	507	404	344	293	261	320	179	167	118	119	121	95	83	131	160	79	61	36	46	50	32	71	15	25	15	22	12	10	27	9	9	5	5	7	15	5	7	2	1	4	5	5	4	0	9	1	2	3	3	1	1	2	0	0	1	2	4	2	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north11_active	80	2393	1202	1810	521	281	1290	170	145	132	124	113	170	72	62	47	59	64	43	41	93	122	54	40	11	17	30	13	69	11	15	8	7	7	4	17	5	3	1	1	5	13	2	2	1	1	3	2	2	3	0	9	1	1	2	2	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north12_all	80	6223	2833	2823	1244	785	1535	476	380	325	312	263	321	177	164	118	122	118	91	88	148	158	66	62	29	46	41	27	46	18	26	14	17	11	16	27	3	11	6	5	8	13	4	6	1	4	3	5	2	4	0	9	1	3	1	2	1	1	1	0	0	1	2	3	1	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north12_active	80	2339	1111	1653	510	289	1120	151	137	121	128	110	159	71	64	46	56	56	34	38	102	118	46	37	8	18	22	12	44	11	15	5	6	6	7	18	2	4	1	2	2	11	1	3	1	2	2	2	1	2	0	8	1	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_all	80	5962	2894	2635	1189	819	1404	463	401	316	306	249	311	162	161	127	128	117	82	107	139	138	65	50	26	39	34	24	46	21	27	17	9	12	19	26	2	7	8	6	6	9	3	7	0	5	5	4	1	7	0	2	2	2	1	1	1	0	4	0	0	1	2	2	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_active	80	2207	1064	1496	483	289	991	146	137	118	117	105	157	61	70	48	52	54	27	44	96	102	43	28	7	17	18	8	43	11	12	3	1	3	9	16	1	2	3	4	2	5	0	5	0	2	4	1	0	2	0	1	2	1	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north14_all	80	5882	2849	2422	1193	848	1238	445	415	312	286	241	286	160	157	135	115	119	75	97	128	105	66	53	28	29	30	21	33	20	28	20	8	15	18	20	3	6	11	8	6	11	3	7	2	5	3	4	0	6	1	2	3	3	2	0	1	0	3	0	0	1	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	2186	1033	1349	460	299	812	139	130	125	115	89	151	66	70	48	48	58	27	40	82	76	42	25	10	10	18	10	26	10	13	3	3	5	11	11	0	1	4	5	2	4	1	4	1	2	2	1	0	1	0	1	3	2	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	5870	2821	2330	1226	849	1163	456	426	335	281	250	264	168	150	121	112	107	72	105	128	111	79	46	34	17	28	16	29	24	25	19	13	18	14	15	9	5	11	7	2	9	4	5	3	5	8	6	1	5	2	1	3	4	2	0	0	0	4	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north15_active	80	2174	1039	1288	473	272	741	150	131	133	120	97	144	66	60	46	48	57	28	44	88	70	48	17	12	5	17	7	16	9	13	5	5	8	8	7	3	1	4	5	0	2	2	2	2	2	7	2	0	1	0	1	3	3	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north16_all	80	5871	2805	2430	1234	861	1265	478	418	341	264	269	278	189	147	114	101	105	86	106	148	105	105	49	40	18	26	23	42	20	20	17	15	17	12	14	9	3	14	4	3	12	8	4	5	5	7	5	2	4	4	0	2	2	3	0	0	0	4	1	0	0	0	1	0	0	3	0	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north16_active	80	2237	1058	1372	476	293	831	160	127	136	116	96	148	81	52	36	42	65	30	45	107	65	57	21	15	5	14	11	25	5	12	5	6	9	7	7	4	1	4	3	0	2	3	1	3	2	5	2	0	0	1	0	2	2	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north17_all	80	5985	2781	2607	1198	830	1435	481	388	352	272	268	277	192	139	108	90	116	96	109	190	105	125	52	40	26	30	22	47	19	17	16	16	14	14	10	8	5	17	5	4	19	8	4	4	8	13	4	3	0	6	1	0	1	2	0	0	0	2	1	0	0	0	0	0	1	1	0	0	5	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north17_active	80	2333	1101	1524	459	274	989	172	125	126	113	102	152	91	43	43	35	71	35	53	145	67	68	24	16	11	18	9	27	4	12	8	7	6	7	5	5	2	6	4	1	9	3	2	2	5	8	2	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north18_all	80	6061	2895	2665	1173	797	1603	519	375	346	260	251	264	191	124	125	97	123	102	113	187	96	121	53	36	34	37	25	54	16	18	14	18	14	13	13	6	4	13	4	5	19	7	3	4	9	11	2	4	1	8	3	5	1	3	3	1	0	1	1	0	0	0	0	0	1	3	0	0	5	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0
0.03	north18_active	80	2404	1164	1594	473	277	1158	185	125	115	102	94	145	81	38	53	44	71	36	51	140	67	68	26	12	14	24	11	39	4	11	7	6	5	7	9	3	2	6	3	3	10	3	2	1	5	6	1	1	1	4	2	4	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north19_all	80	6207	2957	2815	1206	783	1829	507	388	331	283	230	269	169	127	143	95	124	96	99	234	110	133	61	31	37	46	24	53	10	20	15	11	13	16	12	7	4	8	7	5	14	3	2	3	9	11	2	4	2	6	3	5	0	2	3	1	0	1	1	0	0	0	0	0	1	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north19_active	80	2448	1212	1724	504	272	1401	192	129	119	115	95	158	73	52	66	49	79	40	48	185	83	82	35	11	17	25	9	33	5	10	7	4	4	9	6	3	2	5	4	3	10	2	1	0	6	5	0	2	2	3	2	4	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	6160	2959	2736	1268	787	1925	496	378	326	276	247	286	161	118	142	126	149	110	98	176	117	109	59	33	36	44	24	63	8	24	11	11	20	14	14	12	2	5	5	3	6	4	1	7	6	12	2	3	4	4	14	5	0	2	3	1	1	0	1	2	0	0	0	0	1	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north20_active	80	2437	1210	1662	533	272	1504	184	134	126	117	97	178	58	51	65	70	96	43	43	126	94	71	34	9	15	25	11	40	5	8	5	3	6	8	6	7	1	4	3	2	5	3	0	1	2	5	0	2	4	3	13	4	0	2	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	12235	3019	1584	1465	1521	785	675	636	1026	653	258	282	251	221	271	107	99	139	88	65	74	44	35	34	35	27	62	20	15	15	22	17	13	8	21	6	9	13	11	3	4	4	8	5	3	11	3	2	7	2	1	2	2	2	0	2	0	1	5	0	0	2	1	3	1	3	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
