label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45
0.03	north1_all	80	28622	18723	14089	6843	3000	2604	1147	835	1819	947	993	251	320	456	153	101	69	63	64	58	30	25	25	4	14	12	7	1	2	1	2	0	7	3	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	13161	10656	8874	4096	1609	1481	523	353	1119	599	644	115	186	325	79	57	40	35	31	45	13	11	13	2	7	6	5	0	2	1	0	0	7	3	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	28868	18848	14370	6868	3046	2664	1175	884	1825	980	1018	260	350	469	146	119	79	66	51	64	33	25	21	8	14	12	10	4	3	0	0	0	7	3	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	13396	10950	9055	4043	1640	1525	508	401	1094	544	689	115	204	360	76	65	45	41	23	49	11	16	13	5	6	4	8	3	2	0	0	0	7	3	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	28931	18903	14065	6943	3017	2631	1188	865	1856	1064	1122	255	338	489	157	121	73	72	58	58	43	20	18	11	14	11	10	6	2	0	2	3	6	2	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	13392	11052	8847	4109	1637	1521	516	402	1168	596	770	109	206	338	85	63	43	46	24	43	16	12	11	6	6	4	6	4	1	0	0	3	6	2	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	28909	18715	14302	6903	2993	2622	1210	842	1814	1121	1060	245	379	463	152	138	77	61	63	52	42	25	35	9	9	8	6	7	3	1	2	3	0	2	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	13260	11064	9005	4149	1569	1529	537	406	1107	638	761	106	241	291	82	77	47	34	24	35	16	17	29	5	4	3	3	4	2	1	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	28780	18915	14219	6888	3036	2563	1182	859	1939	1143	1079	242	379	451	135	136	85	59	58	58	42	25	28	10	8	14	6	6	6	2	3	3	1	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	13117	11137	8812	4139	1549	1518	530	427	1176	712	790	108	256	263	76	75	51	32	26	37	16	14	24	5	5	8	2	4	5	1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	28784	18887	14442	6748	3048	2595	1206	849	1941	1138	1086	256	368	458	146	133	93	44	51	64	33	26	30	9	10	11	9	4	6	2	4	2	1	6	0	0	0	0	1	2	0	0	0	0	0	0
0.03	north6_active	80	13136	11051	8906	4057	1527	1517	567	424	1175	737	773	121	233	288	78	61	58	28	29	38	11	15	24	5	8	8	2	1	5	1	1	2	1	6	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north7_all	80	28802	18785	14248	6743	2994	2534	1211	851	1981	1173	1020	260	336	520	134	131	93	46	54	61	34	28	17	8	11	12	7	2	6	1	3	0	1	4	0	0	1	0	0	2	0	0	0	0	0	0
0.03	north7_active	80	13189	10943	8723	4021	1492	1470	594	420	1223	786	711	117	207	346	76	70	51	25	27	35	18	13	12	5	8	10	2	1	5	0	1	0	1	4	0	0	1	0	0	2	0	0	0	0	0	0
0.03	north8_all	80	28757	18718	14582	6802	2904	2551	1218	844	2010	1096	1001	256	295	560	136	130	89	41	65	54	41	20	10	9	12	13	7	5	8	0	3	0	3	4	0	0	1	0	0	2	0	0	0	0	0	0
0.03	north8_active	80	13224	10863	8980	4058	1445	1460	600	405	1268	685	669	117	168	385	71	65	55	25	35	28	24	8	4	5	7	11	3	2	6	0	1	0	3	4	0	0	1	0	0	2	0	0	0	0	0	0
0.03	north9_all	80	28841	18654	14498	6804	2937	2546	1241	823	2005	1042	919	247	305	616	142	146	72	50	68	46	47	19	15	3	11	11	11	4	9	0	2	1	3	0	2	0	1	0	0	0	0	0	0	0	0	0
