label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	north1_all	80	58352	33509	12268	5605	6295	2654	1992	2088	872	488	593	391	261	352	140	100	71	88	70	30	39	28	25	16	11	20	2	13	0	5	0	0	5	3	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	44672	29010	9182	3181	5183	1677	1330	1744	444	126	417	257	129	311	59	49	28	52	45	14	29	21	19	2	3	20	2	12	0	3	0	0	5	3	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	58327	33694	12222	5523	6247	2680	1984	2051	880	499	674	360	251	387	152	105	66	80	86	29	29	34	23	17	10	6	6	13	1	5	1	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	44564	29127	9173	3130	5186	1632	1314	1715	464	124	488	242	110	347	62	55	21	49	54	15	19	28	18	4	3	4	4	11	0	4	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	58764	33469	12462	5530	6124	2625	1998	2005	876	533	630	381	235	421	158	116	66	60	78	29	36	35	28	11	9	7	6	5	4	4	2	1	3	4	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0
0.03	north3_active	80	44973	28894	9395	3171	5096	1556	1339	1668	440	136	463	259	93	383	64	60	12	42	52	10	23	28	24	4	6	4	4	3	1	3	0	0	2	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_all	80	58314	33890	12307	5593	6308	2645	2016	2035	821	579	680	382	236	388	158	108	65	59	87	28	51	34	35	13	7	10	11	7	7	3	4	3	1	4	0	2	0	3	0	0	1	1	0	0	1	1	0	1	1
0.03	north4_active	80	44538	29342	9235	3208	5289	1559	1360	1677	416	162	524	258	88	339	64	56	11	41	69	9	39	25	27	5	5	7	6	6	2	2	1	0	0	4	0	2	0	3	0	0	0	0	0	0	0	1	0	1	1
0.03	north5_all	80	57948	33937	12312	5668	6379	2645	2006	1995	809	573	636	400	240	381	162	110	66	59	106	25	65	34	35	15	6	12	10	5	7	2	4	2	1	4	3	2	0	1	0	0	2	1	0	0	1	1	1	1	1
0.03	north5_active	80	44315	29460	9264	3240	5350	1539	1341	1628	397	166	481	276	99	327	67	49	16	42	90	4	51	25	28	7	4	10	7	4	2	1	2	0	0	4	0	2	0	1	0	0	0	0	0	0	0	1	1	1	1
