label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51
0.03	north1_all	80	68919	29228	8421	5269	6586	5098	1684	1168	1403	666	429	343	356	172	163	120	136	109	57	69	41	19	21	22	18	9	7	8	3	2	5	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	42543	18099	3964	2564	4023	3186	849	629	799	304	188	171	203	78	81	56	85	64	23	50	20	7	11	15	8	4	2	3	2	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	68932	29196	8305	5223	6583	5213	1736	1200	1525	643	418	372	369	165	166	132	141	109	63	64	39	20	27	24	14	8	3	10	3	2	4	2	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	42373	18102	3933	2487	3968	3356	894	635	897	298	183	175	221	77	84	64	89	48	27	48	19	11	14	18	4	5	1	4	1	1	3	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	68532	29185	8369	5189	6590	5155	1798	1223	1504	610	419	381	378	172	175	120	110	96	61	71	30	26	29	21	23	4	5	9	5	2	4	4	0	1	1	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	42138	18129	4049	2462	4061	3295	917	659	918	299	191	177	226	84	99	61	65	41	26	50	14	11	13	17	11	2	1	4	2	1	2	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	68416	29034	8417	5176	6609	5163	1806	1211	1546	614	423	362	373	160	179	117	124	95	54	62	25	27	28	29	23	6	7	6	5	2	3	4	1	2	0	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	42195	18001	4162	2493	4118	3324	913	630	902	314	198	163	221	73	103	62	78	42	24	36	13	13	12	16	11	2	1	3	1	1	1	2	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	68567	29132	8479	5094	6698	5129	1792	1231	1490	625	444	346	368	173	190	111	99	108	52	74	28	26	22	30	26	6	8	1	6	2	2	3	2	2	1	1	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	42546	18136	4207	2475	4266	3237	857	625	917	320	207	164	219	85	107	64	62	59	23	36	18	10	11	15	13	2	1	1	2	1	0	1	1	2	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
