label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	north1_all	80	11184	6320	4623	3037	1581	622	573	412	225	266	194	103	100	56	50	24	30	25	14	20	12	8	8	15	9	2	1	5	1	6	0	0	1	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5298	4384	3735	2482	1263	170	352	247	57	191	153	36	32	12	23	4	13	11	7	16	7	2	4	15	9	0	0	2	0	4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	11314	6717	4939	3150	1773	639	623	433	230	269	217	92	86	53	57	27	40	31	16	23	12	15	7	16	11	1	2	4	0	1	0	0	1	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	5612	4830	4126	2629	1460	156	404	276	63	199	169	32	30	14	29	8	21	12	12	21	8	3	4	15	11	0	0	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	11533	6958	5520	3518	1936	620	676	452	234	279	225	97	80	51	59	32	44	31	14	26	14	15	4	23	5	1	2	0	1	1	0	0	0	2	3	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5982	5187	4696	3017	1624	145	456	305	73	205	178	36	29	20	31	9	22	13	8	26	10	3	3	20	5	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11495	7191	5704	3661	1922	637	678	453	223	282	239	94	70	56	70	31	41	25	13	38	12	10	3	14	7	1	2	0	1	0	0	2	3	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	6010	5420	4891	3163	1590	151	458	306	66	213	194	36	25	21	43	9	23	9	6	37	8	3	1	9	6	1	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	11461	7351	5572	3782	1899	632	656	441	218	280	251	106	84	51	66	33	36	20	14	43	15	5	6	12	8	2	1	0	1	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	6061	5467	4806	3297	1589	165	447	305	81	214	210	43	26	20	39	10	17	8	4	38	10	1	1	8	6	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	11342	7094	5155	3506	1790	664	612	445	221	283	271	99	81	55	65	32	28	20	21	43	9	4	9	8	8	2	1	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	5844	5163	4386	2986	1476	191	403	292	75	219	224	40	23	18	40	12	11	8	6	37	5	1	1	3	6	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	11146	6597	4557	3099	1710	657	609	413	225	267	231	99	82	51	58	31	29	23	21	44	8	3	9	8	11	1	2	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	5537	4658	3734	2601	1380	200	387	269	69	193	183	33	27	12	34	16	10	11	5	38	4	0	1	6	9	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	11073	6381	4647	3080	1699	674	593	464	215	259	231	103	82	51	47	31	30	27	20	34	13	5	12	9	23	1	2	1	3	2	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	5467	4562	3795	2581	1336	180	373	311	49	179	189	33	26	13	23	18	14	15	5	29	6	0	2	7	21	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	11213	6347	4824	3175	1735	656	598	486	215	259	247	109	74	54	47	30	29	31	20	24	12	6	11	7	25	2	1	2	4	5	1	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	5593	4627	3994	2686	1354	174	378	332	47	172	200	43	26	13	22	18	12	20	8	19	5	0	1	7	23	0	1	1	0	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	11383	6537	5279	3446	1890	663	603	542	216	290	294	115	75	54	54	36	22	30	18	23	14	8	8	10	26	2	0	1	2	5	1	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	5886	4862	4504	2973	1502	172	401	399	44	207	248	57	26	18	25	24	10	17	10	17	7	1	1	9	23	0	0	1	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	10906	5824	4135	2777	1487	611	557	405	246	231	200	106	76	58	53	48	23	28	12	21	12	6	7	5	11	4	6	1	1	4	0	2	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
0.03	north11_active	80	4795	3922	3222	2232	1071	167	334	252	59	152	149	52	15	15	29	19	9	13	2	18	8	3	0	2	8	2	4	1	0	3	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	11090	6198	4464	3126	1615	652	630	431	231	249	211	96	73	55	48	42	27	27	15	25	6	5	7	5	15	5	2	2	1	4	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
