label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50
0.03	north1_all	80	63359	12587	8043	6305	2777	1900	3080	2121	1499	769	961	510	564	331	206	202	162	71	114	64	74	33	45	18	17	20	8	4	7	18	7	6	2	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	39510	5797	4064	3645	1243	861	1945	1309	928	448	634	287	375	213	108	134	100	31	62	23	40	13	31	9	12	16	5	2	6	5	3	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	62955	12675	8037	6187	2733	1914	3406	2116	1489	763	867	521	594	328	190	215	155	65	102	69	78	29	55	15	30	20	7	3	6	12	5	5	1	0	1	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	0
0.03	north2_active	80	39240	5805	3992	3550	1244	884	2161	1270	921	421	568	292	380	221	98	147	96	26	65	29	45	11	29	8	26	16	5	1	4	2	2	5	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
0.03	north3_all	80	62913	12665	8041	6134	2769	1974	3258	2090	1502	752	870	488	575	326	203	225	183	61	98	81	66	26	63	17	33	16	9	2	5	11	1	3	2	3	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0
0.03	north3_active	80	39195	5845	4002	3476	1259	918	1958	1278	884	422	530	278	379	215	89	145	107	22	62	42	36	10	33	7	24	13	6	0	3	1	0	3	1	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
0.03	north4_all	80	62885	12699	7949	6301	2768	1958	3114	2105	1529	780	979	472	567	300	178	231	180	53	96	86	69	17	69	15	33	21	14	4	7	2	1	1	3	4	2	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0
0.03	north4_active	80	39118	5822	3958	3561	1211	959	1840	1323	920	445	626	273	356	205	86	132	101	20	55	49	41	5	38	4	24	19	6	1	5	1	0	1	0	2	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0
0.03	north5_all	80	63288	12712	7908	6321	2745	1960	3068	2109	1554	760	1008	470	543	312	170	232	171	54	89	86	64	23	59	17	22	20	16	6	8	3	3	1	3	4	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	39518	5850	4022	3602	1188	954	1842	1309	957	403	648	272	340	195	86	106	100	23	52	51	41	9	33	5	11	18	7	2	6	2	2	1	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	63310	12632	7979	6318	2706	1908	3300	2061	1562	775	1054	481	546	324	174	217	143	54	90	79	68	22	67	19	22	15	21	7	8	8	8	1	4	1	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	39613	5804	4001	3583	1187	902	2020	1311	999	417	692	285	337	204	87	99	89	27	49	42	46	11	49	5	13	12	13	4	7	6	5	0	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	63066	12647	8046	6178	2657	1954	3195	2105	1573	799	1017	520	554	304	172	208	154	62	78	90	70	28	58	22	21	21	19	6	9	12	9	5	4	1	1	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	39571	5839	4093	3510	1183	894	1951	1325	1012	437	677	321	352	177	84	113	93	33	43	50	43	16	42	6	13	15	12	4	7	8	6	3	1	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_all	80	62513	12717	8160	6285	2728	1968	3009	2168	1518	828	933	523	642	309	181	199	169	65	75	92	55	33	66	18	27	17	16	5	4	10	7	7	5	1	3	3	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	39082	5909	4124	3532	1210	901	1853	1354	967	439	569	300	406	175	80	138	107	36	40	61	29	20	50	4	18	8	12	3	1	7	5	3	1	0	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
