label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41
0.03	north1_all	80	4712	1617	890	1230	407	548	182	137	98	146	92	61	29	60	20	17	21	12	4	2	25	9	5	4	17	11	1	4	0	1	3	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	2663	551	228	998	173	440	40	26	21	110	55	37	4	50	7	4	13	10	3	1	23	8	2	4	16	11	0	4	0	1	3	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	4680	1626	889	1232	383	587	186	147	106	147	81	64	29	49	19	21	16	12	2	3	19	5	7	1	18	13	1	4	0	1	1	0	1	0	5	0	0	0	0	0	0	0
0.03	north2_active	80	2637	557	217	984	152	473	42	31	23	103	49	36	3	40	7	6	9	10	0	2	17	5	1	1	17	13	0	4	0	1	1	0	1	0	5	0	0	0	0	0	0	0
0.03	north3_all	80	4617	1610	881	1253	399	575	210	146	108	162	86	71	27	48	23	21	14	10	5	2	23	5	6	2	7	14	0	2	0	1	2	0	2	0	5	0	0	0	0	0	0	0
0.03	north3_active	80	2619	528	209	994	160	464	43	28	23	116	54	39	4	39	8	5	10	9	0	1	21	5	0	1	6	14	0	2	0	1	2	0	2	0	5	0	0	0	0	0	0	0
0.03	north4_all	80	4634	1606	888	1249	388	588	212	132	117	165	91	68	30	44	22	20	15	14	6	4	26	1	5	2	4	27	0	5	1	0	2	1	3	0	5	0	0	0	0	0	0	0
0.03	north4_active	80	2659	511	231	1017	161	487	44	25	31	120	62	37	5	34	8	6	13	11	0	2	26	1	0	1	4	26	0	5	1	0	2	1	2	0	5	0	0	0	0	0	0	0
0.03	north5_all	80	4671	1532	898	1174	412	542	210	143	105	161	87	58	29	45	20	10	14	15	5	8	11	2	1	3	5	24	1	7	1	0	3	1	2	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	2570	454	236	944	149	417	47	30	32	119	62	28	8	32	7	3	11	10	0	3	11	2	0	1	5	23	1	7	1	0	2	1	1	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4567	1525	890	1053	402	500	194	145	101	152	69	41	33	39	17	10	14	15	5	8	9	3	0	1	3	25	1	5	1	0	2	2	1	0	0	0	0	0	0	1	0	0
0.03	north6_active	80	2401	432	232	812	136	383	40	32	26	112	51	22	9	28	8	2	12	8	0	2	9	2	0	0	3	24	1	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	4526	1597	910	984	398	498	189	144	104	141	67	51	38	51	17	9	14	12	6	11	5	3	0	3	2	8	1	2	3	1	1	2	0	0	0	0	0	0	0	1	0	0
0.03	north7_active	80	2331	436	231	749	145	359	34	37	27	99	51	26	11	35	9	1	9	6	0	2	4	2	0	1	2	8	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	4422	1671	921	912	369	478	172	139	95	124	64	47	47	47	21	12	15	10	7	12	10	4	1	3	7	11	1	0	4	3	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2199	445	225	656	141	350	33	39	21	82	46	26	15	31	7	2	10	4	0	2	9	2	0	1	7	11	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	4382	1682	872	935	369	486	184	122	98	119	64	48	50	42	28	13	16	11	7	12	11	3	2	2	19	19	0	0	4	3	0	2	0	0	0	0	0	1	0	0	0	0
0.03	north9_active	80	2217	437	212	679	149	360	43	36	23	78	45	27	14	29	7	3	9	4	1	2	9	2	0	1	19	19	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	4396	1660	890	947	373	519	178	113	101	114	69	48	41	40	26	11	16	9	9	9	10	4	3	1	22	18	0	3	5	2	3	2	0	0	0	0	0	1	0	0	0	0
0.03	north10_active	80	2143	439	191	677	142	400	43	33	26	71	44	28	14	24	4	3	9	2	3	2	7	3	0	1	22	17	0	2	5	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	4821	1619	865	1213	408	632	168	147	102	169	81	51	30	55	19	12	32	12	15	6	20	3	4	1	20	3	5	4	3	1	0	0	1	0	0	0	0	0	5	0	0	0
0.03	north11_active	80	2749	542	211	1000	169	510	38	31	19	143	56	30	8	40	5	4	16	9	7	0	19	1	1	1	18	2	1	3	3	0	0	0	0	0	0	0	0	0	5	0	0	0
0.03	north12_all	80	4719	1624	891	1208	414	639	161	138	106	161	72	61	36	56	17	14	29	8	17	6	33	4	6	1	19	3	3	2	8	2	0	0	1	0	0	1	0	0	5	0	0	0
0.03	north12_active	80	2721	556	214	993	178	506	37	31	25	127	46	41	10	44	4	3	16	6	7	0	31	3	1	1	17	2	0	2	8	0	0	0	0	0	0	1	0	0	5	0	0	0
