label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57
0.03	north1_all	80	41766	22265	19234	6093	8309	5962	2546	2729	1262	1343	1256	653	508	449	402	191	223	119	108	76	52	44	29	28	22	35	41	13	31	10	3	7	5	5	3	1	1	1	1	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	17664	14894	16111	2648	7065	5047	1596	2221	625	1016	1043	455	328	335	330	56	159	45	56	22	27	10	6	16	15	25	37	6	27	7	1	7	1	1	2	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	41768	22300	19359	6022	8292	6094	2523	2746	1284	1309	1206	673	517	394	403	192	230	125	115	81	57	44	32	27	18	24	44	12	19	8	2	5	6	3	4	1	0	0	1	0	1	1	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	17788	14888	16294	2693	7087	5183	1568	2244	664	984	1003	470	323	294	328	67	167	40	68	19	29	8	8	11	11	15	39	4	17	4	1	5	1	3	2	0	0	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	41369	22407	18929	6090	8328	6121	2539	2760	1244	1332	1151	658	470	450	402	186	231	126	131	80	62	38	36	30	19	21	31	12	26	10	3	8	5	2	3	3	1	1	2	0	1	1	0	2	6	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	north3_active	80	17509	15044	15949	2752	7151	5215	1600	2217	626	1011	947	474	282	353	323	62	161	36	77	21	33	8	13	12	11	12	27	2	24	5	1	8	1	2	1	0	1	1	1	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	north4_all	80	41332	22421	18926	6023	8538	6025	2498	2669	1224	1342	1146	678	476	449	402	174	216	125	126	88	64	38	34	39	14	23	24	20	18	7	3	8	3	2	3	3	1	1	3	0	0	3	0	1	6	0	3	0	0	0	0	0	0	0	0	3	0	0
0.03	north4_active	80	17414	15043	15911	2696	7280	5162	1548	2157	613	1026	939	487	285	352	324	51	161	40	76	17	29	7	16	17	4	17	21	5	15	3	1	8	0	2	0	0	1	1	1	0	0	1	0	0	6	0	3	0	0	0	0	0	0	0	0	3	0	0
0.03	north5_all	80	41318	22388	18804	6118	8396	6117	2492	2739	1205	1390	1261	697	509	491	400	163	220	120	113	86	71	44	40	46	22	26	24	22	22	9	3	9	4	1	3	5	1	2	3	0	0	2	0	1	0	0	3	0	0	0	0	0	1	0	0	3	0	0
0.03	north5_active	80	17471	15002	15774	2702	7106	5255	1560	2200	576	1068	1034	491	315	375	334	43	167	42	59	22	31	8	18	23	9	19	19	7	18	4	0	9	1	0	0	1	1	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0
0.03	north6_all	80	41171	22264	19131	6084	8259	6218	2465	2667	1206	1374	1268	677	503	486	408	170	250	111	110	84	68	45	44	54	30	33	25	22	18	6	5	6	5	3	2	3	0	2	3	0	0	2	1	0	0	0	3	1	0	0	0	0	1	0	0	3	0	0
0.03	north6_active	80	17343	14859	16074	2638	6966	5284	1539	2174	602	1052	1042	477	320	368	333	52	198	38	59	25	34	10	16	35	15	23	18	9	11	2	3	5	1	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0
0.03	north7_all	80	41390	22368	18733	6115	8298	6161	2525	2615	1172	1430	1326	685	478	495	390	175	226	113	100	79	68	52	43	58	29	33	23	19	23	10	9	7	6	8	4	3	2	3	2	1	1	0	1	0	0	1	3	1	0	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	17340	14974	15595	2628	7016	5203	1528	2123	588	1095	1110	471	299	367	322	59	176	41	54	23	33	12	13	37	19	23	16	9	16	6	4	5	2	2	2	2	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	41605	22371	19084	6129	8140	6043	2536	2609	1144	1335	1275	682	442	516	367	190	235	106	106	72	58	49	34	52	34	22	23	14	22	12	9	18	6	10	5	2	2	3	1	2	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	17402	14958	15944	2646	6925	5128	1549	2121	586	1015	1070	472	277	394	298	67	184	32	55	22	28	14	10	33	22	15	13	8	16	8	4	16	1	4	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	41716	22489	18914	6006	8392	5768	2567	2643	1139	1342	1330	712	411	494	350	182	216	93	87	79	58	47	35	37	39	22	34	13	27	15	8	15	8	8	5	1	2	1	4	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	17568	15087	15845	2599	7169	4879	1580	2125	570	1042	1113	477	260	384	285	66	177	29	43	25	25	12	10	21	24	17	24	6	21	11	3	14	2	4	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	41670	22708	18794	6107	8594	5892	2533	2652	1176	1356	1342	705	391	505	357	183	226	91	74	74	59	40	30	39	39	18	36	16	22	10	12	17	4	3	6	1	0	0	5	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	17756	15215	15696	2670	7333	5032	1541	2132	572	1074	1110	470	247	382	285	59	185	25	35	23	21	12	9	21	22	16	26	7	18	7	3	16	1	2	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	41392	22321	19770	5989	8047	5527	2517	2821	1195	1347	1184	704	443	537	401	196	205	106	88	66	61	33	32	42	17	28	27	14	23	11	3	12	4	2	1	2	4	2	1	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	17441	14726	16599	2561	6752	4634	1510	2278	561	995	956	490	276	417	315	57	152	46	48	21	28	10	15	25	5	20	16	8	18	10	2	9	1	0	0	0	4	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	41490	22297	19708	6127	8400	5713	2542	2823	1233	1368	1249	680	471	518	442	181	200	118	86	70	68	39	32	40	25	25	24	12	28	8	6	11	4	2	2	0	1	2	1	0	2	1	1	0	6	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	17573	14936	16627	2694	7120	4812	1541	2304	584	1018	1027	494	285	398	354	62	153	44	45	20	33	15	15	26	14	17	14	7	22	7	5	6	0	0	0	0	1	2	0	0	0	1	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	41316	22197	19710	6214	8691	5749	2509	2761	1233	1398	1256	639	444	558	439	182	207	112	93	65	69	52	33	38	27	23	20	13	26	10	9	6	3	2	3	0	1	3	0	1	2	0	1	0	6	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	17597	14773	16657	2735	7397	4878	1496	2254	582	1061	1049	462	247	440	352	63	153	44	50	18	37	23	14	28	17	15	10	7	22	8	7	3	0	1	0	0	0	1	0	1	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	41392	22189	19436	6301	8649	5661	2447	2626	1252	1447	1270	589	500	542	410	182	227	127	97	62	58	53	30	31	36	18	19	13	24	12	17	7	5	2	3	1	1	2	0	1	2	0	0	0	6	1	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_active	80	17590	14688	16374	2780	7350	4799	1481	2130	596	1108	1066	414	285	427	329	60	183	44	53	13	30	24	9	20	25	11	15	7	20	6	14	4	0	1	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_all	80	41266	22259	19362	6243	8554	5861	2461	2526	1266	1365	1217	637	478	515	362	184	225	133	103	64	60	48	32	36	28	13	20	12	29	16	17	6	3	2	3	1	2	2	0	1	1	5	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_active	80	17496	14635	16256	2713	7270	4966	1510	2034	609	1067	1004	422	291	402	282	58	173	43	60	15	27	19	9	20	21	9	13	6	24	6	14	5	0	1	0	0	0	0	0	1	0	5	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_all	80	41392	22433	19220	6160	8473	5903	2560	2603	1307	1378	1202	686	479	512	346	193	227	136	106	77	51	45	39	35	25	9	17	14	23	15	14	8	3	3	1	2	2	0	0	0	0	7	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north16_active	80	17431	14761	16085	2665	7191	5006	1659	2096	648	1071	981	434	311	398	269	65	177	46	52	21	19	16	11	22	19	7	11	5	18	6	13	5	0	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_all	80	41448	22347	19254	5958	8373	6139	2624	2683	1311	1359	1261	705	467	477	390	183	217	135	100	94	63	46	36	41	21	8	25	15	17	16	13	9	3	2	1	2	3	0	0	1	0	7	1	1	0	2	0	0	0	0	1	1	1	0	2	0	1	0
0.03	north17_active	80	17569	14752	16094	2531	7123	5249	1701	2176	647	1061	1041	457	298	384	296	64	160	48	46	18	24	15	11	27	14	6	15	4	11	8	12	6	1	0	1	0	1	0	0	0	0	6	0	0	0	2	0	0	0	0	1	0	0	0	2	0	1	0
