label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	north1_all	80	29239	13797	10078	7457	7955	6055	1794	1092	991	917	898	1112	325	270	184	204	146	143	111	105	52	55	51	58	27	38	20	18	11	8	25	7	7	11	3	1	2	3	1	1	5	0	1	2	5	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north1_active	80	13386	6948	5508	4390	4974	3749	877	488	516	499	533	711	140	129	85	100	77	72	53	65	20	37	32	37	12	29	13	4	7	4	14	4	6	8	2	1	1	3	1	0	0	0	0	0	5	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	29297	13983	10054	7480	7797	6143	1732	1122	1026	914	900	1047	306	290	180	193	149	136	116	116	59	51	72	45	29	45	24	22	9	6	22	5	14	9	4	0	3	5	1	0	5	0	1	2	0	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north2_active	80	13356	6942	5569	4362	4834	3816	866	494	515	499	512	635	141	141	94	97	87	67	57	75	27	25	44	29	14	36	19	8	5	3	11	2	10	8	3	0	2	4	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	29138	14124	9963	7472	7891	6056	1724	1082	1048	968	917	1009	304	282	178	200	182	146	92	110	57	57	70	53	24	44	30	10	9	7	16	4	9	9	7	2	4	5	0	0	1	0	2	1	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north3_active	80	13293	6999	5551	4346	4945	3811	836	471	527	534	510	609	148	140	90	111	106	68	48	70	29	25	35	37	8	32	20	5	5	7	8	2	6	7	6	0	3	4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	28978	14088	10042	7535	8189	6126	1688	1045	1034	960	908	1054	308	267	171	211	193	128	90	118	54	57	87	56	27	36	32	12	9	6	16	7	10	4	8	2	3	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	13274	6896	5603	4379	5265	3971	816	460	524	534	515	657	153	133	87	105	111	60	47	77	29	30	49	44	9	25	20	7	6	6	6	6	7	2	8	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	28807	14041	10197	7646	7978	6074	1711	1021	1002	948	926	1081	324	254	184	222	196	124	93	112	58	55	77	62	24	26	30	12	15	9	25	9	5	5	11	3	2	1	1	0	5	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	13312	6864	5707	4462	5163	3936	828	438	502	528	540	671	162	137	91	115	114	66	50	72	30	28	45	51	8	16	14	4	9	6	16	6	4	3	10	0	2	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
