label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60
0.03	north1_all	80	30113	28352	7274	8045	5928	4557	1498	1416	1179	1255	588	427	686	267	206	165	175	145	90	117	52	27	64	41	43	22	18	9	12	31	8	7	9	9	1	8	5	2	3	6	1	0	3	2	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0
0.03	north1_active	80	14257	17322	3489	4816	3703	2733	681	731	615	728	302	217	435	109	99	70	90	82	44	74	19	9	46	15	21	11	14	5	4	13	2	4	5	4	0	4	3	0	3	4	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	30849	29528	7303	8477	6195	4773	1552	1453	1223	1281	632	470	712	271	231	163	195	156	97	115	60	37	74	50	39	19	17	16	7	23	7	8	6	9	1	4	6	2	2	3	1	2	3	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
0.03	north2_active	80	14849	18323	3543	5130	3851	2901	692	764	628	740	342	256	449	126	109	74	115	85	48	77	26	11	54	22	20	9	12	8	3	11	2	5	1	2	0	3	4	0	2	1	0	2	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	31602	31103	7424	8847	6357	5073	1586	1448	1227	1303	667	468	732	273	227	177	201	151	93	110	63	40	69	52	38	17	19	17	6	19	3	10	6	11	2	3	5	2	2	4	1	2	3	2	0	2	0	4	0	1	1	0	0	0	0	0	1	0	1	0	0
0.03	north3_active	80	15311	19604	3605	5384	3969	3164	743	771	665	755	353	265	480	127	109	85	116	80	49	77	28	13	48	20	22	6	10	10	2	11	0	5	0	4	0	2	3	0	2	2	0	2	3	2	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	32070	32198	7535	9192	6380	5227	1644	1509	1245	1374	672	508	751	284	218	164	173	149	91	97	72	54	57	58	41	21	18	19	9	23	2	9	8	10	2	2	3	2	0	2	2	2	1	0	0	1	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	15663	20637	3682	5686	3994	3270	752	813	685	835	368	284	460	144	109	70	101	71	46	67	34	21	37	34	27	10	11	11	5	13	1	3	2	3	0	1	2	0	0	1	2	2	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	32162	32168	7569	9168	6343	5136	1650	1525	1246	1332	677	518	751	290	214	179	168	141	97	92	65	55	53	63	32	29	14	16	9	18	4	7	7	10	2	2	2	1	0	1	3	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	15884	20619	3697	5617	3980	3169	769	787	709	828	363	285	472	156	100	84	95	57	52	58	31	24	34	41	19	16	5	12	3	8	3	1	3	4	0	1	1	0	0	1	3	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	32243	32459	7697	9003	6327	4930	1679	1504	1249	1336	678	504	799	295	210	185	160	157	108	94	62	56	63	65	24	32	13	15	13	18	7	12	7	7	2	6	2	3	3	0	3	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	16034	20851	3787	5517	3952	3030	772	759	692	843	374	266	497	162	102	91	89	76	57	54	29	23	39	46	11	18	6	11	4	10	4	6	4	2	0	5	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	32189	32419	7759	9031	6458	4840	1680	1494	1259	1369	678	520	809	292	225	177	173	159	106	77	57	51	69	69	15	35	14	13	10	14	7	14	8	4	4	7	2	7	3	0	3	0	1	0	1	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
