label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	north1_all	80	15075	9699	5363	1871	2748	882	947	453	393	322	237	305	231	216	74	131	57	64	25	44	33	29	19	18	32	11	25	6	18	11	3	5	5	1	4	3	3	3	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	8901	6248	3423	986	1805	424	552	222	187	168	126	178	148	117	31	77	28	33	7	19	14	14	11	9	21	3	17	4	15	10	0	2	4	1	1	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	15079	9688	5346	1837	2724	922	956	478	395	308	240	326	226	202	86	130	56	59	30	46	36	27	20	18	27	15	25	10	15	11	4	6	4	1	4	2	3	4	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	8836	6244	3389	954	1768	437	557	233	185	155	123	200	143	104	43	87	25	31	11	28	15	14	11	9	15	6	18	7	13	10	2	3	2	1	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	15244	9557	5338	1883	2798	901	945	480	370	315	240	292	219	177	101	127	69	60	40	50	39	24	16	18	21	17	19	13	9	13	6	1	4	0	3	3	3	3	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	8937	6175	3347	979	1864	455	572	246	178	161	127	181	137	100	44	85	31	34	20	32	16	10	9	7	6	9	12	7	8	10	3	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15349	9724	5349	1924	2771	874	924	515	354	313	246	298	234	174	97	120	67	54	39	48	42	16	17	22	20	14	18	10	13	6	6	2	5	0	1	2	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	9051	6283	3345	999	1841	442	565	259	158	161	137	177	148	107	39	81	28	30	22	34	22	8	7	9	9	6	10	5	9	3	5	2	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	14937	9649	5315	1971	2751	860	947	490	315	311	236	271	231	168	94	128	71	45	38	53	36	14	18	20	21	15	15	7	10	3	7	4	3	0	2	2	2	0	1	1	1	1	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	8706	6260	3343	1031	1767	429	600	230	139	154	126	158	127	105	37	86	33	26	18	35	22	7	8	7	12	8	6	3	6	1	5	1	0	0	1	0	1	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	14998	9774	5201	1980	2751	869	973	484	332	321	221	267	241	187	80	134	65	46	39	65	37	17	18	16	23	16	19	5	16	9	4	4	3	0	1	0	1	0	1	1	1	2	2	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	8719	6290	3228	1027	1747	440	590	229	158	143	107	146	135	109	34	88	36	24	17	40	24	7	8	7	12	10	11	3	11	6	3	1	0	0	1	0	0	0	1	1	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
