label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71
0.03	north1_all	80	46498	16224	11460	6152	3521	2500	2059	1865	1687	1109	1427	557	502	716	269	346	270	131	158	155	141	112	83	124	141	47	53	65	41	28	23	24	10	19	14	9	8	4	5	2	3	1	3	0	2	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	27125	8697	6697	3302	1662	1204	1005	985	994	626	905	274	268	423	127	181	148	78	89	103	82	58	55	81	86	21	32	40	27	19	14	14	5	15	3	7	5	2	4	2	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	46598	16394	11405	6233	3531	2487	2108	1851	1667	1039	1287	582	489	705	261	356	277	124	149	165	140	111	83	126	124	52	46	60	40	23	24	23	10	22	20	7	6	5	8	3	4	2	3	0	2	2	13	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	27141	8789	6603	3348	1690	1202	1030	975	999	566	796	281	257	445	124	204	160	60	84	98	89	65	48	80	64	22	29	42	29	17	16	11	5	18	6	4	3	2	4	2	1	0	2	0	1	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	46312	16566	11510	6248	3512	2518	2110	1829	1692	1041	1266	583	488	675	274	337	276	130	149	171	128	115	94	122	112	50	50	61	43	21	21	20	8	19	27	7	7	5	8	4	5	2	2	0	2	1	13	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	26876	8837	6627	3375	1693	1206	1035	960	1004	554	758	285	260	423	139	196	163	64	80	100	78	61	59	75	65	22	35	40	31	15	13	10	4	15	13	3	3	2	5	2	1	0	2	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	46174	16545	11520	6243	3440	2535	2109	1851	1654	1035	1232	560	472	649	283	342	276	142	134	153	103	104	124	97	146	48	57	60	38	13	14	14	13	17	24	9	7	3	6	6	2	2	2	0	2	2	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	26772	8850	6658	3393	1634	1220	1065	1022	959	540	726	270	241	394	144	192	159	71	75	84	63	56	79	60	94	25	42	41	25	8	8	9	5	13	17	4	1	2	2	3	0	0	2	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	45970	16764	11544	6289	3439	2524	2161	1834	1679	1123	1238	549	497	666	291	335	268	152	130	148	94	119	121	89	150	44	44	49	32	15	16	7	12	17	17	14	8	2	5	5	4	1	2	0	1	2	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	26582	9048	6653	3445	1603	1205	1092	1010	959	595	694	273	265	417	150	192	162	84	71	84	53	66	79	53	97	26	30	36	22	10	8	4	4	11	14	4	3	2	4	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	46004	16735	11354	6307	3417	2499	2113	1764	1679	1131	1306	561	494	695	301	348	282	154	155	157	96	125	115	91	127	40	37	49	34	16	31	7	16	17	13	11	8	2	5	7	5	2	2	0	1	1	11	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
