label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72
0.03	north1_all	80	34921	21907	11004	9330	7557	4579	4146	1721	2584	985	1285	983	1071	515	309	520	240	178	201	118	158	79	78	66	72	82	51	40	58	13	20	22	22	8	6	6	1	4	7	3	3	9	3	6	0	1	0	4	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	17198	12851	6082	5655	4753	2763	2537	895	1644	459	768	563	674	298	146	303	129	79	113	42	98	45	38	37	44	50	28	21	31	11	10	15	14	3	2	0	0	2	1	2	2	8	1	5	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	35042	21911	11058	9386	7513	4608	4118	1741	2531	963	1300	996	1041	482	314	489	258	187	217	96	151	100	92	79	64	86	51	36	64	12	21	25	19	10	6	4	4	5	8	3	2	7	4	4	3	0	2	5	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	17343	12786	6073	5681	4711	2828	2518	892	1609	452	785	597	664	245	138	290	150	80	124	36	92	49	46	44	43	50	29	19	35	7	11	14	13	4	2	0	1	3	2	2	2	7	3	3	2	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	35415	21607	11331	9365	7591	4712	3971	1745	2613	973	1324	964	1102	471	316	489	280	183	240	101	134	105	86	76	67	60	55	33	53	14	14	29	16	15	8	6	7	8	9	2	2	4	3	2	3	1	2	5	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	17623	12635	6295	5663	4733	2869	2423	876	1649	455	812	592	697	246	145	311	158	75	155	38	77	51	41	42	43	40	35	16	28	8	10	17	11	7	2	3	3	5	3	1	2	4	2	1	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	34942	21039	11190	9016	7331	4509	3876	1716	2491	959	1300	967	1070	447	319	447	282	175	273	96	154	92	76	76	57	72	55	31	61	12	15	22	16	15	8	7	10	7	7	2	3	0	5	0	3	1	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	17178	12132	6138	5405	4517	2705	2364	871	1585	463	776	601	652	225	149	289	146	71	166	43	95	45	38	43	28	49	36	16	34	5	10	11	9	11	1	4	6	4	2	1	3	0	2	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	34392	20700	10921	8698	7335	4359	3819	1704	2305	946	1232	976	1011	432	316	478	284	164	281	102	135	90	70	78	50	55	54	30	50	11	20	17	21	16	5	8	9	7	6	2	5	1	3	0	1	2	1	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	16700	11826	5919	5302	4428	2590	2363	849	1417	452	731	615	597	230	144	294	148	69	176	43	77	45	37	43	23	27	35	13	34	5	12	9	14	11	1	4	5	3	3	2	4	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	34363	20794	10980	8712	7449	4365	3850	1724	2417	935	1311	954	999	437	300	477	271	165	244	101	136	82	67	81	42	70	47	32	38	15	23	16	22	11	7	5	11	8	6	1	7	2	4	1	3	1	1	2	0	1	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	16689	11972	6000	5224	4539	2568	2359	862	1471	460	804	569	604	235	137	282	149	68	145	40	78	34	34	46	22	36	26	15	24	9	14	8	15	8	2	2	4	4	3	1	5	1	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	34845	21027	11264	8713	7695	4476	4006	1712	2526	973	1334	1039	951	471	308	546	261	186	238	107	147	83	85	80	45	73	46	27	41	20	24	26	24	15	10	3	9	10	4	2	8	4	2	2	3	1	1	1	0	1	1	2	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	17119	12189	6241	5278	4754	2686	2434	873	1536	488	780	628	559	266	138	322	148	84	147	45	70	33	40	47	21	35	26	13	29	10	17	9	14	13	3	1	3	7	2	1	5	1	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	35286	21535	11629	9049	7673	4639	4102	1749	2583	1005	1363	1057	1022	487	325	524	290	193	236	115	156	71	85	81	54	75	38	25	71	19	21	26	21	17	13	4	11	7	5	2	9	5	3	3	2	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	17642	12659	6577	5531	4772	2825	2489	917	1585	504	786	640	596	254	165	308	176	90	152	46	79	28	40	46	28	41	20	13	62	9	13	11	11	14	2	3	6	6	2	1	4	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_all	80	35421	21424	11710	9119	7584	4650	3997	1717	2593	990	1425	1044	1050	498	320	508	273	179	230	111	160	71	91	69	62	81	50	28	79	17	24	28	13	20	13	6	11	7	5	3	7	3	2	3	1	2	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	17693	12655	6610	5562	4727	2888	2440	905	1615	493	823	658	616	257	175	303	175	82	142	50	75	26	43	37	29	52	27	13	61	9	14	15	4	14	3	4	8	5	1	2	4	1	1	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north10_all	80	35369	21635	11528	9500	7667	4692	4053	1715	2585	1011	1425	959	1068	474	325	472	281	161	219	106	151	62	104	66	63	86	48	29	70	10	25	22	7	18	13	5	8	6	4	2	6	4	1	1	0	2	1	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	17736	12719	6497	5806	4766	2948	2528	909	1636	507	847	563	647	237	180	283	176	76	125	42	62	20	54	39	30	57	26	14	51	6	10	15	2	11	3	4	7	3	1	2	3	1	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	33903	20542	10857	8992	6859	4247	3694	1703	2490	936	1139	852	1092	447	347	486	253	153	272	111	180	95	60	75	65	98	41	27	60	15	27	11	16	10	9	5	8	12	7	1	3	1	5	2	2	1	0	0	0	3	0	2	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_active	80	16568	11726	5976	5399	4352	2495	2258	862	1614	443	642	496	673	248	165	308	130	73	179	51	123	49	34	34	34	49	22	11	43	5	16	7	11	3	3	5	5	3	6	1	2	0	3	2	1	0	0	0	0	3	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	34264	20545	10981	8955	7228	4316	3808	1690	2511	920	1210	894	1012	475	345	511	260	163	234	99	176	100	63	72	53	83	44	29	55	12	28	9	15	8	15	4	6	9	5	3	2	0	5	2	1	3	1	0	1	3	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_active	80	16813	11717	6080	5336	4542	2513	2327	834	1569	446	711	543	613	257	171	303	147	74	137	48	115	46	32	42	23	43	20	12	41	4	15	3	9	2	8	3	2	1	3	2	1	0	3	2	0	2	0	0	1	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	34987	20873	11269	9107	7612	4502	3962	1739	2469	969	1273	961	1029	487	352	517	267	175	248	88	178	108	74	75	62	72	48	28	61	15	28	15	14	6	12	6	4	4	2	8	3	0	5	3	0	3	1	0	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north13_active	80	17241	11984	6265	5498	4769	2657	2426	870	1484	486	751	605	647	265	181	303	150	78	146	41	106	50	38	46	25	31	24	11	48	8	15	9	8	1	7	3	2	1	1	6	2	0	2	3	0	2	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	35543	21344	11700	9421	7969	4546	4194	1751	2547	1046	1345	1038	1095	479	349	531	264	174	289	100	178	101	79	73	68	84	47	28	60	17	24	16	16	4	10	7	6	4	4	13	3	1	3	2	0	2	1	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
0.03	north14_active	80	17627	12415	6586	5759	4972	2676	2606	867	1546	536	837	636	700	262	180	315	152	68	175	48	106	46	46	47	35	36	26	11	45	8	12	11	10	1	5	2	2	1	1	9	2	1	1	2	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
0.03	north15_all	80	35668	21566	11436	9366	7954	4610	4167	1799	2496	1080	1342	1050	1152	494	350	508	270	197	283	94	171	100	67	68	72	71	50	26	58	22	16	31	13	8	7	10	7	6	3	14	6	1	3	2	0	0	1	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
0.03	north15_active	80	17723	12679	6309	5700	5005	2741	2563	889	1521	546	848	618	741	275	170	312	150	90	182	42	95	49	39	38	38	38	32	9	33	9	8	25	7	2	3	4	2	2	1	8	2	1	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
0.03	north16_all	80	35720	21607	11625	9383	8058	4542	4088	1795	2420	1092	1328	1027	1138	486	342	507	295	192	303	112	158	95	66	74	65	74	49	22	59	20	20	37	18	10	4	12	7	5	7	10	5	1	2	2	1	0	1	9	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
0.03	north16_active	80	17847	12766	6532	5632	5099	2681	2514	886	1516	553	854	585	713	285	164	326	168	95	196	49	90	48	34	41	39	37	33	10	34	5	9	31	11	4	1	6	0	1	4	4	1	1	0	2	0	0	1	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
0.03	north17_all	80	35417	21790	11528	9418	8061	4420	4019	1802	2406	1069	1351	973	1038	513	347	495	311	178	275	120	164	97	64	61	62	73	47	25	49	17	23	45	15	10	7	10	10	4	6	5	5	1	2	2	6	0	1	10	2	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north17_active	80	17590	12761	6544	5731	5193	2604	2504	908	1494	563	857	556	653	294	171	325	188	93	169	50	98	56	26	32	32	51	29	14	28	4	11	40	8	5	1	4	3	2	4	0	1	1	0	2	0	0	1	9	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north18_all	80	35260	21591	11516	9504	8080	4458	4109	1800	2388	1033	1322	975	1055	463	324	501	309	160	277	126	133	92	76	74	62	81	48	28	46	19	24	38	22	8	6	11	11	4	6	4	4	3	1	1	7	1	1	10	1	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north18_active	80	17540	12542	6549	5749	5133	2595	2625	889	1458	554	801	551	665	259	170	329	182	82	177	53	80	51	37	40	29	46	33	16	32	7	12	31	10	5	1	4	5	2	5	1	2	2	0	1	1	1	1	9	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north19_all	80	35368	21932	11487	9338	7880	4585	3994	1760	2592	995	1361	1030	1078	489	312	508	284	155	259	118	144	88	78	81	54	83	52	24	39	13	23	29	27	13	9	10	10	5	7	4	4	5	2	3	6	1	4	2	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	17751	12760	6570	5726	5019	2763	2527	903	1618	530	830	583	669	271	159	345	171	64	153	45	90	50	36	50	27	47	33	16	27	7	13	20	11	7	4	3	6	3	7	1	3	2	1	0	1	1	4	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	35483	21760	11350	9338	7754	4705	4099	1769	2556	950	1333	960	1119	470	317	496	268	171	242	108	145	85	79	76	47	76	50	22	43	15	30	28	26	12	9	8	7	7	6	2	6	5	3	4	2	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	17725	12663	6418	5677	4867	2821	2577	907	1609	495	839	546	693	252	160	321	150	71	136	42	85	43	44	49	24	40	34	15	31	7	25	20	11	6	5	3	5	3	5	1	5	2	1	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	35405	21362	11611	9507	7523	4622	4136	1819	2547	984	1332	976	1078	553	337	479	261	154	258	112	191	82	107	69	58	49	56	33	51	16	17	33	20	5	11	7	7	6	0	1	1	6	6	1	0	0	0	2	1	3	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	17565	12416	6491	5780	4435	2714	2590	966	1593	471	764	575	689	317	156	298	148	63	147	49	123	42	58	35	20	30	24	18	38	9	11	28	13	3	9	5	5	2	0	0	0	4	5	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	34735	21019	11390	9111	7237	4437	3969	1724	2520	958	1239	991	980	548	341	440	235	159	243	110	173	89	86	75	54	61	47	34	45	17	18	33	21	5	16	4	10	3	3	2	4	5	5	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	17113	12070	6306	5417	4388	2589	2550	925	1596	478	693	584	607	301	163	271	129	66	137	47	113	40	49	36	19	39	20	18	34	8	7	26	15	3	12	3	7	2	2	1	2	2	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	34241	20628	11077	8885	7171	4418	3772	1672	2403	970	1254	971	956	500	334	443	223	178	232	115	150	102	80	74	50	60	34	32	38	16	19	37	21	8	13	2	10	9	3	2	5	5	7	2	0	1	0	1	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	16662	11893	6044	5251	4355	2562	2348	893	1567	488	707	565	572	282	160	271	119	78	133	51	96	44	52	33	23	36	16	16	30	6	7	24	15	4	11	1	7	8	2	1	3	2	5	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	33609	20141	10819	8602	7197	4360	3626	1624	2442	947	1211	923	871	481	340	413	221	182	190	113	143	97	72	66	41	77	45	23	41	20	21	30	16	8	13	7	6	12	4	2	5	8	5	4	0	1	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south24_active	80	16221	11384	5881	5029	4473	2580	2261	849	1587	483	677	498	528	263	174	237	117	79	96	44	93	50	52	33	17	46	27	7	30	7	7	11	9	3	10	5	4	12	3	1	3	5	3	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	33557	19934	10831	8595	7272	4288	3464	1659	2446	959	1232	907	892	462	341	437	233	182	201	124	147	81	80	64	44	84	53	22	50	20	24	33	17	7	13	7	2	16	9	3	5	7	2	4	1	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south25_active	80	16226	11272	5892	5042	4472	2481	2085	857	1595	466	715	497	537	246	173	259	119	81	101	51	94	38	59	34	20	50	36	6	35	9	9	13	9	2	9	5	1	15	9	1	4	6	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	33749	20396	10901	8746	7408	4408	3589	1718	2604	948	1302	851	892	469	363	455	230	174	223	120	135	64	95	65	43	91	61	29	52	26	23	38	17	5	18	15	6	15	9	3	1	8	2	3	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south26_active	80	16429	11478	5946	5184	4590	2560	2161	861	1705	445	735	481	532	253	189	271	108	76	122	49	75	34	60	36	22	56	42	7	35	10	8	17	11	2	14	12	4	14	7	1	1	7	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	34317	21071	11153	8825	7504	4500	3719	1715	2543	957	1333	893	898	496	366	454	224	171	224	125	147	77	81	70	53	94	57	29	84	28	22	30	16	4	21	14	7	11	10	3	1	2	2	2	1	3	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	16756	12009	6178	5211	4655	2598	2236	875	1588	457	754	530	548	261	191	282	108	72	132	61	89	38	47	42	28	64	44	9	66	13	14	18	9	2	14	11	5	10	8	1	1	2	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	34867	21654	11327	9140	7663	4478	3893	1738	2558	960	1436	889	1016	499	370	460	240	167	224	105	149	85	81	61	50	97	49	31	88	24	18	30	19	4	17	12	8	9	10	2	5	1	2	1	2	2	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	17217	12528	6307	5474	4750	2670	2389	904	1601	472	826	542	639	265	184	277	120	69	144	58	86	43	38	32	28	61	33	10	60	15	12	22	15	2	12	8	5	6	6	0	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	35132	22042	11438	9235	7936	4411	4032	1770	2580	983	1402	927	1122	516	347	482	261	169	222	116	148	98	85	59	51	80	43	22	76	18	14	27	19	5	11	6	8	5	7	3	6	1	2	2	3	2	0	8	0	8	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	17483	12817	6421	5576	4925	2655	2466	912	1639	482	828	568	690	272	168	290	142	73	144	61	89	53	39	31	34	51	27	8	50	12	9	17	15	2	4	4	5	3	4	0	5	0	1	1	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	35152	21886	11554	9238	8013	4471	4129	1721	2544	962	1417	955	1145	468	356	519	261	171	195	117	146	96	86	52	51	83	55	27	69	16	19	30	13	7	12	7	4	12	6	3	7	1	1	1	4	3	0	9	1	8	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	17526	12657	6454	5624	4930	2678	2610	879	1599	503	868	560	735	253	170	324	151	76	127	57	84	53	41	24	33	52	35	15	46	11	12	15	9	3	6	3	3	9	3	0	5	0	0	0	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	35481	21647	11430	9379	7686	4679	3957	1695	2540	1030	1254	983	1105	486	364	471	249	196	263	104	177	88	85	63	45	55	38	23	45	20	22	27	22	13	10	12	5	9	3	3	23	4	7	1	2	0	0	2	1	2	0	1	0	1	2	1	0	4	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
0.03	south31_active	80	17709	12542	6417	5628	4879	2815	2385	816	1650	524	789	572	696	265	189	295	143	86	162	43	108	46	41	34	24	30	23	12	27	12	14	22	15	5	7	9	3	6	1	2	7	3	5	0	1	0	0	0	1	2	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south32_all	80	35233	21675	11415	9410	7673	4637	4022	1708	2492	990	1286	963	1057	458	339	454	251	192	287	120	187	82	104	57	44	56	37	29	43	20	25	30	18	6	13	12	2	7	3	5	25	4	6	1	2	1	0	1	1	2	0	2	0	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south32_active	80	17495	12632	6351	5569	4894	2798	2460	844	1537	501	830	537	671	235	171	275	137	95	169	54	124	40	55	31	24	35	21	19	32	14	13	25	10	1	8	9	0	3	2	4	8	3	4	0	1	0	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south33_all	80	34799	21107	11178	9162	7406	4518	3922	1650	2478	967	1313	957	1068	479	343	492	236	178	270	117	198	77	95	64	52	58	53	29	55	20	29	29	12	7	10	7	6	6	3	6	8	5	7	0	3	1	1	1	1	3	0	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0
