label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66
0.03	north1_all	80	41976	38619	8479	8310	4193	2664	5178	1593	2844	1163	717	1773	564	766	296	226	278	157	335	296	148	151	61	175	56	33	37	41	27	19	11	32	9	13	6	6	1	2	18	6	4	3	1	9	1	2	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	26629	34600	3659	6019	2143	882	4560	610	2482	701	203	1619	312	619	57	48	133	41	293	265	101	122	16	154	18	7	14	22	18	13	4	28	4	3	5	2	0	0	14	5	2	2	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	41645	38654	8620	8432	4232	2640	5054	1558	2715	1194	732	1750	574	736	306	226	279	169	324	317	153	132	52	197	60	37	31	49	31	18	8	49	14	13	7	5	3	5	10	6	4	3	0	11	2	2	0	2	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	26537	34615	3717	6167	2157	878	4439	599	2361	714	204	1579	329	570	66	40	142	45	287	291	99	94	16	179	23	9	10	29	21	9	3	44	9	4	4	1	0	4	6	3	2	1	0	11	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	41625	38707	8749	8481	4213	2650	5092	1569	2719	1214	741	1782	569	713	322	233	250	169	341	292	149	147	56	191	58	37	34	48	40	25	10	51	16	10	4	3	5	9	9	7	2	5	0	11	3	1	2	2	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	26646	34720	3755	6185	2181	934	4478	557	2382	698	194	1589	327	548	70	39	119	47	306	264	94	100	16	172	21	9	8	28	31	15	4	43	10	5	1	1	0	9	5	4	0	2	0	11	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	41695	39339	8737	8432	4235	2696	5109	1529	2708	1196	717	1814	574	717	325	243	265	178	305	328	160	176	65	162	59	42	44	49	53	24	14	50	17	9	5	2	8	12	5	6	1	5	5	5	6	2	6	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	26615	35401	3743	6196	2169	909	4503	521	2342	705	173	1615	322	562	78	47	140	37	275	300	107	117	16	143	26	9	10	29	46	11	3	42	11	2	1	1	1	11	3	2	0	2	5	5	2	1	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	42075	39668	8712	8428	4322	2689	5209	1559	2846	1189	746	1776	572	735	310	235	247	176	311	365	177	160	71	150	61	43	47	37	57	26	17	44	16	10	6	6	8	8	6	6	4	3	5	3	6	3	6	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	26884	35677	3690	6154	2235	914	4633	556	2471	748	179	1593	317	584	71	50	134	41	279	333	123	103	16	134	27	10	15	22	50	11	5	39	13	1	1	4	2	7	3	2	1	2	5	3	3	2	6	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	41353	38681	8633	8192	4244	2640	5134	1560	2768	1142	735	1749	556	745	292	232	244	187	315	366	158	150	75	133	53	42	36	38	58	26	17	21	18	15	8	10	8	3	12	5	4	1	6	6	5	2	4	1	4	1	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	25837	34636	3576	5903	2140	827	4545	559	2384	703	176	1557	298	578	67	50	133	48	266	328	104	105	17	119	24	8	13	21	49	9	4	21	11	2	3	4	3	2	10	0	1	1	6	6	2	1	4	0	4	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	39987	36226	8418	7625	4055	2568	4660	1597	2573	1107	739	1504	564	693	286	231	241	184	310	265	144	128	76	141	46	40	31	43	40	25	16	38	17	13	10	14	5	6	13	3	3	2	5	6	7	2	4	1	4	2	0	1	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0
