label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69
0.03	north1_all	80	28596	15906	10044	5324	7282	4326	2058	2486	2019	1423	799	586	792	405	438	262	236	242	189	251	195	200	79	105	57	94	41	110	58	62	34	11	22	27	12	9	8	4	15	4	14	3	3	7	3	3	7	1	1	7	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	13368	8472	5564	2614	4558	2584	977	1444	1214	863	427	264	472	213	247	113	107	144	96	163	129	132	38	58	28	63	17	72	41	38	23	7	9	18	6	5	2	1	7	3	8	2	2	6	1	2	5	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	28600	15880	9842	5407	7188	4190	2056	2523	2052	1445	832	583	756	408	453	265	242	252	187	265	151	162	85	88	56	112	41	82	72	68	41	12	18	25	13	13	11	3	15	14	11	4	5	7	4	2	4	2	1	7	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	13344	8474	5377	2651	4445	2462	970	1460	1191	834	439	266	444	222	256	115	112	140	91	177	86	92	37	54	26	87	19	53	52	41	26	6	11	18	8	9	2	0	11	12	4	3	4	5	2	1	3	2	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	28725	15883	9917	5402	7014	4152	2024	2512	2042	1407	808	572	760	410	452	244	234	258	174	280	166	185	86	99	52	136	40	65	84	62	46	17	9	18	15	13	6	4	13	18	7	2	5	6	3	3	3	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	13509	8602	5523	2671	4278	2454	936	1471	1208	853	408	271	437	211	259	104	117	151	85	171	90	111	39	57	23	109	20	38	66	45	23	8	7	12	9	9	1	1	12	16	0	1	4	2	2	2	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	28991	15982	9972	5395	7010	4025	2043	2488	2091	1374	795	586	765	404	472	253	208	246	166	295	163	183	88	86	60	144	40	58	72	46	45	17	11	28	18	8	5	4	7	18	2	7	3	5	6	3	2	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	13662	8632	5572	2665	4364	2402	944	1436	1248	812	417	279	451	200	273	107	101	154	82	191	85	120	41	40	22	110	23	41	56	34	22	10	9	21	11	4	1	2	5	16	0	6	2	2	2	2	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	28939	16017	10029	5383	7118	4013	2020	2447	2087	1392	805	595	766	393	436	247	207	262	170	289	183	185	84	86	63	161	31	45	49	37	39	14	15	30	17	6	9	4	6	20	3	7	1	8	5	3	0	2	0	1	1	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	13608	8644	5534	2664	4280	2427	973	1446	1232	807	416	265	461	189	247	108	100	175	88	191	113	128	45	37	25	113	17	31	38	25	18	9	12	23	10	2	2	2	4	20	1	6	0	5	1	1	0	1	0	1	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	28828	15880	9951	5322	7134	3975	1985	2422	2080	1343	824	590	750	387	442	249	195	248	162	269	183	200	80	94	61	121	35	45	38	48	30	11	15	35	17	10	8	1	7	16	4	12	1	6	6	1	1	1	0	1	2	1	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_active	80	13506	8442	5472	2647	4317	2395	960	1441	1210	758	447	258	449	189	240	110	92	154	81	191	121	138	40	42	24	75	23	29	24	32	21	7	10	26	7	3	3	1	4	14	1	10	0	4	1	0	0	0	0	1	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	28195	15261	9469	5144	6674	3758	1935	2296	1956	1271	781	554	713	360	427	255	195	243	156	237	181	187	71	86	56	100	34	55	38	59	41	6	12	22	11	10	11	5	9	13	6	7	1	6	5	2	1	1	0	0	3	2	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	13071	7924	5079	2545	3913	2182	939	1344	1138	681	404	253	418	172	234	107	95	144	78	164	124	124	34	43	26	61	20	35	23	36	27	4	7	14	2	4	4	3	3	11	2	5	0	4	1	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	27840	14470	8997	4988	6122	3653	1864	2166	1875	1219	775	540	722	349	425	262	198	254	146	189	172	182	68	96	54	92	40	59	37	48	48	10	10	22	13	11	11	6	8	11	5	11	0	6	2	1	2	2	0	0	3	2	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	12833	7412	4709	2381	3589	2045	878	1259	1094	654	395	261	416	166	215	118	90	141	78	111	119	104	31	51	18	61	21	35	23	31	31	4	5	16	3	5	5	3	1	7	2	6	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	27446	13607	8544	4906	5764	3493	1761	2057	1736	1126	742	548	698	348	392	274	220	245	136	165	163	144	73	87	56	73	33	61	44	36	43	14	12	27	6	8	5	6	6	7	7	4	0	2	0	1	3	2	0	1	1	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	12473	6824	4354	2289	3342	1926	807	1169	1009	607	358	268	403	155	203	127	103	115	65	85	108	90	37	48	21	45	16	38	31	19	27	6	6	20	4	5	2	3	0	4	5	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	27641	13502	8561	4860	5760	3392	1794	2042	1704	1133	744	588	677	348	388	279	228	240	130	178	169	163	80	79	56	86	33	56	33	36	38	21	15	21	7	9	5	5	5	8	10	6	0	6	0	3	3	3	2	1	1	2	2	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	12527	6793	4389	2231	3363	1883	822	1137	989	610	349	294	389	146	201	140	102	121	55	103	108	97	41	48	22	43	19	38	22	18	22	11	7	12	5	4	2	2	1	5	7	3	0	2	0	1	1	0	2	0	0	0	1	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	28875	15946	10083	5377	7371	4222	2146	2558	2116	1358	810	630	748	417	490	211	246	250	162	311	184	175	77	94	54	82	47	57	43	43	38	12	29	19	11	9	8	7	7	11	6	5	0	4	11	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0
0.03	north11_active	80	13592	8553	5518	2715	4540	2496	1024	1514	1281	788	389	285	426	222	279	98	125	130	79	182	132	102	32	64	27	36	25	37	27	25	29	5	16	15	6	2	3	5	1	4	5	4	0	4	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
0.03	north12_all	80	29132	15883	9982	5384	7314	4208	2080	2597	2150	1398	789	620	778	419	495	219	229	259	161	297	174	197	75	104	51	75	36	48	47	50	35	17	17	23	13	8	9	9	6	11	7	3	2	2	11	0	0	3	1	2	0	0	0	0	0	0	0	4	1	1	1	0	0	1	0	0	0	0	1	0
0.03	north12_active	80	13724	8529	5510	2707	4510	2539	1004	1519	1344	822	366	271	477	218	270	95	103	142	84	173	118	128	24	74	32	43	22	26	34	24	28	8	10	15	10	3	4	4	1	3	5	3	1	2	7	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0
0.03	north13_all	80	29327	15797	10085	5448	7291	4136	2078	2616	2223	1362	822	599	805	421	486	224	233	261	168	276	211	191	72	87	52	101	30	41	45	58	37	19	17	23	10	8	10	9	9	12	3	4	3	4	12	1	1	5	1	2	0	0	0	0	1	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	13714	8411	5568	2692	4562	2483	1007	1547	1414	780	398	270	487	226	266	98	109	142	91	164	146	114	25	57	31	65	19	20	33	27	28	8	10	15	9	4	6	4	5	10	1	3	1	2	7	0	1	4	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
