label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73
0.03	north1_all	80	19060	3989	2141	1620	1036	781	604	496	389	296	377	185	167	140	113	104	181	105	69	52	60	58	32	32	18	17	14	21	10	18	12	14	9	9	5	12	7	3	7	2	2	1	0	0	2	1	1	0	0	0	1	1	1	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north1_active	80	16127	1983	695	812	291	261	177	189	118	80	272	45	53	39	41	19	155	67	21	19	24	43	10	14	12	9	11	11	6	5	8	12	5	4	2	11	5	0	4	0	1	0	0	0	2	0	1	0	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	19721	4071	2162	1634	1074	785	626	478	388	289	385	160	168	141	109	102	178	99	62	45	60	63	37	21	16	19	23	24	8	23	14	14	12	10	5	13	3	3	3	2	2	1	1	2	0	1	0	0	0	0	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	16823	2038	685	841	307	275	188	186	120	84	282	44	54	45	43	17	156	64	22	16	21	44	12	8	9	12	18	12	2	8	6	12	7	4	2	12	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	19648	4072	2239	1665	1080	798	626	470	388	289	396	161	178	146	117	98	194	89	67	42	45	79	33	24	14	26	36	28	9	21	14	6	12	6	2	14	5	1	7	2	2	0	1	4	1	1	1	1	1	1	0	0	1	0	2	3	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north3_active	80	16751	2056	688	844	319	299	187	191	124	85	295	43	56	50	51	17	169	53	24	19	19	59	12	9	9	21	30	11	3	7	6	4	9	3	1	13	3	0	5	0	1	0	0	3	1	0	1	1	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	19732	4056	2233	1673	1093	791	602	465	387	285	386	165	174	148	118	98	185	99	63	43	47	73	37	23	24	31	42	23	11	13	14	6	9	3	4	20	4	1	10	3	3	1	1	4	1	0	1	1	2	1	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	16815	2055	667	858	333	290	177	210	119	84	282	49	57	47	51	16	160	66	21	18	19	59	13	9	13	23	34	9	2	5	6	3	6	2	1	19	3	0	8	1	1	1	0	3	1	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	20158	4020	2258	1639	1065	789	584	448	393	301	381	178	174	151	118	93	170	102	59	40	44	76	34	27	23	31	39	19	13	9	10	3	8	3	5	19	4	2	12	3	3	3	1	5	1	8	2	1	2	1	2	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	17221	2042	687	830	339	268	183	197	119	83	259	52	52	37	49	15	138	68	24	18	23	61	11	14	15	22	33	6	4	5	6	1	4	3	1	18	3	0	11	1	1	1	0	4	1	8	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	20321	3956	2165	1611	1071	760	560	458	385	307	423	175	165	132	122	84	195	113	58	46	54	58	34	25	26	23	35	14	12	11	9	5	11	6	6	16	5	3	12	4	5	5	2	4	2	11	1	1	2	3	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	17344	2000	675	804	340	259	165	204	109	87	279	50	51	30	55	12	160	79	22	17	30	47	11	14	15	12	28	4	4	3	5	2	7	5	2	14	2	0	11	1	2	2	1	3	1	11	0	1	0	3	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	20550	3937	2186	1628	1072	775	576	484	403	312	411	178	175	127	122	90	181	96	63	41	51	60	29	28	22	19	31	16	11	14	8	7	11	4	5	5	4	3	11	2	3	4	2	2	1	11	1	2	1	5	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
