label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north1_all	80	7000	3299	1685	1546	1524	2330	564	1167	305	359	691	204	198	134	185	114	156	173	60	38	87	35	96	25	23	25	31	16	20	19	42	11	37	9	6	10	9	5	18	8	1	2	1	5	0	4	2	2	6	2	0	3	3	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	3613	1823	361	976	1167	2113	274	1031	103	224	633	105	130	37	139	74	118	153	18	17	75	23	88	7	5	8	23	11	4	16	37	8	34	4	2	8	9	0	17	4	0	1	1	2	0	0	0	0	6	2	0	2	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7014	3328	1681	1498	1534	2303	529	1222	297	370	698	205	195	132	206	110	163	180	66	46	111	40	84	23	22	16	35	17	21	22	35	10	32	9	5	12	7	5	5	8	2	2	2	4	0	3	2	2	6	2	0	3	3	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
0.03	north2_active	80	3551	1855	354	941	1176	2084	260	1094	94	225	635	109	131	44	163	73	118	159	22	20	97	23	75	9	5	2	28	9	5	18	30	5	28	5	3	9	7	0	5	5	1	1	1	2	0	0	0	0	6	2	0	2	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	6833	3301	1718	1516	1526	2395	499	1243	295	348	692	207	201	124	211	119	165	195	51	46	97	39	72	20	29	14	39	14	18	19	25	16	34	10	10	16	7	3	6	6	3	1	2	4	0	3	3	1	6	2	0	1	2	0	1	0	3	0	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
0.03	north3_active	80	3462	1886	373	950	1189	2172	261	1119	104	210	634	110	139	40	163	73	116	172	17	20	86	23	62	9	8	2	31	7	4	15	20	9	31	4	5	13	6	0	5	6	1	0	0	1	0	0	0	0	6	2	0	0	0	0	0	0	3	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	6806	3298	1671	1485	1468	2309	502	1124	315	356	707	215	211	133	183	110	156	165	59	51	89	39	68	16	31	16	34	18	16	17	17	12	17	9	13	10	5	4	8	3	6	0	3	2	0	3	1	0	1	1	3	1	1	1	1	0	3	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
0.03	north4_active	80	3440	1895	372	930	1127	2098	256	1004	104	214	648	113	139	41	141	68	109	141	17	20	81	23	62	8	8	2	26	10	5	12	11	7	16	3	7	8	4	0	7	3	2	0	0	1	0	1	0	0	0	1	3	0	0	1	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	6755	3334	1701	1518	1483	2358	504	1135	315	340	733	205	203	141	177	93	147	177	52	51	78	31	80	18	28	18	30	20	18	25	15	15	23	9	11	9	5	3	8	1	4	0	2	2	0	2	1	2	2	1	7	1	1	1	1	0	3	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	3396	1945	397	938	1128	2150	254	1025	105	195	672	107	132	39	136	54	101	150	15	21	71	15	72	6	8	3	24	15	4	24	10	10	21	3	7	7	4	0	7	1	1	0	0	1	0	1	0	2	0	1	7	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
