label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98
0.03	north1_all	80	30242	13653	8499	5514	12419	4137	2441	2466	2419	1344	1076	1228	1283	715	893	507	341	306	847	459	406	244	159	127	119	121	93	90	68	85	136	34	96	48	31	32	60	24	12	27	17	27	12	21	8	6	7	5	7	18	3	17	2	1	4	5	3	3	1	1	5	3	4	0	1	4	1	1	2	1	5	2	0	4	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	9019	3124	3364	1120	11217	2629	747	1540	1638	514	342	820	987	374	715	279	90	84	779	401	305	135	83	29	49	35	35	25	17	38	115	10	78	26	8	4	52	7	4	25	11	23	4	11	3	3	1	2	0	17	2	13	1	0	3	1	0	1	0	1	5	2	4	0	1	2	1	0	0	0	4	2	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	30219	13707	8484	5549	12301	4081	2421	2422	2349	1356	1065	1183	1323	690	906	534	347	327	848	442	377	233	171	123	128	123	85	75	75	90	114	31	95	42	29	36	75	25	15	29	19	24	10	25	8	7	7	4	6	10	4	12	3	1	2	5	3	2	2	1	2	4	4	0	2	1	0	1	2	2	5	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	8997	3117	3294	1135	11112	2554	750	1474	1594	543	348	791	1050	379	735	288	87	89	782	376	279	124	97	31	51	33	35	19	24	40	96	9	75	21	11	10	62	7	4	27	13	18	3	13	4	4	0	2	0	8	2	8	1	0	2	1	2	0	1	1	2	2	4	0	1	0	0	0	0	0	4	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	30153	13572	8492	5494	11980	4089	2430	2379	2222	1375	1094	1219	1311	677	913	527	358	342	766	428	366	241	181	110	136	132	90	68	71	74	119	40	89	45	27	30	66	23	12	32	13	24	13	25	7	9	12	4	7	11	6	7	3	1	2	7	3	2	2	1	1	4	3	0	2	0	0	1	1	3	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	8813	2969	3203	1145	10778	2471	746	1432	1469	562	365	792	1012	359	738	283	102	103	693	353	275	120	96	32	45	33	38	13	26	31	102	13	71	19	9	10	50	5	3	28	8	17	5	14	4	5	5	2	0	8	3	3	0	0	2	2	3	0	1	1	1	2	3	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	29849	13595	8460	5563	11198	3948	2416	2348	2079	1383	1079	1148	1244	686	901	554	380	356	735	405	282	217	175	117	118	130	98	73	59	67	97	43	86	36	30	28	51	24	11	43	11	28	12	14	8	8	14	4	5	9	6	6	4	1	2	5	3	1	3	3	0	3	9	0	2	0	0	1	0	3	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	8052	2875	3011	1186	10024	2321	691	1372	1314	554	351	734	950	351	693	288	95	105	643	322	201	102	89	35	29	30	42	14	24	22	82	9	72	16	11	12	37	2	1	39	6	18	5	6	4	5	5	2	0	6	2	1	0	0	2	1	3	0	2	3	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	29953	13628	8423	5439	10589	3911	2403	2303	2084	1337	1067	1161	1232	657	859	573	365	377	749	355	289	217	174	119	102	133	105	70	66	62	99	49	82	30	33	24	49	21	20	32	12	26	12	11	7	15	12	2	7	6	4	5	3	2	6	4	1	3	1	4	0	2	6	0	1	0	0	0	2	1	0	1	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	7691	2812	2929	1182	9358	2246	660	1306	1302	528	319	750	935	304	623	285	88	108	652	266	202	107	73	31	26	29	48	15	26	21	82	12	68	12	8	7	39	2	3	28	6	15	7	4	2	13	5	0	0	3	1	2	0	0	3	1	1	2	1	4	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
