label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95
0.03	north1_all	80	32808	13746	20797	6120	4968	4301	2430	2021	2205	1457	1506	887	752	694	1249	440	404	641	311	233	219	240	142	218	126	155	134	83	70	57	120	57	39	34	35	51	35	32	24	20	17	10	44	20	17	7	3	4	9	2	3	10	4	21	4	6	0	2	2	7	2	1	1	0	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	14006	3543	18225	2721	2792	2893	697	853	1445	772	980	283	206	352	1076	163	111	528	74	68	94	155	42	154	35	99	91	43	40	39	98	42	12	9	18	46	19	25	17	4	9	4	42	19	12	3	0	3	2	2	1	5	0	19	4	6	0	2	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	32708	13742	20990	6089	4847	4344	2417	2065	2180	1438	1601	871	761	748	1311	448	389	626	298	229	232	238	143	199	114	173	159	97	75	56	130	50	38	35	32	54	37	33	29	24	13	8	34	24	21	8	4	5	9	3	2	10	8	21	4	13	1	2	2	6	1	1	1	0	3	1	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	13857	3611	18438	2728	2728	2956	680	872	1416	745	1068	278	207	376	1131	184	108	522	76	61	98	146	31	138	30	113	117	49	40	41	107	37	11	9	19	50	19	27	21	4	6	2	33	19	17	4	0	2	4	3	1	3	6	19	4	12	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	32734	13764	21443	6113	4894	4278	2416	2155	2156	1469	1596	863	777	763	1337	440	371	634	285	234	250	215	137	213	118	157	164	122	91	76	134	80	42	32	37	64	32	24	33	26	12	14	12	24	27	18	5	10	6	5	2	5	7	7	4	17	2	5	2	3	0	0	1	0	8	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	13834	3600	18870	2646	2712	2896	667	922	1412	753	1093	283	197	369	1152	185	116	518	67	63	109	121	28	150	32	103	122	74	49	50	109	59	11	10	25	59	19	20	22	5	5	5	9	19	20	14	1	6	3	5	1	2	7	5	4	15	0	2	1	1	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	32694	13821	21615	6077	5029	4478	2382	2177	2103	1502	1556	865	768	788	1323	448	381	612	251	229	228	223	144	197	128	158	163	130	109	66	139	85	47	31	34	58	32	19	37	21	12	20	10	21	21	17	4	12	7	14	4	3	8	13	4	15	2	5	3	0	3	1	1	0	6	0	2	0	1	1	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	13746	3600	19055	2564	2817	3049	663	910	1374	772	1061	270	210	385	1142	187	117	491	67	63	102	123	30	128	33	108	123	86	62	39	119	64	13	11	22	51	21	17	28	6	5	6	6	15	16	15	1	6	4	13	2	1	7	11	2	13	0	2	1	0	2	1	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	32477	13705	21233	6065	5094	4360	2404	2182	2119	1505	1434	863	769	756	1336	455	399	619	251	224	223	220	164	225	133	151	173	117	108	64	122	92	50	36	38	64	37	34	35	14	12	21	14	16	18	24	8	20	2	15	5	1	11	12	4	5	1	6	4	0	3	1	1	5	5	0	2	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0
0.03	north5_active	80	13664	3560	18667	2531	2818	2930	668	924	1387	803	950	265	212	375	1168	176	119	509	70	58	96	127	31	153	29	97	131	80	59	34	103	69	17	11	27	57	19	27	26	4	4	7	10	11	13	19	3	15	2	14	3	0	6	10	2	4	0	2	2	0	2	1	1	3	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	32100	13661	20406	6041	5028	4213	2398	2107	2098	1504	1387	860	773	744	1215	462	416	639	264	219	217	224	163	231	127	156	155	91	86	60	121	81	41	35	40	62	35	36	30	10	16	18	33	11	14	22	8	17	2	11	12	2	10	10	4	2	0	4	5	0	3	4	0	5	0	1	2	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
0.03	north6_active	80	13186	3425	17818	2409	2748	2739	636	870	1382	778	882	256	200	372	1051	165	112	523	76	52	75	133	36	151	27	96	115	54	41	33	106	58	19	12	27	55	18	30	26	1	2	5	28	5	11	16	3	13	2	10	11	1	2	8	2	2	0	2	3	0	2	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	31684	13649	19222	5959	4847	4144	2423	2067	1997	1440	1304	839	748	720	1209	471	410	576	286	219	229	231	168	215	123	152	160	94	77	68	121	79	36	39	34	58	28	36	24	12	22	12	38	9	12	14	12	15	3	8	11	6	11	2	2	2	0	4	4	0	2	3	0	5	0	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0
0.03	north7_active	80	12356	3294	16589	2304	2509	2603	642	796	1295	718	778	240	186	338	1047	151	103	457	77	46	78	133	35	135	22	97	120	53	27	33	108	60	18	12	24	51	14	31	21	1	5	5	35	3	10	9	3	13	1	8	11	4	1	0	0	1	0	2	3	0	2	1	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_all	80	31544	13603	19373	5963	4824	4088	2397	1982	2032	1411	1388	852	747	705	1083	471	399	590	317	198	220	226	158	214	108	176	164	92	83	74	110	82	33	29	35	40	23	42	21	13	26	15	47	10	10	10	15	4	5	4	10	7	13	1	1	9	0	2	3	0	2	4	0	4	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_active	80	12268	3302	16784	2358	2441	2556	627	779	1328	707	855	235	174	327	912	162	112	460	81	36	77	129	35	144	18	117	130	49	24	38	93	62	8	10	23	35	12	33	17	1	8	7	40	3	7	6	6	4	2	4	10	5	1	0	0	4	0	2	3	0	2	2	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north9_all	80	31864	13654	19480	6006	4851	4138	2394	1933	2016	1430	1359	880	706	715	1125	464	392	584	299	209	215	231	158	201	102	180	156	105	84	88	97	81	42	33	42	33	21	39	24	17	31	23	52	12	13	7	14	2	5	7	2	6	10	13	2	10	2	1	1	3	2	1	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north9_active	80	12578	3374	16832	2434	2473	2648	621	753	1279	711	838	238	162	340	953	152	104	474	77	42	80	132	37	127	10	122	121	60	28	45	75	64	9	14	24	30	13	29	15	4	12	7	44	5	11	6	5	1	1	6	2	4	2	12	1	5	2	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north10_all	80	32356	13677	20528	6057	5065	4255	2438	1939	2116	1508	1419	887	700	723	1218	459	413	640	287	210	206	255	158	222	106	178	147	92	98	76	96	74	41	31	42	36	29	46	27	16	26	25	39	16	11	14	14	5	7	4	2	6	11	17	2	9	3	1	1	4	0	2	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	1	0
0.03	north10_active	80	13448	3492	17884	2644	2722	2821	679	809	1374	799	902	272	188	358	1061	162	119	526	72	50	77	150	35	137	15	119	111	59	48	40	77	61	8	14	27	33	17	34	13	5	10	6	30	11	8	13	6	3	3	3	2	5	3	17	1	5	3	1	0	2	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_all	80	32241	13613	21457	6193	4941	4324	2521	2020	2175	1488	1377	915	771	757	1326	466	398	622	290	270	210	249	194	203	108	152	147	99	65	51	133	133	46	35	26	49	39	38	29	24	18	10	33	12	22	13	12	12	9	19	10	9	2	6	6	4	1	4	1	0	6	5	1	1	3	0	3	1	0	0	0	0	0	1	0	1	0	0	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north11_active	80	13757	3479	18853	2652	2754	2859	693	829	1466	805	907	305	191	406	1127	151	132	508	75	95	99	152	55	138	29	98	111	57	35	27	111	118	12	12	18	40	22	34	24	6	4	4	25	9	14	8	6	5	2	19	7	3	1	6	4	2	0	3	0	0	6	4	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	32488	13663	21048	6227	4817	4275	2551	2046	2127	1525	1346	878	781	738	1287	467	409	635	300	277	197	240	179	199	113	155	183	95	68	46	126	121	46	34	27	47	36	36	24	19	20	11	21	15	23	15	12	12	8	20	14	6	3	7	6	1	4	0	1	0	3	5	1	1	3	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north12_active	80	13871	3471	18425	2697	2676	2811	685	832	1417	837	864	284	205	368	1102	154	122	527	83	89	90	147	50	137	30	105	139	51	33	27	106	104	6	12	19	40	21	29	19	3	5	5	16	13	15	11	7	6	1	18	10	1	3	6	4	0	2	0	0	0	3	4	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	32598	13631	21372	6213	4919	4278	2600	2018	2213	1551	1417	910	758	683	1304	453	389	635	294	259	210	248	168	188	121	160	165	107	68	52	121	80	41	35	31	48	26	47	23	19	21	20	21	20	25	13	8	11	6	22	12	8	4	5	5	1	5	1	2	2	5	1	1	0	3	1	2	1	0	0	0	0	0	0	0	1	1	0	0	0	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	13854	3449	18753	2709	2741	2829	718	797	1465	862	947	280	200	329	1139	153	113	520	75	82	88	151	50	132	38	111	120	63	32	31	102	65	3	12	24	40	14	38	16	3	6	8	19	17	14	10	5	6	0	20	7	1	3	3	3	0	2	0	0	1	5	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	32249	13618	21562	6197	5030	4288	2502	2106	2188	1553	1426	873	716	700	1311	474	399	646	275	265	218	241	157	214	119	131	158	110	77	63	118	92	39	37	38	41	24	51	27	18	25	20	16	35	18	11	10	12	5	19	10	7	6	4	5	5	5	2	2	2	4	1	1	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	13778	3470	18941	2684	2832	2842	700	830	1458	860	953	274	200	341	1154	186	105	526	68	80	85	160	47	158	33	91	110	62	39	35	105	74	6	14	26	30	14	39	21	4	7	7	16	29	12	9	4	8	1	16	5	1	3	0	3	4	3	0	0	1	3	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
