label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82
0.03	north1_all	80	6191	3328	1950	1146	2175	2864	580	459	414	276	264	208	369	144	108	164	209	74	57	86	78	106	42	105	20	26	82	20	20	9	15	11	42	33	11	17	7	5	2	2	2	8	6	5	1	2	4	4	1	0	0	4	1	5	0	4	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0
0.03	north1_active	80	1763	1838	1053	337	1870	2660	300	222	240	129	115	48	302	47	55	128	180	32	24	65	59	90	30	95	9	8	72	10	7	6	10	5	39	32	8	16	0	3	2	2	1	7	2	5	0	1	3	2	0	0	0	4	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0
0.03	north2_all	80	6147	3328	2047	1172	2155	2858	557	444	383	251	267	181	351	142	121	132	179	86	53	92	82	89	44	120	26	22	86	18	21	11	12	8	39	34	11	26	6	7	5	5	3	11	5	5	2	1	4	3	0	0	0	6	2	5	1	0	2	5	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	1757	1824	1129	348	1841	2650	281	216	229	117	127	44	288	47	68	99	145	46	13	71	64	74	24	108	13	8	75	7	7	8	7	3	37	32	10	26	0	5	3	5	1	10	3	5	0	1	2	1	0	0	0	6	1	5	1	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	6222	3299	2033	1169	2175	2997	545	441	395	266	274	176	357	151	127	126	190	92	62	106	69	102	42	110	25	24	69	19	19	15	15	12	35	26	10	26	3	7	6	4	2	9	4	2	2	1	4	1	1	0	0	6	1	0	1	0	2	5	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1797	1770	1097	350	1848	2777	245	212	237	135	134	43	297	44	77	92	159	46	15	82	52	86	21	95	10	10	58	8	7	10	7	7	34	24	10	26	0	6	4	4	0	8	3	2	1	1	2	1	0	0	0	6	1	0	1	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6219	3297	2011	1136	2109	2879	523	455	402	277	264	167	334	133	148	131	193	87	69	110	68	93	51	100	23	19	67	26	12	17	16	12	25	31	12	29	2	6	7	6	3	9	3	2	4	2	5	0	1	0	0	6	1	1	1	0	2	6	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	1780	1808	1103	344	1800	2676	227	228	236	121	131	37	276	30	91	95	163	50	21	88	49	79	26	88	9	10	58	14	2	11	4	7	24	28	10	29	0	4	5	4	0	9	2	0	2	1	2	0	0	0	0	6	1	1	1	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6128	3289	1982	1140	2087	2838	503	460	430	285	253	191	346	130	143	145	186	88	80	112	65	94	53	84	21	18	72	33	12	24	13	13	34	18	15	20	2	8	3	8	4	13	1	2	3	1	3	0	1	0	1	4	0	1	0	1	0	6	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	1759	1793	1065	339	1765	2646	217	231	256	131	119	39	284	22	87	103	159	46	32	93	43	82	28	74	8	9	69	23	3	15	2	6	32	15	11	19	0	6	2	4	1	13	1	0	2	0	1	0	0	0	1	4	0	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0
