label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99
0.03	north1_all	80	37333	24461	6908	5833	3362	3070	3061	1684	2001	1277	1710	817	1042	690	653	441	557	455	390	244	297	221	175	186	224	246	108	118	74	58	64	71	62	46	58	65	31	25	21	32	52	22	16	17	19	14	10	24	8	3	6	14	4	9	6	2	3	4	7	6	2	5	2	3	2	2	2	2	5	0	3	0	0	0	2	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	21147	15069	3164	3007	1533	1567	1794	755	1124	653	1021	404	575	343	376	197	309	273	212	99	169	123	83	81	128	148	64	63	32	25	26	36	32	19	33	41	14	10	7	13	30	9	11	10	12	9	7	16	5	2	2	13	3	1	4	1	1	2	7	0	1	4	0	2	2	1	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	38660	25788	7104	5884	3403	3086	3126	1646	2038	1357	1793	841	1042	688	654	410	554	443	370	248	330	243	185	188	246	254	94	141	74	55	66	66	59	40	55	52	31	31	20	35	48	17	7	9	16	10	9	25	7	6	11	14	6	8	4	6	2	3	4	6	3	4	2	8	2	2	2	0	5	0	3	0	0	0	3	0	0	0	0	2	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	22158	16163	3254	3076	1572	1603	1818	706	1157	721	1105	409	587	332	378	201	310	260	201	95	209	127	94	88	129	149	46	86	34	22	27	30	26	17	28	29	13	18	8	15	24	8	6	5	8	6	6	16	4	1	3	13	5	2	3	2	1	2	2	2	1	3	0	6	2	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	40072	26492	7189	6052	3452	3255	3154	1613	2138	1365	1851	842	1061	732	660	423	584	471	349	274	366	254	172	176	274	256	110	125	77	49	60	67	58	38	72	48	28	30	21	49	48	20	11	10	12	7	9	13	8	6	11	16	6	8	6	8	2	1	5	6	4	3	0	6	1	2	2	0	5	0	2	0	1	1	1	0	0	0	0	2	1	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	23339	16543	3320	3230	1584	1721	1817	699	1246	719	1128	374	610	346	384	212	326	273	185	117	231	130	87	90	158	155	54	79	37	22	26	35	30	15	42	28	14	20	9	25	16	10	7	5	7	5	4	8	2	1	2	10	5	2	1	4	0	1	3	2	2	2	0	5	1	0	2	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	41498	27081	7330	6105	3453	3376	3194	1648	2127	1376	1842	879	1119	732	704	418	613	502	349	285	409	262	181	178	298	238	123	131	75	50	63	81	51	42	87	57	30	38	21	50	38	21	11	8	12	8	9	8	11	9	10	21	7	6	5	7	2	0	3	4	4	1	2	5	3	3	2	1	3	0	1	0	2	1	1	0	0	0	0	2	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	24452	16945	3430	3250	1588	1797	1814	732	1285	716	1149	402	663	336	398	210	364	282	181	129	255	138	84	92	181	136	55	80	33	24	28	44	32	18	42	34	20	20	9	27	18	7	3	3	5	6	1	1	4	3	1	14	4	1	1	3	0	0	1	2	2	0	2	4	3	2	2	0	2	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	41709	27256	7200	6170	3426	3421	3186	1660	2150	1329	1823	872	1101	704	692	441	639	523	367	262	417	223	187	176	262	193	124	127	77	53	65	76	68	38	88	69	26	33	19	44	41	18	16	7	18	10	15	6	11	9	7	12	4	7	7	2	2	0	3	4	2	1	3	0	3	3	0	1	3	1	0	0	2	2	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0
0.03	north5_active	80	24438	16914	3418	3340	1552	1822	1804	739	1275	689	1111	394	674	350	387	215	396	309	201	129	237	126	88	83	154	118	59	66	34	21	29	43	50	17	50	43	17	16	7	27	24	6	6	2	10	6	8	0	2	5	2	4	1	4	3	2	0	0	2	2	2	0	3	0	3	3	0	0	2	0	0	0	2	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north6_all	80	41829	27374	7246	6204	3454	3335	3270	1694	2088	1349	1843	907	1092	666	738	440	607	525	373	240	377	221	194	173	235	211	123	133	80	55	64	69	71	45	95	89	32	35	25	34	35	17	13	7	16	12	19	5	10	7	8	16	4	6	8	1	1	4	4	8	1	2	4	1	2	4	1	1	3	1	0	0	2	2	5	0	0	0	2	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0
0.03	north6_active	80	24522	17089	3457	3376	1572	1746	1909	784	1226	705	1176	425	668	341	417	211	373	315	204	118	225	121	88	79	139	135	59	73	31	19	30	41	55	23	51	55	18	16	10	19	21	4	5	2	7	7	10	0	2	4	3	8	0	4	6	1	0	3	3	6	1	0	3	1	2	4	0	0	2	0	0	0	2	1	5	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	41641	27723	7140	6253	3417	3273	3270	1656	2033	1355	1846	863	1064	642	758	450	656	513	376	235	383	213	190	167	226	209	110	131	83	69	61	83	87	42	77	99	26	32	31	26	40	21	18	8	18	12	16	5	7	6	9	11	5	7	6	2	2	8	5	8	1	2	8	1	1	2	2	0	2	1	0	0	1	2	5	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
0.03	north7_active	80	24457	17542	3432	3411	1570	1680	1907	764	1166	725	1155	414	655	339	436	211	417	312	218	108	232	121	87	82	131	137	55	62	37	32	27	47	66	19	43	58	13	19	13	16	26	6	10	3	14	9	11	1	0	4	5	4	1	4	5	2	1	4	3	6	1	0	7	1	0	2	0	0	2	0	0	0	1	1	5	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	41661	27663	7216	6147	3424	3278	3242	1686	2126	1354	1815	865	994	632	732	446	657	489	397	247	346	208	178	157	205	251	123	136	78	67	60	78	80	48	71	82	28	30	42	31	40	22	18	12	16	11	10	9	7	7	8	22	6	6	7	3	2	15	5	9	2	2	6	1	1	1	2	0	0	0	0	1	0	2	5	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	24519	17467	3454	3345	1574	1688	1860	786	1262	734	1101	437	592	331	423	208	412	296	234	119	213	111	79	83	128	169	61	59	38	34	26	42	55	21	42	44	15	18	15	17	24	9	12	7	11	9	6	3	0	4	4	14	2	3	5	3	1	10	3	8	1	0	5	1	0	1	0	0	0	0	0	1	0	2	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	41540	27615	7200	6090	3449	3318	3178	1668	2076	1312	1732	835	1067	618	733	447	683	513	398	246	360	207	189	163	227	264	139	146	69	74	55	85	96	49	60	90	23	35	37	37	30	22	19	12	13	12	5	10	6	13	10	15	7	9	4	2	5	14	5	3	2	1	6	0	1	0	1	1	0	0	0	1	0	3	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north9_active	80	24466	17495	3414	3281	1578	1725	1819	767	1236	714	1024	419	656	315	417	219	428	307	246	118	229	111	90	84	155	143	68	67	33	38	23	49	72	24	36	52	13	22	12	21	24	9	13	7	9	10	2	5	0	10	6	10	5	7	1	2	2	9	1	2	1	0	6	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	41485	27538	7132	6089	3477	3318	3230	1713	2222	1345	1670	848	1108	649	681	457	673	538	392	226	352	222	186	172	256	317	133	135	73	60	47	90	87	46	55	87	18	36	34	33	38	24	17	16	17	12	9	14	4	18	6	17	8	8	2	3	4	12	4	3	3	5	5	1	0	1	0	2	1	1	0	1	0	2	0	1	1	0	0	1	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_active	80	24447	17433	3394	3248	1603	1729	1825	783	1319	707	949	420	692	319	386	218	403	334	224	109	228	115	96	89	182	197	59	69	40	33	23	52	58	27	31	59	11	23	11	21	31	14	12	10	9	7	2	10	0	13	4	14	6	6	0	3	1	9	1	3	2	2	3	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	38648	25222	6772	5776	3484	3208	3002	1635	2020	1216	1611	781	1041	643	631	406	621	461	301	210	325	241	160	152	214	282	118	100	70	64	57	84	80	49	62	66	25	37	13	13	46	22	20	9	17	12	12	15	7	16	3	7	6	4	5	3	4	8	4	3	2	6	0	0	0	0	1	2	0	0	2	0	0	1	3	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_active	80	22128	15734	3091	3044	1607	1672	1704	772	1125	575	969	350	595	340	363	188	361	273	139	98	178	120	87	76	128	184	63	58	29	24	27	38	39	21	34	40	11	22	8	9	25	8	6	7	9	3	6	10	5	10	2	6	2	2	2	2	3	6	4	0	1	5	0	0	0	0	0	2	0	0	1	0	0	1	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	40023	26106	6906	6029	3453	3212	3099	1665	2059	1241	1670	807	1084	648	652	434	615	449	326	213	325	252	171	156	215	274	124	120	76	64	64	85	86	52	48	55	33	49	16	24	47	20	17	16	19	10	11	10	6	16	4	16	7	5	3	2	4	7	4	4	2	5	1	2	0	4	2	1	0	0	1	1	0	2	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_active	80	23108	16349	3170	3189	1552	1648	1778	792	1156	587	1035	373	617	334	375	201	345	264	161	99	178	128	87	82	150	184	69	68	30	29	29	44	49	26	20	30	13	25	10	11	29	9	8	12	10	4	6	6	3	11	2	14	3	3	0	2	3	6	4	1	1	4	0	1	0	2	1	1	0	0	0	1	0	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	41377	27353	7065	6173	3441	3231	3291	1684	2090	1279	1694	814	1081	630	668	470	653	448	312	227	366	240	170	152	262	271	109	111	96	70	61	79	92	57	55	54	30	52	18	30	48	23	15	17	20	9	11	12	11	14	5	12	10	8	4	1	4	7	7	2	1	0	1	2	3	4	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north13_active	80	24081	17383	3256	3283	1561	1671	1886	807	1187	609	1074	386	629	312	371	222	383	261	159	107	207	128	90	78	173	170	55	58	44	36	24	36	57	30	13	29	10	29	9	16	30	13	10	11	11	5	5	4	7	9	2	9	5	6	1	1	3	6	7	1	0	0	0	1	3	2	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	42012	27633	7175	6305	3474	3293	3385	1731	2053	1281	1749	800	1092	633	665	478	634	474	300	239	399	258	187	166	292	254	105	111	102	69	66	74	92	54	70	56	28	45	19	29	42	25	12	19	18	13	9	16	14	6	6	11	7	7	4	3	5	2	4	3	1	2	1	2	3	5	1	0	0	1	1	1	0	2	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north14_active	80	24758	17770	3361	3381	1548	1722	1977	798	1170	617	1097	392	654	300	377	228	369	280	173	113	236	138	98	84	179	172	53	56	50	32	29	40	58	28	29	33	10	26	9	12	22	15	8	10	9	4	4	10	8	3	3	9	3	4	2	3	3	2	3	2	0	1	0	1	3	2	1	0	0	1	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	41883	27836	7218	6276	3419	3298	3449	1739	2122	1305	1768	803	1042	616	646	461	660	502	301	253	400	250	179	177	291	258	88	111	104	64	54	86	100	43	74	61	24	43	30	27	54	25	10	25	23	12	8	22	14	8	6	6	6	7	4	4	4	2	4	2	1	3	6	3	3	3	0	0	1	2	1	0	0	2	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0.03	north15_active	80	24809	17998	3350	3375	1525	1712	2021	783	1224	680	1056	392	635	312	380	217	372	298	157	130	254	127	93	88	163	157	40	59	54	23	26	53	66	24	39	37	9	31	13	8	39	13	7	13	14	3	5	16	10	5	1	5	2	3	2	3	2	0	3	1	1	2	5	3	3	2	0	0	1	2	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north16_all	80	41997	27916	7272	6173	3444	3325	3322	1682	2154	1355	1750	792	1026	621	637	439	633	518	324	254	373	242	201	187	262	256	90	117	98	62	52	84	77	40	80	76	28	43	27	19	61	22	9	25	23	13	8	22	11	12	8	7	8	3	5	5	4	3	4	2	1	3	7	3	5	1	3	2	1	1	1	0	0	1	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0.03	north16_active	80	24847	18052	3392	3337	1561	1677	1899	749	1257	689	1028	378	623	335	365	200	371	299	165	128	226	134	91	103	152	171	36	57	49	26	29	51	50	20	64	47	11	31	14	8	45	10	4	11	15	4	5	16	8	5	1	5	4	0	3	3	2	1	0	1	1	2	6	3	5	0	1	2	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north17_all	80	41701	27807	7284	6159	3463	3244	3183	1656	2166	1385	1779	819	1101	632	655	458	695	526	327	259	337	247	189	175	235	273	98	133	81	54	54	82	96	40	87	60	30	48	31	21	64	23	10	29	14	10	8	15	12	15	9	7	7	1	2	6	5	3	5	6	1	2	9	3	2	0	4	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north17_active	80	24733	17872	3374	3365	1584	1635	1757	743	1291	693	1033	403	672	340	374	215	410	300	165	135	197	138	80	92	138	174	44	63	38	23	25	49	53	19	74	31	14	30	15	13	44	9	4	13	10	3	6	12	11	6	2	5	3	0	1	2	4	1	1	4	1	1	7	3	2	0	1	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
