label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86
0.03	north1_all	80	7941	2294	1572	2631	1844	806	417	991	272	245	182	228	241	270	133	126	191	113	104	57	50	46	38	65	30	16	59	40	31	21	10	24	19	15	11	11	3	6	11	1	4	2	2	2	2	0	3	3	1	2	1	1	3	0	0	1	1	1	0	1	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north1_active	80	4839	1148	813	1718	1203	482	198	657	141	120	94	133	151	163	79	68	121	65	61	24	28	25	16	49	18	4	41	18	19	10	3	17	9	7	4	7	1	1	6	0	2	0	1	2	2	0	2	1	1	2	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north2_all	80	7922	2231	1546	2653	1931	770	398	941	259	244	180	221	259	290	123	126	203	103	93	55	51	44	36	75	28	16	61	35	30	15	5	22	23	17	10	12	2	6	14	2	3	4	1	2	2	0	3	3	0	2	1	1	4	0	1	3	0	1	1	1	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north2_active	80	4746	1103	812	1764	1297	448	196	621	135	119	95	132	163	173	75	56	134	60	52	30	28	24	17	61	13	5	38	17	23	7	0	13	11	7	5	9	1	1	7	1	2	1	1	2	0	0	2	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north3_all	80	7925	2277	1554	2683	1970	804	405	980	236	260	186	242	266	299	131	133	194	90	109	50	57	39	44	80	21	16	62	40	21	13	9	22	24	17	11	20	0	3	12	3	4	4	3	2	5	3	5	2	0	1	1	1	2	0	1	3	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	4732	1101	814	1786	1332	449	201	672	111	126	92	157	179	181	79	63	125	51	71	27	29	25	17	63	10	6	46	22	15	6	3	13	14	7	5	16	0	1	5	2	3	1	1	2	0	2	4	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7823	2214	1579	2634	1961	800	402	910	245	249	188	264	278	325	127	122	239	89	125	53	52	32	38	80	20	20	72	51	22	13	14	25	24	14	16	23	1	1	12	4	3	5	4	0	7	3	6	1	0	2	5	1	2	1	1	3	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4661	1046	830	1759	1331	441	199	571	126	120	91	165	185	216	72	64	161	54	81	30	24	22	15	60	13	10	48	29	17	7	7	18	16	7	10	18	1	1	4	3	2	3	2	0	2	2	4	1	0	1	4	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7816	2241	1522	2684	1911	796	429	940	242	256	185	290	275	302	130	113	228	91	133	52	55	30	40	83	19	19	67	50	26	13	17	28	19	12	14	24	5	2	7	5	3	5	6	1	12	4	6	1	1	2	4	1	1	2	1	1	0	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4688	1072	788	1734	1293	460	199	627	124	123	89	174	179	207	69	69	146	52	91	31	29	18	15	58	10	9	46	29	18	7	10	23	11	5	9	18	1	1	3	2	2	4	4	1	9	3	4	1	1	2	4	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	7534	2175	1454	2600	1726	773	398	873	226	233	193	274	240	283	133	90	214	88	125	45	41	34	35	77	19	17	66	48	32	15	15	36	18	9	18	18	8	3	5	6	1	6	4	2	14	2	5	2	1	3	4	1	1	2	0	1	0	1	0	0	1	0	1	0	2	1	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	4474	1018	739	1637	1182	446	174	539	124	117	98	152	150	212	73	55	143	53	88	23	21	17	14	54	10	8	46	25	24	9	11	32	10	4	13	11	2	2	2	2	0	4	4	2	10	2	3	2	1	3	4	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	7334	2194	1388	2409	1638	786	390	799	227	223	185	245	253	241	129	88	202	81	104	52	38	36	30	68	27	16	48	31	30	12	12	39	16	8	15	12	10	3	2	7	3	6	3	2	11	3	3	2	1	2	2	1	1	1	0	3	0	1	0	0	1	0	1	0	2	0	1	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	4308	1052	685	1498	1079	458	170	503	118	114	100	137	145	168	66	51	129	46	69	16	22	14	14	52	12	6	37	19	20	7	8	31	6	5	10	5	2	1	2	3	1	2	3	2	8	3	2	2	1	2	2	1	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7001	2201	1418	2205	1524	767	361	767	240	207	201	220	239	260	124	98	157	89	99	45	41	31	28	41	26	12	42	31	25	12	12	33	15	7	13	9	9	3	3	6	3	7	2	2	20	4	2	3	1	1	0	1	1	1	0	3	1	0	0	0	0	0	1	1	1	0	1	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	4053	1044	698	1369	979	440	162	475	126	99	107	118	125	188	64	56	89	55	68	13	20	11	14	29	13	6	29	18	14	8	6	24	7	6	8	4	2	2	2	3	1	3	2	2	7	3	2	2	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	6988	2219	1392	2063	1509	736	357	721	255	213	207	217	253	225	110	111	154	84	96	64	42	26	31	51	23	18	39	24	14	19	14	20	19	6	11	12	5	4	3	4	5	8	1	0	16	4	3	3	2	1	0	1	1	1	0	3	1	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north9_active	80	4050	1062	689	1268	945	402	155	434	123	100	106	122	138	164	56	59	82	51	61	24	23	10	17	26	12	9	26	16	6	11	5	11	13	5	6	5	1	2	2	2	3	3	0	0	2	3	2	1	0	1	0	1	1	1	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	7342	2269	1477	2313	1607	737	359	799	248	226	205	229	265	246	105	100	187	87	104	54	40	31	30	66	24	21	31	32	17	16	15	19	12	8	17	14	4	3	4	0	5	9	3	1	18	2	1	3	3	0	0	1	1	4	1	1	1	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north10_active	80	4280	1067	730	1399	1015	416	170	504	119	101	101	134	147	163	61	47	105	49	66	25	19	12	15	23	11	7	15	21	6	8	7	10	11	6	10	6	1	2	3	0	4	4	1	1	5	1	0	0	1	0	0	1	1	4	1	1	1	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_all	80	7697	2358	1530	2697	1831	745	348	824	276	203	177	250	237	264	131	104	170	100	114	52	43	39	39	72	29	19	57	53	21	16	12	28	10	6	11	11	5	5	5	3	6	5	2	2	13	2	2	2	0	2	1	1	0	1	0	0	0	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_active	80	4722	1173	794	1738	1128	445	172	520	122	100	91	161	153	156	71	53	96	49	65	28	22	12	24	45	17	12	41	38	11	9	4	15	5	1	4	7	2	3	2	1	3	3	1	1	11	2	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	7910	2333	1530	2736	1837	738	328	861	272	222	184	233	245	282	134	114	176	101	115	52	52	39	42	80	28	25	69	56	30	21	16	29	11	6	17	14	4	2	6	6	6	7	3	1	10	2	7	1	1	2	1	1	0	1	0	0	0	1	5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_active	80	4826	1153	805	1784	1173	446	160	559	117	112	95	149	173	166	63	59	98	51	74	26	28	13	27	51	15	11	43	34	20	10	6	17	5	2	11	8	1	0	1	2	4	5	3	0	8	2	5	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	7961	2260	1567	2751	1778	770	348	879	276	227	203	243	247	285	135	106	178	97	100	58	56	35	35	78	23	32	65	63	28	22	16	32	11	7	17	16	5	4	6	6	6	8	5	1	8	1	11	3	1	1	1	1	1	1	0	1	6	3	5	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north13_active	80	4820	1132	820	1835	1130	461	171	585	123	118	108	155	169	161	68	53	107	56	62	30	28	12	23	48	12	12	42	38	17	11	9	20	6	3	10	9	2	2	1	3	4	6	4	0	6	1	8	1	0	1	0	1	1	1	0	1	6	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	8164	2248	1613	2745	1730	760	362	950	262	224	191	252	277	318	134	109	194	91	104	58	52	46	34	83	23	39	55	58	39	21	15	26	14	10	20	22	5	4	6	8	6	6	7	2	5	2	13	4	2	0	1	1	1	0	0	1	6	3	2	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north14_active	80	4960	1137	840	1850	1134	451	182	639	120	117	94	149	194	185	68	62	131	55	57	27	25	20	20	48	13	18	35	39	26	10	8	16	10	6	12	14	3	2	1	3	4	6	5	0	3	2	10	2	1	0	0	1	1	0	0	1	6	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
