label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90
0.03	north1_all	80	15526	3298	2259	1654	1089	779	641	464	636	611	301	321	231	183	163	141	206	98	190	103	80	89	59	35	31	40	58	30	21	43	19	18	26	12	21	7	9	9	7	11	16	7	5	5	5	6	3	3	5	4	5	4	3	2	2	2	2	1	1	1	1	0	0	1	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	9681	1557	1133	871	515	364	301	190	379	348	135	176	123	99	76	56	125	50	133	64	40	45	26	20	21	23	32	18	4	28	8	7	16	8	14	5	5	5	4	4	9	1	2	5	3	3	1	0	4	3	2	1	1	2	0	2	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	15232	3218	2242	1669	1070	782	643	457	649	600	316	307	233	203	168	138	199	96	173	94	62	94	61	37	38	49	50	42	24	50	22	24	34	13	20	9	8	9	9	18	12	10	3	9	9	6	3	1	5	3	4	4	1	2	1	1	3	0	2	2	1	0	0	0	0	2	3	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	9523	1513	1135	861	494	360	296	193	405	344	152	161	127	108	80	60	122	48	103	49	32	53	27	22	22	30	29	29	8	32	11	10	24	10	11	6	4	5	5	8	5	3	1	8	3	4	1	0	5	2	1	0	0	1	0	1	2	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	16228	3204	2270	1720	1081	798	644	484	725	658	300	333	236	202	183	140	234	87	178	109	73	90	60	32	45	57	64	38	29	53	20	29	28	13	18	11	11	11	12	20	12	10	2	10	7	8	3	1	7	4	2	6	1	1	0	1	2	0	2	3	2	0	0	0	0	1	1	1	0	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	10246	1515	1182	905	504	371	309	223	441	393	132	177	134	106	92	60	145	39	108	59	39	50	30	21	24	36	34	25	15	30	10	12	18	10	9	7	6	7	7	11	4	4	1	8	2	6	0	0	7	2	0	1	0	0	0	0	2	0	1	2	2	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	17248	3255	2324	1739	1142	789	626	519	793	669	288	346	253	185	170	126	270	86	173	102	69	86	57	37	52	58	71	40	27	45	16	29	21	10	19	11	12	13	14	14	8	8	3	9	6	7	3	4	7	2	1	5	1	2	0	3	2	0	1	6	1	1	0	0	0	0	1	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	11154	1547	1234	919	563	375	298	256	472	407	126	197	141	99	94	53	175	34	98	54	43	49	28	21	30	34	43	25	16	24	12	15	13	8	8	7	8	7	11	9	4	3	1	5	1	6	0	1	7	1	0	1	1	0	0	2	2	0	1	5	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	18445	3303	2367	1806	1213	804	597	539	824	700	271	349	239	170	175	134	290	89	189	106	85	97	52	38	41	59	71	36	24	46	17	30	26	17	18	9	10	11	12	8	10	3	5	10	3	10	3	7	5	2	1	3	1	1	1	3	1	0	2	5	1	1	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	12033	1546	1258	974	609	377	280	273	494	431	109	216	133	77	93	54	190	35	102	64	45	54	26	22	23	36	44	22	15	19	11	20	15	14	7	4	7	7	9	3	6	1	3	7	1	9	0	3	4	1	0	1	1	0	0	2	1	0	2	5	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
