label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101
0.03	north1_all	80	9627	4002	2549	1067	894	1494	507	410	777	359	249	350	203	190	152	118	107	153	163	128	74	154	49	57	54	35	32	48	21	63	23	41	21	23	10	14	15	8	16	6	8	21	12	8	1	10	5	2	11	9	8	0	2	0	0	3	0	3	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5717	2324	1489	472	445	949	217	201	461	188	114	219	116	97	72	73	54	81	96	82	45	91	24	26	32	19	14	30	14	45	15	20	16	7	6	6	9	5	6	2	3	9	6	4	1	7	2	1	9	5	3	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9739	3993	2511	1106	898	1448	502	415	837	363	249	347	182	195	151	130	115	160	155	108	72	117	49	48	64	32	32	33	25	49	19	39	25	27	14	13	15	7	20	5	9	17	15	10	1	5	6	5	9	6	8	2	4	1	1	3	0	2	0	0	1	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	5793	2372	1506	502	471	894	237	203	496	188	119	211	97	101	68	70	56	84	95	64	48	65	22	20	35	16	19	20	15	35	12	19	16	10	5	8	13	5	7	0	5	9	9	3	0	4	3	2	7	3	3	0	2	1	0	0	0	1	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9870	4181	2500	1092	895	1443	500	401	833	341	255	341	219	201	157	146	117	150	172	104	60	113	48	48	55	22	35	39	35	55	18	37	23	29	16	15	15	8	20	4	9	16	16	14	3	6	6	4	9	4	7	2	4	1	1	1	0	4	0	0	1	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5924	2536	1484	477	440	916	245	198	527	177	120	196	116	107	73	75	51	83	119	58	34	69	25	16	23	11	20	25	20	34	11	22	16	13	7	8	14	5	8	0	5	8	10	7	2	5	3	1	7	2	2	0	2	1	0	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9779	4115	2535	1044	898	1398	525	410	797	332	259	310	221	212	140	148	118	149	163	133	63	111	51	42	52	20	29	39	35	44	21	44	23	28	18	14	14	8	17	5	7	10	23	14	6	5	5	6	6	3	5	3	5	2	1	0	0	4	0	0	2	1	0	0	1	0	3	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	5962	2446	1472	473	446	879	270	197	494	175	129	169	129	112	65	77	55	89	115	84	37	80	30	19	22	9	15	27	18	28	10	27	12	10	7	10	11	3	8	1	4	5	17	8	2	4	2	3	5	2	5	0	3	1	0	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_all	80	9603	4038	2561	1050	880	1354	528	422	737	336	251	297	229	200	138	137	108	127	188	132	61	116	50	44	48	21	33	44	36	51	23	47	26	23	13	12	12	11	28	7	7	12	22	14	7	2	2	8	5	1	3	2	4	2	1	0	1	5	0	1	3	1	2	0	1	0	2	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	5915	2356	1483	482	430	880	261	201	447	178	120	163	130	116	63	67	49	81	137	84	32	87	28	23	18	9	15	31	18	26	11	33	13	10	6	6	8	3	19	2	4	4	13	9	2	2	1	4	4	0	3	0	2	0	0	0	0	2	0	0	0	1	2	0	1	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_all	80	9172	3798	2506	1027	902	1295	507	431	750	340	256	315	201	220	132	123	98	125	175	149	64	112	45	42	39	27	26	41	31	50	27	48	36	19	14	12	13	6	29	7	6	20	18	8	5	4	0	8	5	2	3	2	5	4	0	1	1	3	0	1	3	0	7	0	1	0	1	0	0	1	1	0	1	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_active	80	5584	2193	1420	495	436	834	252	212	461	179	117	184	118	122	56	62	51	74	124	102	34	79	22	23	17	10	11	31	15	25	14	39	17	11	5	4	8	1	21	3	2	11	11	6	0	1	0	4	3	0	3	0	3	2	0	1	0	2	0	0	0	0	6	0	1	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_all	80	9083	3764	2481	1056	919	1358	477	429	778	367	237	320	206	214	115	113	91	139	183	148	68	133	43	44	45	28	31	43	25	53	24	41	42	18	18	11	10	6	25	4	8	24	8	8	2	9	0	7	4	3	0	1	5	3	0	2	3	4	0	2	4	0	8	0	0	0	1	0	0	1	1	0	1	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	5473	2203	1400	501	471	874	229	212	497	200	112	193	127	128	57	55	46	72	116	99	39	87	17	25	24	9	13	35	11	29	16	34	18	9	8	4	8	1	16	2	5	15	4	5	0	6	0	3	1	2	0	0	2	2	0	1	1	2	0	1	0	0	6	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
