label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118
0.03	north1_all	80	31542	26583	7558	5256	6118	5326	5175	1943	1651	1368	1772	1761	826	891	596	577	442	435	459	293	441	267	223	188	239	187	149	175	125	128	111	136	89	88	51	106	62	30	31	30	61	36	35	28	20	44	15	16	16	14	6	27	14	6	9	10	32	6	8	8	5	6	7	2	1	18	8	3	6	1	3	4	2	2	8	2	2	2	7	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	18137	22646	2527	1722	4472	4150	4405	730	442	438	1333	1388	278	520	183	245	127	216	270	112	323	152	59	62	144	122	57	85	60	78	46	109	53	65	17	80	36	7	10	7	43	22	19	16	2	35	8	2	4	5	3	21	9	0	4	6	32	1	4	5	0	6	6	0	1	17	7	3	6	1	3	4	0	1	8	0	0	0	7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	32490	28456	7571	5228	6603	5764	5817	2016	1638	1321	1860	1905	829	898	602	586	441	449	476	308	494	301	230	186	223	210	143	154	125	130	105	163	98	82	55	99	62	30	38	39	52	32	34	31	17	44	17	19	16	13	9	30	13	10	11	9	31	6	7	8	3	9	10	5	1	19	7	1	7	1	1	4	2	1	8	2	2	2	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	8	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	19505	24573	2668	1789	4991	4619	5056	818	486	475	1419	1552	289	531	204	275	132	226	298	120	381	182	67	69	149	144	48	77	63	80	47	141	59	56	18	73	42	9	14	13	37	19	22	14	2	34	9	3	2	3	5	24	7	1	5	5	31	2	2	5	1	9	7	3	1	18	6	1	6	1	1	4	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	32872	28914	7580	5225	6610	5954	5753	1968	1635	1298	1832	1934	829	886	668	585	452	444	485	312	531	346	215	179	214	231	141	135	128	120	104	163	102	85	50	89	68	41	40	43	56	23	38	32	19	34	18	17	17	13	10	32	10	10	14	10	9	8	7	13	2	16	7	5	2	22	4	0	5	2	0	8	1	2	6	2	2	1	7	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	8	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	20046	25026	2776	1853	5049	4852	5045	806	519	493	1386	1592	299	535	233	260	131	227	314	128	412	206	69	67	151	164	48	71	59	65	51	133	69	57	15	68	50	12	14	19	42	14	28	13	3	24	9	2	4	4	6	26	8	2	6	9	9	2	3	9	1	15	4	3	2	20	4	0	4	2	0	8	0	0	6	1	1	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	33036	28791	7577	5275	6653	5974	5936	1994	1592	1342	1868	1933	826	884	661	589	470	459	485	313	553	362	208	195	243	225	124	133	131	111	110	164	103	84	47	95	76	41	46	42	46	30	44	25	20	27	19	14	12	19	13	36	16	12	12	10	6	6	6	14	4	16	4	4	7	9	2	0	2	2	0	8	1	3	1	1	2	1	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	20004	24853	2762	1856	5080	4904	5228	820	511	507	1377	1594	293	540	241	245	138	228	312	130	445	225	57	72	176	156	43	65	65	64	56	135	72	57	15	74	50	11	18	20	33	18	35	9	2	20	8	2	3	12	6	31	12	3	5	8	4	1	2	9	1	15	1	3	2	7	2	0	1	2	0	8	0	0	1	1	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	33057	28767	7652	5165	6628	5881	5828	1982	1580	1335	1880	1914	829	948	657	566	477	452	475	312	512	388	195	188	258	194	112	146	135	96	115	167	93	82	55	82	82	49	44	38	49	37	40	21	21	18	20	13	8	23	16	35	18	12	12	16	5	4	6	10	5	20	2	1	6	6	2	0	2	1	0	8	1	2	1	1	2	1	4	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	20027	24864	2802	1802	5081	4866	5120	783	517	497	1382	1580	290	590	217	239	154	219	305	120	409	231	62	64	179	127	40	79	65	49	61	143	60	59	15	62	51	10	17	18	37	26	31	6	1	12	6	2	4	16	7	31	13	2	7	13	3	0	3	7	1	19	1	1	1	4	2	0	1	1	0	8	0	0	1	1	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	33540	28749	7683	5203	6505	5905	5768	1994	1584	1372	1814	1950	820	947	644	560	470	445	484	325	497	366	208	188	251	194	112	157	130	99	102	164	89	92	53	105	86	53	43	36	51	43	44	30	18	22	24	10	8	24	18	21	17	9	8	15	11	6	6	5	4	13	1	2	6	10	2	0	1	2	0	0	2	1	2	4	3	1	4	0	1	0	1	1	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	20474	24911	2826	1845	5004	4852	5058	788	516	500	1335	1594	279	596	215	230	153	217	311	138	372	224	58	59	174	120	46	90	69	56	57	140	57	76	19	78	54	13	16	16	36	31	34	12	0	15	9	2	4	16	9	15	11	2	5	8	9	0	3	3	1	12	1	1	0	7	2	0	0	2	0	0	1	0	1	4	3	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
