label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122
0.03	north1_all	80	28186	13434	11585	6640	4495	7695	2689	4408	1784	2533	1240	1229	895	870	725	1424	552	831	1084	765	552	274	308	493	271	180	351	309	122	164	104	138	82	89	70	52	82	53	36	83	39	138	35	65	48	38	20	21	10	59	21	30	28	19	14	13	5	9	11	17	12	10	17	8	13	4	1	3	4	3	0	8	11	1	3	0	2	4	6	1	2	4	2	1	2	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north1_active	80	7321	3638	7688	3404	1719	6581	603	3656	481	1923	294	578	249	421	243	1231	253	615	963	643	426	57	180	437	166	68	308	267	18	123	26	81	33	37	22	12	56	11	8	64	27	124	14	51	35	22	7	14	9	53	13	23	25	8	8	6	2	2	11	14	9	4	15	3	10	1	0	0	4	2	0	8	10	1	1	0	2	3	6	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	28489	13361	11507	6590	4444	7793	2633	4522	1810	2546	1269	1190	906	901	734	1405	583	851	1022	721	564	287	305	453	278	192	370	356	107	178	100	155	77	94	69	61	83	50	40	78	31	144	29	52	52	44	20	30	11	43	26	31	23	15	22	16	4	9	15	15	13	11	17	9	15	5	0	2	8	4	1	11	10	1	2	0	2	5	7	0	1	3	1	1	3	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north2_active	80	7402	3636	7558	3386	1728	6646	572	3760	496	1951	279	565	258	423	248	1214	276	650	906	591	435	57	173	393	180	71	322	313	17	134	20	89	20	41	19	15	56	14	7	66	19	131	13	44	39	27	7	23	8	39	14	22	20	5	11	6	2	3	14	11	10	6	15	5	9	2	0	1	7	2	1	11	10	0	0	0	2	3	7	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	28449	13215	11616	6666	4442	7936	2626	4399	1788	2662	1263	1179	888	931	741	1350	595	757	950	790	542	287	294	472	277	209	336	434	118	194	102	159	79	99	67	57	85	52	58	83	30	111	27	55	54	51	21	27	16	30	23	25	21	15	22	15	4	8	16	24	11	9	11	12	10	4	2	1	12	4	1	3	9	2	2	1	3	4	6	0	1	3	1	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	7350	3543	7714	3416	1746	6790	585	3585	513	2070	297	568	265	460	251	1129	295	573	834	632	408	52	161	402	180	77	291	388	23	149	18	88	27	47	21	14	57	15	10	73	18	98	14	47	41	34	7	22	8	27	9	19	19	3	12	5	2	3	15	21	8	6	8	7	7	1	0	1	10	2	1	3	9	1	0	0	2	2	6	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	28462	13242	11480	6686	4510	7843	2663	4397	1771	2695	1281	1159	900	957	735	1243	599	755	845	802	558	280	292	479	285	187	343	409	112	181	121	150	87	101	74	62	81	51	62	60	42	103	38	52	45	44	28	35	21	19	18	16	29	14	18	12	5	11	16	22	11	7	7	9	6	5	2	2	12	7	1	5	8	2	2	2	3	3	1	1	0	2	1	0	1	6	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	7400	3564	7490	3433	1788	6652	575	3575	498	2101	281	580	265	471	259	1019	316	584	730	652	425	61	157	412	191	72	287	366	21	134	19	82	34	48	25	15	58	13	11	50	24	91	16	45	36	29	9	27	7	18	8	11	27	2	11	2	2	7	13	19	8	6	5	5	3	1	0	2	10	5	1	4	8	1	0	1	2	2	1	1	0	2	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	28239	13238	11411	6643	4437	7998	2644	4512	1696	2787	1248	1157	905	940	754	1240	575	722	923	777	543	284	298	476	259	189	299	371	126	181	113	124	80	88	72	54	85	51	62	72	54	93	40	83	44	35	31	30	24	23	16	13	39	13	14	7	7	11	12	29	6	9	7	9	4	5	3	3	9	6	3	3	11	1	1	3	1	1	1	1	1	2	0	1	0	6	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	7326	3583	7566	3444	1746	6864	553	3753	495	2158	289	578	270	475	272	1008	299	555	804	631	426	72	164	413	170	66	245	330	22	137	21	68	37	38	25	16	64	12	10	57	32	84	16	75	33	24	9	18	9	21	9	7	34	2	8	0	2	6	9	25	1	7	6	4	3	0	0	2	8	5	2	1	11	1	0	2	0	1	1	1	1	2	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	28281	13196	11373	6457	4400	7761	2602	4564	1738	2753	1237	1162	909	931	737	1300	588	819	1026	762	552	272	299	491	261	188	305	338	131	173	116	107	77	90	65	57	83	58	49	60	51	105	41	85	44	29	29	35	29	22	12	19	36	10	10	8	7	12	10	17	6	11	12	4	2	5	2	2	1	5	2	6	13	0	2	3	2	1	2	2	1	1	0	1	0	6	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	7319	3570	7545	3367	1697	6646	526	3812	493	2130	261	572	260	454	256	1066	296	623	908	642	442	66	166	419	173	68	255	291	28	127	23	60	33	30	20	21	59	12	6	46	30	95	19	73	31	20	8	22	16	19	7	13	32	1	5	2	2	8	7	15	4	8	8	2	1	0	0	1	0	4	1	4	13	0	1	2	1	1	1	2	1	1	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	28247	13185	11401	6498	4393	7971	2551	4528	1808	2612	1222	1171	943	943	712	1351	606	834	1109	717	530	272	317	515	265	184	314	355	150	173	94	113	74	84	78	58	93	55	49	62	47	137	27	100	44	21	29	30	38	24	17	24	31	11	10	8	10	8	10	13	10	13	11	2	1	5	2	2	1	4	3	6	10	0	2	2	5	1	3	1	2	0	2	2	0	1	0	1	3	0	3	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
