label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125
0.03	north1_all	80	45169	17739	6699	6048	7000	3840	2919	4112	1823	1965	1049	1250	983	729	872	532	683	388	389	552	286	526	427	308	331	227	197	144	102	128	163	92	164	143	118	105	81	46	94	69	34	54	41	36	22	28	24	13	26	26	22	30	18	22	20	14	33	17	4	18	12	8	6	4	9	3	4	6	8	2	1	3	5	2	0	8	2	4	1	2	3	1	6	1	0	1	0	0	1	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	2	0	0	0	0	0	1	0
0.03	north1_active	80	28081	10509	3144	3245	4493	2189	1621	2655	983	1162	527	695	516	332	490	236	403	185	176	331	138	355	253	171	209	130	104	76	49	72	94	43	92	92	61	66	42	25	58	40	17	29	22	18	11	18	16	9	15	15	14	25	10	5	10	5	27	5	2	8	6	3	6	2	7	0	2	2	5	0	0	1	5	2	0	6	1	4	0	2	0	0	6	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north2_all	80	45320	17841	6689	6098	6911	3930	2988	4160	1863	1961	1023	1251	917	757	902	575	685	432	403	577	285	551	432	282	309	232	200	153	116	147	138	79	167	164	131	102	80	49	93	71	30	58	56	32	26	28	22	17	21	26	28	29	29	21	19	5	32	18	6	12	9	6	4	4	15	2	3	8	8	3	1	2	5	3	0	8	1	1	0	2	6	0	7	1	0	3	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	28014	10640	3094	3229	4509	2278	1641	2613	983	1177	511	710	469	350	503	247	399	201	181	358	140	365	237	162	175	129	98	74	56	77	88	39	93	112	62	70	47	30	60	44	16	29	40	16	13	16	8	13	14	13	13	23	16	7	10	3	28	15	3	1	6	4	4	3	10	0	1	4	7	0	1	1	5	2	0	6	1	1	0	2	3	0	6	0	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	45639	17864	6728	6115	6864	4010	3068	4027	1791	1949	1027	1269	920	758	849	564	614	413	390	634	317	522	430	287	304	235	187	152	106	144	154	81	158	174	137	99	68	47	92	69	33	60	69	28	25	33	32	21	19	26	26	20	27	15	16	10	26	20	7	13	5	6	3	3	15	4	5	7	4	3	1	1	5	2	0	2	1	2	0	3	7	0	1	2	0	2	1	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	28284	10640	3116	3271	4450	2347	1680	2559	932	1166	497	714	474	354	463	242	346	190	184	386	151	340	241	175	175	132	98	71	53	69	105	39	89	119	72	65	41	23	62	42	17	34	47	17	13	19	14	14	12	15	10	16	17	10	9	7	20	18	5	4	2	4	3	1	11	2	2	4	4	2	1	1	5	1	0	1	1	1	0	1	6	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	45360	18023	6669	6032	6937	4055	3083	4098	1834	1799	1010	1237	866	731	809	562	654	413	395	692	308	479	443	267	277	244	205	143	108	137	185	71	173	169	130	90	81	48	86	69	28	55	75	31	25	30	26	21	20	18	32	22	31	20	12	10	25	19	5	10	3	5	4	4	15	5	7	6	4	4	1	3	3	5	3	0	1	4	1	2	9	0	1	1	0	4	1	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	28068	10807	3049	3230	4365	2357	1716	2613	961	1029	455	683	457	337	415	243	369	192	183	433	145	305	254	156	159	144	107	61	51	66	139	36	106	120	74	50	51	20	57	45	14	35	53	18	10	18	13	10	11	8	17	19	19	12	7	7	17	17	4	7	1	3	1	2	11	4	4	4	3	2	1	1	0	1	0	0	1	3	0	0	9	0	0	0	0	3	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	45558	18183	6693	6074	6890	4048	3099	4108	1848	1772	1077	1254	876	707	782	579	635	383	400	744	296	468	442	275	286	256	214	135	127	113	190	74	176	178	125	79	73	45	93	77	37	52	70	29	23	25	37	21	33	21	34	20	18	23	14	17	16	15	4	10	4	3	5	4	17	5	7	2	6	5	1	3	4	5	3	0	3	6	1	2	6	2	0	1	1	2	2	3	0	2	0	0	6	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	28421	10853	3099	3300	4174	2338	1760	2604	990	1006	477	679	479	331	392	266	366	173	189	459	144	300	266	170	173	149	117	71	58	55	128	38	105	138	87	36	43	16	56	57	18	30	47	17	9	14	22	8	26	8	16	17	10	12	7	14	9	12	3	8	2	1	1	2	13	4	3	1	3	3	1	1	1	0	0	0	1	5	0	0	6	1	0	0	1	1	1	3	0	1	0	0	6	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
