label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137
0.03	north1_all	80	35266	23531	15916	6455	4387	4120	2836	2085	3323	2816	2084	1169	1671	913	734	580	563	741	786	535	388	809	696	427	367	480	187	281	170	182	154	115	144	91	82	103	73	111	67	79	55	70	58	45	50	50	32	35	33	116	28	16	12	47	25	23	24	45	20	10	11	11	17	8	10	5	17	8	4	3	12	8	1	3	9	1	2	2	1	4	2	0	5	1	1	1	2	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1
0.03	north1_active	80	23110	19214	13337	3720	2094	2641	1427	678	2728	2276	1572	560	1300	456	173	167	176	512	640	365	208	706	595	325	260	405	57	220	87	96	79	35	95	26	12	60	38	77	40	59	24	54	40	25	18	30	17	24	24	108	11	6	4	44	9	21	22	39	16	7	2	6	10	1	8	1	15	7	1	2	2	0	0	1	3	0	0	0	1	4	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north2_all	80	35430	23633	15560	6414	4472	4180	2897	2131	3419	2861	2053	1164	1584	879	700	606	560	739	828	555	377	755	710	419	390	469	197	306	171	163	136	119	152	105	80	105	75	119	69	71	50	72	41	50	46	43	33	29	40	92	27	21	16	41	29	26	20	40	19	13	7	11	11	9	5	2	11	6	6	2	8	9	1	4	9	3	3	2	1	4	2	2	6	1	1	1	3	1	0	0	0	1	0	1	0	0	0	0	1	2	1	0	0	2	1	0	0	0	1	0	0	0	4	0	0	1	0	1	0	0	0	0	0	4	0	2	0	0	0	2	0	0	0	0	0	0	0	1
0.03	north2_active	80	23258	19380	13022	3655	2124	2668	1496	684	2805	2317	1536	545	1242	435	163	167	185	509	688	387	201	643	606	319	282	402	56	248	88	83	60	31	103	24	15	62	35	81	42	52	23	56	30	26	19	30	19	25	28	84	10	7	6	36	10	21	18	37	16	9	1	7	6	2	4	0	10	4	1	2	2	1	0	2	4	0	1	0	1	4	0	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north3_all	80	35424	23821	15875	6470	4445	4224	2868	2083	3358	2768	2037	1139	1605	901	707	605	584	705	831	527	373	761	695	417	411	495	194	298	169	134	130	114	152	94	78	106	78	115	71	87	61	70	43	42	39	47	36	25	42	65	24	22	17	41	22	25	20	39	19	17	9	14	9	8	10	4	26	8	8	6	6	4	1	3	5	4	8	4	1	3	2	2	5	0	0	1	3	1	1	0	1	1	0	0	0	0	2	0	1	2	0	0	0	2	1	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	4	0	2	0	0	0	2	0	0	0	0	0	0	0	1
0.03	north3_active	80	23316	19485	13349	3727	2091	2661	1465	646	2738	2234	1545	547	1256	430	163	163	206	486	672	363	191	646	603	321	306	434	52	232	88	64	61	34	101	19	19	62	36	84	46	63	28	57	26	18	17	29	25	18	29	56	9	4	8	36	6	20	17	37	16	10	1	10	3	3	7	1	22	4	2	5	2	2	0	1	2	0	1	0	0	3	0	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north4_all	80	35373	23715	16081	6510	4462	4186	2904	2045	3321	2727	2041	1168	1571	861	725	580	600	669	872	527	399	723	667	420	387	464	223	274	163	124	128	119	169	93	87	114	78	119	76	96	62	77	38	43	32	36	38	34	40	62	21	20	16	44	17	24	27	24	11	17	9	13	5	6	12	3	26	10	7	9	4	4	1	8	4	3	8	3	3	1	1	2	4	0	1	0	2	1	1	1	1	1	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	23299	19410	13592	3782	2105	2652	1517	631	2689	2171	1512	578	1221	394	177	150	218	437	694	355	217	608	572	324	288	413	60	204	94	64	51	36	113	18	25	71	40	87	44	72	28	63	24	16	13	20	28	18	29	54	6	3	9	38	3	17	23	22	8	9	1	8	1	3	6	1	22	6	1	7	0	2	0	7	2	0	1	0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	34935	23919	16336	6522	4413	4169	2841	2026	3337	2628	2028	1206	1576	845	718	586	589	670	824	499	414	735	670	437	367	471	208	269	176	138	130	119	144	96	89	111	77	130	83	90	74	104	46	47	34	35	33	39	28	60	19	22	15	36	17	22	23	23	8	16	9	13	6	7	13	4	27	9	8	10	4	4	3	6	2	1	6	4	5	2	2	1	4	0	2	0	2	1	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	23009	19615	13845	3791	2069	2618	1506	627	2718	2086	1537	587	1217	384	178	172	203	441	648	334	229	621	582	340	274	420	59	203	102	66	60	41	85	23	27	76	44	100	54	67	31	87	32	18	12	19	25	16	21	53	4	5	9	31	4	15	19	19	6	7	0	6	1	3	6	1	22	5	1	7	0	1	0	6	1	0	0	0	2	2	0	1	3	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
