label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127
0.03	north1_all	80	13243	6832	3333	1382	1062	826	1898	542	475	1259	342	326	640	256	624	240	179	285	120	125	89	92	97	116	73	76	75	37	77	38	36	91	93	24	27	25	18	20	19	45	51	15	40	14	5	13	6	17	4	24	7	6	3	11	8	12	3	4	3	3	5	3	3	5	2	12	6	3	0	4	1	3	0	4	0	0	0	3	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	10547	5592	2359	377	324	183	1651	147	163	1145	99	103	553	97	571	134	88	237	36	51	29	37	56	88	50	63	50	12	64	20	4	80	81	10	9	7	8	10	9	40	46	6	38	12	3	11	1	17	2	23	1	1	2	9	8	1	1	2	1	0	3	3	1	4	0	12	5	3	0	2	0	3	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	13172	6770	3320	1391	1026	790	1834	568	490	1196	338	300	622	237	595	209	155	281	121	119	103	76	94	116	88	86	70	44	91	35	41	96	100	23	27	27	15	18	12	43	54	14	25	16	7	16	6	13	4	27	7	7	4	11	8	8	3	2	5	2	3	4	6	4	1	14	6	3	0	4	2	3	0	3	0	0	0	3	1	2	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	10464	5514	2371	368	289	179	1590	148	149	1080	89	90	522	86	533	114	69	235	40	47	31	27	61	94	61	68	51	15	78	16	8	86	87	9	11	8	8	11	7	36	49	4	24	12	4	12	3	12	2	27	0	1	3	9	7	2	1	0	2	0	2	3	5	3	0	14	4	3	0	1	1	3	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	13206	6686	3304	1402	1021	801	1956	593	489	1192	356	283	629	239	574	219	153	279	113	114	99	84	97	84	88	84	68	43	92	32	35	112	76	29	30	24	24	22	10	32	37	16	23	12	9	18	11	22	4	14	9	6	2	11	8	6	3	1	5	4	4	4	7	1	1	6	7	2	0	3	3	3	0	1	0	0	1	3	1	2	0	0	2	0	1	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	10491	5446	2368	368	283	177	1728	160	150	1062	97	88	528	86	511	124	69	236	39	47	34	28	64	73	59	62	45	12	82	14	13	105	65	10	11	5	17	16	5	26	33	10	21	7	6	14	8	20	1	14	2	1	2	9	7	2	1	0	2	0	3	3	5	1	0	6	4	2	0	0	2	3	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13441	6649	3286	1435	1027	787	2014	573	475	1183	358	255	617	229	573	215	142	280	111	100	106	84	125	89	110	88	74	39	99	35	40	101	69	26	28	28	29	25	12	23	35	16	27	14	9	19	13	27	5	14	9	7	3	13	5	4	0	4	5	3	3	3	6	0	1	6	4	0	0	4	3	1	0	0	0	0	2	0	0	3	0	0	2	1	1	1	0	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	10739	5437	2381	392	285	169	1793	166	141	1049	102	80	505	89	511	121	61	225	42	36	40	26	90	75	72	62	52	12	88	11	15	94	60	8	13	8	20	20	7	15	31	11	25	7	6	14	11	25	1	13	2	0	2	11	2	2	0	1	2	0	1	2	5	0	0	6	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	13459	6611	3283	1408	1074	789	2054	551	452	1215	338	272	651	228	613	225	138	296	101	112	88	88	143	98	106	94	69	35	87	37	35	114	63	27	21	24	34	20	14	25	44	18	25	9	9	15	13	28	7	13	6	7	1	11	14	4	0	4	3	3	3	0	6	1	1	6	4	0	0	3	3	2	0	0	0	0	2	0	0	2	1	0	3	1	0	1	0	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north5_active	80	10787	5380	2366	369	303	173	1828	170	143	1069	99	98	536	99	553	139	68	227	35	43	36	31	96	82	71	67	41	8	74	14	14	102	55	11	9	5	22	16	8	17	39	11	23	3	6	11	12	25	2	10	2	0	0	9	11	1	0	1	2	0	1	0	2	1	0	6	3	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	13595	6720	3201	1436	1065	803	2026	529	439	1212	333	271	690	219	597	212	150	287	97	127	90	92	135	94	104	86	78	36	76	44	34	93	67	22	18	25	22	17	16	23	34	20	38	7	7	19	13	23	8	19	3	4	4	10	20	4	0	5	2	2	5	2	3	2	1	1	2	2	0	3	1	4	2	0	0	0	2	0	0	1	1	0	3	1	0	1	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	10845	5514	2293	382	325	180	1788	163	147	1072	102	97	577	102	536	128	73	211	30	52	35	30	88	68	71	60	45	7	64	19	12	79	55	11	6	6	13	14	10	17	29	11	36	3	5	14	11	20	4	16	1	0	3	8	16	1	0	1	1	0	1	2	0	1	0	1	2	2	0	0	0	3	2	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	13514	6698	3137	1446	1094	806	1925	544	429	1162	324	292	702	200	591	216	154	293	104	120	99	98	135	104	98	81	71	31	60	47	28	94	80	21	19	21	18	16	20	19	29	17	28	9	6	20	11	19	8	22	3	3	3	9	21	5	3	2	0	2	4	5	5	4	1	2	2	2	0	1	0	4	2	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_active	80	10748	5481	2230	388	356	189	1694	161	151	1030	101	102	597	94	530	133	76	226	32	50	38	37	86	80	69	62	42	6	48	23	8	75	68	11	7	6	8	12	11	14	25	7	27	4	4	14	10	16	4	20	1	0	3	6	19	1	1	0	0	0	1	4	0	2	0	1	2	2	0	0	0	3	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	13429	6604	3086	1497	1079	824	1880	546	435	1217	317	295	660	203	538	221	182	248	101	113	95	81	129	102	90	89	74	31	64	53	32	96	90	25	21	23	16	18	21	21	18	16	54	14	8	19	8	16	6	31	3	5	4	11	18	3	5	1	1	2	3	5	5	4	1	5	2	4	0	1	0	4	2	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
