label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146
0.03	north1_all	80	40021	19419	6294	8221	3734	5591	3580	2395	1545	1455	2238	1045	1791	765	916	861	580	592	428	417	495	493	308	305	216	321	234	244	161	157	267	156	183	142	105	94	83	108	133	133	51	32	72	52	55	62	35	36	20	32	32	50	17	27	21	14	11	18	12	11	9	11	17	21	7	3	11	12	5	4	9	10	3	8	10	4	3	2	5	4	7	4	1	1	10	1	1	3	2	0	1	1	0	3	1	0	1	0	0	0	1	1	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	24082	11867	2860	4926	1771	3447	2052	1260	716	736	1344	509	1120	371	528	531	312	302	232	190	282	297	158	167	111	190	129	139	67	80	183	81	102	79	50	51	44	57	60	90	18	16	28	25	32	31	19	22	12	26	13	28	5	12	15	3	7	14	7	6	4	7	13	9	4	1	7	9	0	3	3	8	2	2	7	3	2	2	4	0	5	3	0	1	2	0	0	1	2	0	0	0	0	3	1	0	0	0	0	0	1	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	39945	19405	6330	8033	3629	5565	3477	2310	1565	1450	2123	1049	1859	772	885	878	570	627	414	408	482	529	315	290	215	320	240	261	170	181	258	141	168	122	105	88	86	118	127	120	48	36	94	54	63	54	39	38	16	39	28	46	23	21	18	13	13	17	11	11	13	12	10	19	7	5	11	10	6	4	7	19	6	5	10	7	2	2	7	5	5	7	1	2	8	1	0	2	2	0	1	1	0	3	1	0	1	0	1	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	23933	11845	2879	4779	1732	3377	1913	1220	724	708	1250	520	1196	392	506	528	293	330	217	181	263	325	163	153	95	194	127	158	81	93	163	73	89	66	53	48	44	66	55	71	17	17	54	29	38	28	20	25	12	24	14	22	14	10	11	7	7	11	6	6	7	8	7	10	5	3	7	7	2	4	3	13	4	2	1	5	1	1	6	1	3	5	0	2	2	0	0	1	2	0	0	0	0	3	1	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	39740	19596	6356	8180	3627	5531	3582	2329	1588	1503	2101	1041	1887	805	857	900	591	641	409	421	479	521	316	286	212	299	227	257	173	178	250	134	185	125	106	87	80	109	128	126	55	37	105	56	66	49	40	41	19	48	23	37	29	20	14	13	13	16	17	11	19	16	5	18	11	12	7	12	5	7	4	16	5	8	8	5	2	2	9	4	5	7	1	2	8	1	2	0	2	0	1	0	0	2	2	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	23855	11891	2889	4901	1737	3410	1949	1219	751	764	1287	519	1256	423	475	511	283	345	202	198	246	319	170	162	89	182	114	158	89	86	143	79	98	67	54	50	36	62	79	73	19	18	62	32	39	27	21	32	12	29	14	18	21	9	9	8	6	9	7	6	10	7	3	12	5	4	6	11	3	3	1	10	3	5	0	4	1	0	6	1	2	5	0	2	2	0	0	0	2	0	0	0	0	2	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	39450	19375	6400	8205	3636	5390	3618	2242	1558	1516	2038	1067	1933	776	840	877	610	675	399	417	471	505	313	272	224	339	208	264	169	177	216	139	148	146	115	92	73	95	103	107	51	39	100	59	57	59	38	38	19	49	32	41	34	20	15	12	12	15	16	7	24	24	11	9	11	13	6	9	5	10	6	15	15	11	11	4	1	4	5	3	6	6	3	3	3	1	4	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	23665	11757	2854	4909	1731	3358	2026	1180	727	776	1230	560	1267	401	471	504	284	371	198	194	246	304	168	147	93	188	101	154	98	93	132	80	92	73	61	57	30	54	62	64	19	23	66	32	32	37	20	27	10	28	18	29	27	19	9	9	4	8	6	4	14	13	5	6	4	4	3	8	4	2	3	9	7	8	0	2	1	0	2	2	3	3	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	39538	19489	6526	8216	3650	5381	3729	2284	1541	1528	2103	1055	1907	794	862	917	597	685	409	426	444	528	313	255	229	338	204	276	166	173	230	139	156	135	115	104	62	87	94	117	48	40	96	58	47	66	43	53	18	51	31	31	34	22	17	13	16	16	13	8	22	23	9	7	11	12	6	14	7	12	8	7	17	12	13	4	3	6	2	5	5	4	3	2	2	3	9	0	2	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	2	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	23727	11826	2894	4962	1744	3311	2133	1200	723	776	1281	550	1205	400	474	523	270	376	189	210	239	322	159	139	104	204	96	162	97	84	132	83	89	68	62	57	26	46	60	69	17	20	66	30	24	42	25	37	9	29	19	23	22	21	8	7	8	8	6	4	14	11	3	4	2	4	3	12	4	2	5	5	4	9	4	2	2	0	0	3	2	2	0	1	1	3	2	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
