label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111
0.03	north1_all	80	1756	1066	1167	1082	419	263	462	189	170	100	140	359	360	65	66	44	83	41	49	62	29	28	38	25	68	28	33	80	10	24	8	17	18	39	14	6	9	13	10	2	6	8	8	9	13	11	4	3	5	2	5	4	2	0	2	6	4	5	1	5	4	2	1	0	1	1	1	0	0	0	0	1	1	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	828	584	738	774	230	154	311	100	70	52	86	238	242	33	25	24	47	17	32	37	14	7	23	10	35	16	17	54	3	13	1	11	11	23	9	4	8	7	5	1	3	7	6	5	10	9	3	0	2	1	4	4	1	0	0	5	1	0	1	3	4	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1751	1108	1098	1094	414	270	445	210	173	106	146	408	330	73	60	49	88	38	48	75	33	26	41	23	83	37	29	42	8	23	10	17	14	24	15	7	11	15	8	2	5	9	10	11	34	11	4	4	4	3	5	2	2	0	2	8	3	8	2	4	5	2	1	0	2	0	1	0	0	0	0	1	1	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	795	609	666	748	240	159	314	111	83	53	91	277	195	34	23	27	56	14	31	51	19	7	23	10	53	29	18	31	4	19	4	10	9	11	9	3	7	7	4	2	2	7	9	6	28	9	3	2	2	1	4	2	1	0	0	7	2	1	2	4	4	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1757	1120	1077	1152	389	253	460	204	165	117	139	408	303	72	59	57	90	45	46	84	34	24	44	22	82	43	22	38	12	25	14	13	15	25	13	8	15	19	9	9	6	6	8	8	36	9	5	5	4	5	5	1	3	1	2	7	1	3	2	5	3	3	2	0	2	0	2	1	0	1	0	1	1	0	3	0	1	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5
0.03	north3_active	80	800	606	657	779	220	148	324	109	84	56	89	280	195	27	21	28	47	17	26	53	24	9	26	12	58	29	15	27	7	20	5	6	12	17	7	2	9	13	5	5	5	5	8	4	30	8	5	3	2	1	5	1	2	1	0	4	1	1	2	4	2	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
0.03	north4_all	80	1780	1120	1093	1177	366	277	458	209	165	124	132	391	274	74	60	54	89	40	41	86	42	24	44	21	73	42	19	28	12	24	16	15	17	31	12	10	8	24	11	12	4	6	8	5	29	6	6	4	1	3	1	2	1	2	2	4	1	3	1	2	1	1	2	0	2	0	4	1	1	1	0	5	0	0	3	0	0	0	0	0	2	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
0.03	north4_active	80	814	615	651	772	208	162	314	121	94	64	87	281	180	27	25	28	55	12	24	58	32	9	23	13	48	29	14	21	7	18	5	8	10	21	7	2	3	15	5	7	3	5	8	3	25	6	6	3	1	0	1	2	1	2	2	2	1	1	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
0.03	north5_all	80	1759	1116	1088	1124	348	270	459	183	175	126	134	425	296	65	74	53	86	34	36	86	42	22	43	25	74	31	12	27	19	18	16	18	13	35	12	12	7	25	17	14	4	9	7	3	12	6	4	5	0	3	1	2	3	3	3	4	1	0	0	2	0	2	2	0	2	0	4	1	1	1	0	5	0	0	0	0	0	0	0	0	2	2	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
0.03	north5_active	80	821	613	687	711	191	161	308	102	102	68	85	334	184	24	34	23	49	10	20	59	33	11	25	10	50	16	9	20	8	11	3	10	6	26	7	5	2	20	10	8	3	5	6	3	10	6	4	3	0	0	1	2	3	3	2	2	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
