label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152
0.03	north1_all	80	6444	3106	2000	1259	937	770	758	1243	1008	518	328	270	230	209	422	229	405	229	137	126	114	98	186	100	65	53	60	265	84	116	117	94	33	29	53	27	27	78	23	62	24	89	60	38	19	15	48	47	9	12	42	15	14	8	8	8	10	14	4	4	3	22	5	6	11	4	6	19	3	2	5	5	0	1	1	1	7	4	2	2	0	4	4	5	5	1	2	0	3	0	1	0	6	1	5	0	2	0	0	2	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3279	1528	1052	384	231	263	442	1049	824	326	180	104	57	57	345	122	351	182	31	65	71	33	149	50	30	27	13	248	74	96	107	78	4	14	39	2	9	71	10	57	16	81	53	32	13	3	42	40	2	2	38	8	9	0	3	3	8	12	3	1	1	22	3	3	9	2	4	16	3	1	3	1	0	0	1	0	7	4	1	0	0	4	3	4	3	0	0	0	3	0	1	0	5	0	5	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6397	3085	1958	1249	993	737	766	1267	909	485	334	273	240	207	430	223	462	226	132	126	103	108	176	90	65	62	64	267	95	106	140	102	34	35	51	28	27	80	27	73	17	72	50	37	13	12	45	47	9	8	53	16	15	9	8	8	11	13	5	2	3	17	7	7	11	4	6	18	1	8	3	4	3	1	7	1	10	5	0	2	2	18	3	2	5	1	2	0	3	0	1	0	6	1	7	0	4	0	0	2	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3191	1534	1040	360	248	238	435	1077	743	309	167	104	57	63	367	119	402	174	27	61	62	40	136	41	26	36	16	246	79	85	129	81	8	18	32	6	7	69	15	65	10	65	44	31	10	1	41	41	1	2	49	10	11	2	4	4	8	8	3	1	2	16	4	2	10	3	6	13	1	8	1	1	1	0	4	0	10	5	0	0	0	18	3	1	3	0	0	0	3	0	1	0	5	0	7	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6194	2997	1948	1272	980	745	728	1137	885	480	332	260	262	216	375	216	436	214	129	113	111	123	169	88	60	67	74	252	89	104	126	108	41	39	46	33	26	64	20	65	17	71	48	38	12	13	36	44	12	11	56	14	12	11	8	6	4	15	6	2	3	15	9	5	7	2	3	12	0	12	3	4	4	2	8	2	10	4	1	2	2	17	2	2	1	0	1	0	4	0	0	1	3	0	6	0	4	1	0	2	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2890	1416	991	332	233	226	400	953	697	310	168	90	76	59	305	106	364	151	29	52	54	45	126	38	22	36	16	229	74	76	113	81	12	17	24	8	6	50	11	56	11	64	40	31	10	4	33	41	2	2	51	9	8	3	4	3	1	9	3	1	2	14	4	1	5	2	3	8	0	11	0	0	1	1	3	0	10	4	0	0	0	17	2	0	0	0	0	0	2	0	0	1	2	0	6	0	4	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6104	2900	1878	1237	945	731	700	1142	803	466	322	272	264	230	327	192	435	191	119	112	104	122	151	87	53	80	72	161	85	93	132	92	38	36	39	36	29	56	22	60	17	29	50	42	6	10	34	54	18	13	53	13	10	11	10	6	3	12	6	3	5	10	10	5	3	2	2	11	0	15	4	3	4	3	10	4	4	2	1	0	3	17	1	1	1	0	1	0	4	1	1	1	2	1	5	0	3	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2659	1346	871	276	222	193	382	941	612	291	152	84	76	58	259	92	364	124	28	44	41	42	118	37	18	42	17	141	67	67	118	68	12	15	20	12	7	44	12	44	8	20	43	37	2	4	33	49	5	3	48	8	8	3	3	4	2	8	2	1	4	9	4	2	2	2	2	7	0	13	0	0	1	1	5	0	4	2	0	0	0	17	1	0	1	0	0	0	2	1	0	1	2	1	5	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5935	2843	1801	1217	914	740	675	984	757	420	332	245	273	244	275	181	376	196	127	113	105	122	139	85	57	85	67	140	69	76	105	91	39	39	33	32	25	42	18	46	19	24	32	31	15	13	33	45	15	12	33	12	9	11	5	5	5	11	5	5	10	6	7	4	6	3	2	6	0	12	3	4	4	3	6	4	5	1	1	0	1	1	1	2	2	0	0	2	2	1	1	1	2	1	3	0	4	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	2480	1251	763	259	215	181	348	796	553	233	139	69	83	49	204	79	290	121	29	48	40	31	106	32	19	43	13	117	57	52	92	67	9	16	19	10	6	32	6	32	9	15	26	25	6	4	31	41	5	3	27	7	7	4	1	3	4	10	1	2	7	5	1	2	4	3	0	2	0	9	0	0	0	1	2	0	5	1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	2	1	3	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
