label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173
0.03	north1_all	80	29094	13418	6633	4804	3305	3741	2887	2690	1992	1825	2187	1046	992	805	694	751	1090	809	793	882	701	406	859	291	253	565	232	480	244	175	325	210	207	238	252	113	132	229	120	94	111	98	103	128	64	173	55	94	48	41	65	53	43	46	39	41	65	28	43	27	21	26	23	29	18	11	13	19	18	17	36	20	13	6	26	41	7	10	33	16	6	3	16	16	7	5	5	9	6	3	7	3	5	11	2	11	7	4	3	2	2	1	5	2	1	8	3	1	1	4	1	1	0	7	2	3	2	1	2	1	1	1	2	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0
0.03	north1_active	80	16292	7358	3206	2347	1491	2107	1595	1467	1070	993	1273	500	481	364	293	388	647	491	473	525	434	210	535	141	123	335	113	296	121	83	176	110	123	122	134	54	69	136	62	51	67	58	58	83	31	124	23	55	22	23	42	29	28	19	20	19	39	14	19	16	11	8	9	18	10	7	9	10	10	11	28	16	3	3	19	33	2	1	20	9	5	2	12	6	5	2	1	5	4	3	5	2	4	5	1	10	4	0	1	1	1	0	2	1	0	7	3	1	1	4	0	1	0	5	1	3	0	1	2	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
0.03	north2_all	80	28853	13700	6558	4749	3237	3831	2885	2764	1985	1841	2148	1052	1009	837	676	753	1085	797	805	800	740	412	854	284	262	566	231	463	229	182	329	201	217	221	228	111	138	234	110	93	120	74	98	119	61	168	55	84	45	49	67	61	52	49	35	37	65	29	43	26	25	26	41	29	21	14	17	23	17	28	24	16	16	4	26	40	7	12	25	17	8	5	16	7	5	5	7	9	5	5	8	1	4	13	4	12	8	3	1	4	2	1	3	5	1	1	1	1	1	9	4	2	1	8	2	2	2	1	0	2	4	0	2	1	0	0	0	1	0	0	5	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	16104	7610	3190	2299	1488	2211	1569	1511	1082	1029	1266	499	500	380	282	404	645	492	456	497	465	205	526	141	129	327	122	285	125	81	183	111	116	115	128	57	71	145	62	50	70	47	47	74	23	128	26	40	20	32	44	34	34	22	19	16	37	16	22	18	16	12	25	19	11	8	8	15	9	19	17	9	6	1	19	31	2	1	18	11	6	2	11	2	5	3	3	5	3	4	6	0	3	10	1	11	5	0	0	2	1	0	1	3	0	1	0	1	1	9	2	1	0	5	1	1	0	1	0	0	3	0	2	1	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	28629	13701	6513	4839	3200	3812	2808	2862	1951	1826	2164	1049	999	872	693	763	1043	761	817	846	759	429	878	271	254	499	233	432	201	185	327	211	209	253	235	120	136	264	101	90	117	63	92	115	52	171	60	62	45	50	61	71	60	56	40	40	89	33	30	26	23	21	38	28	26	15	15	19	12	29	33	16	15	5	20	27	9	9	22	24	7	9	18	7	8	8	8	8	7	4	6	6	4	15	5	12	6	2	1	6	2	0	2	6	0	13	1	2	1	20	7	2	1	3	1	1	2	1	0	2	4	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	15980	7678	3167	2340	1472	2164	1531	1609	1082	1031	1281	501	489	421	287	416	611	462	460	508	464	216	561	137	120	294	118	252	99	85	189	107	103	146	141	62	78	169	51	44	67	36	42	68	15	119	34	27	20	30	39	40	35	22	21	14	53	14	15	14	13	10	26	16	10	9	8	9	7	20	26	7	8	2	12	9	5	0	11	16	5	5	16	3	5	6	4	5	4	3	5	3	3	11	2	11	1	0	0	2	1	0	2	2	0	13	0	2	0	20	5	1	0	0	0	0	0	1	0	0	3	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	28677	13780	6487	4791	3237	3901	2873	2822	1942	1827	2050	1060	976	920	662	772	1057	752	809	864	729	419	896	267	288	504	237	422	193	196	303	222	232	236	239	120	128	236	109	90	114	60	99	111	47	177	52	47	43	44	51	73	72	44	39	36	79	33	30	30	30	24	51	23	30	12	22	23	10	34	34	15	18	10	18	16	10	8	9	23	6	11	13	20	7	7	8	6	10	4	6	9	5	9	5	6	10	1	1	5	1	0	2	5	0	13	3	2	1	16	7	1	2	1	1	1	2	11	0	1	5	0	1	1	0	9	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	16068	7799	3130	2345	1488	2231	1564	1594	1059	1042	1250	497	475	457	280	421	633	417	458	512	458	192	586	125	135	306	114	242	93	96	180	114	114	147	160	62	69	156	57	44	55	30	42	64	14	119	28	24	20	26	29	36	44	26	20	16	40	13	19	13	22	13	26	10	13	6	10	12	4	20	25	7	10	5	10	3	8	1	1	15	3	5	9	17	3	5	7	3	5	3	5	5	3	7	2	5	2	0	0	1	1	0	2	2	0	13	1	2	0	16	5	0	0	0	0	0	1	10	0	0	4	0	1	1	0	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	28640	13783	6602	4754	3246	3925	2872	2904	1966	1838	2018	1032	975	895	685	785	1059	754	841	857	762	404	847	261	283	531	237	375	213	195	293	213	246	272	242	119	123	224	105	86	114	56	102	124	51	164	56	51	44	35	49	69	71	51	51	36	89	25	33	32	23	32	46	26	27	13	17	17	8	30	54	14	17	9	18	13	13	5	10	36	10	12	14	19	7	6	7	6	8	2	2	11	5	10	3	4	8	2	2	4	2	0	5	2	0	14	3	1	1	11	5	1	1	3	0	0	2	11	1	0	3	0	0	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	16025	7823	3226	2305	1510	2233	1549	1657	1074	1017	1238	470	472	450	288	430	635	427	471	498	481	185	562	125	139	325	109	206	112	82	174	100	137	168	164	61	73	144	57	40	60	26	50	64	19	103	31	30	22	17	28	40	42	30	25	15	53	9	16	16	15	18	27	9	10	5	8	6	5	19	46	7	10	5	9	0	9	2	4	21	7	7	10	18	3	4	7	3	4	2	0	6	3	7	2	4	2	1	0	1	1	0	3	0	0	14	1	1	0	11	3	0	0	0	0	0	1	10	0	0	2	0	0	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	29010	13806	6634	4604	3255	3993	2859	2843	1979	1817	2051	1027	966	877	682	797	1074	764	893	779	697	386	849	287	265	495	220	423	198	182	310	194	267	261	237	114	113	188	114	97	114	67	109	120	62	153	58	61	41	37	39	60	71	47	48	38	77	23	56	37	22	36	46	27	18	15	22	20	14	26	31	12	15	8	10	8	16	8	11	26	20	15	11	22	3	8	6	7	8	2	1	9	3	3	4	5	9	3	2	4	2	2	7	0	1	2	2	0	0	1	2	0	3	4	0	0	1	11	1	0	2	0	0	0	0	10	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	1	0	3	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	16244	7813	3215	2240	1500	2240	1546	1596	1059	1018	1268	485	473	418	290	422	647	420	516	460	430	170	591	135	125	321	105	247	105	79	174	91	164	156	154	60	62	119	55	44	54	32	57	62	25	98	24	37	18	18	22	39	44	31	23	19	38	8	33	17	11	16	22	17	7	7	11	9	9	17	23	4	8	4	4	1	9	3	5	17	16	8	8	19	2	4	6	4	3	2	0	5	1	2	2	4	4	1	0	1	1	2	4	0	0	2	1	0	0	0	0	0	0	1	0	0	1	10	0	0	2	0	0	0	0	10	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	29320	13734	6712	4606	3248	3968	2878	2874	1983	1842	2063	1055	932	840	665	777	1028	781	891	764	717	381	770	300	260	487	224	420	217	196	349	169	261	267	257	113	127	194	95	79	112	65	107	115	57	142	66	61	42	51	43	52	69	49	43	38	76	19	62	33	26	32	43	28	18	20	16	15	16	23	36	15	11	6	19	10	11	10	6	21	25	12	7	29	3	6	4	8	7	1	6	6	6	5	10	4	7	5	2	3	2	2	7	2	1	1	1	1	1	4	2	5	3	5	0	0	0	0	3	0	2	0	0	0	0	11	1	1	1	2	2	0	0	0	0	1	0	0	2	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
