label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178
0.03	north1_all	80	26107	17270	9148	6854	4139	4663	2466	2142	1900	3232	1385	1118	1069	1190	836	737	1610	621	564	1410	497	438	742	336	833	375	456	654	317	357	161	203	151	139	138	330	109	289	95	118	97	87	86	175	73	111	65	46	86	45	103	30	27	46	51	54	90	30	34	24	22	37	34	24	22	80	16	19	13	15	24	10	14	12	6	5	19	7	9	6	11	8	5	4	23	11	2	2	1	1	2	5	4	1	5	6	4	2	2	4	6	2	1	1	3	0	1	0	11	1	0	1	1	0	8	3	1	0	2	3	1	0	1	0	1	0	0	1	0	0	2	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
0.03	north1_active	80	12508	12631	5510	4336	1606	3381	541	574	839	2644	322	299	227	763	174	176	1392	164	186	1280	248	180	601	90	741	252	337	570	207	281	48	76	51	24	32	302	25	250	35	37	24	32	38	156	27	66	41	24	74	10	82	4	10	32	38	39	79	10	22	13	7	29	19	13	17	72	12	6	3	6	21	3	6	7	3	3	15	0	4	4	7	4	3	0	20	6	1	2	0	0	0	2	1	0	3	6	2	2	2	1	5	2	0	1	0	0	1	0	11	1	0	0	0	0	8	1	1	0	2	3	1	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	26138	17258	9013	6818	4056	4785	2497	2057	1978	3174	1336	1140	1056	1219	835	724	1717	624	535	1366	497	460	784	318	888	366	439	652	296	383	168	179	151	137	139	326	105	248	91	117	96	95	93	226	71	123	67	61	90	40	95	31	34	47	59	56	55	28	25	33	27	28	28	21	18	78	13	18	13	18	32	12	14	12	6	8	13	9	9	9	8	6	5	9	23	6	3	3	4	7	3	6	4	2	4	6	4	0	2	4	9	3	1	2	1	0	0	0	11	1	1	4	0	0	0	1	1	0	1	2	1	0	2	0	1	0	0	0	0	0	2	2	0	1	13	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1
0.03	north2_active	80	12561	12573	5428	4280	1602	3434	528	558	890	2633	308	300	209	774	181	174	1512	161	185	1227	254	189	639	93	793	246	327	573	194	308	53	70	56	26	32	295	27	209	36	30	26	34	46	205	31	77	41	29	68	10	74	3	11	35	44	45	47	6	14	17	9	20	15	11	16	68	9	5	4	10	29	3	4	5	3	3	9	1	5	6	5	2	4	1	21	4	1	2	0	2	1	3	1	0	1	6	2	0	2	1	8	2	0	1	0	0	0	0	11	0	0	3	0	0	0	0	1	0	1	2	1	0	2	0	0	0	0	0	0	0	1	2	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north3_all	80	26002	17425	9121	6929	4059	4702	2541	2052	2011	3073	1338	1144	1073	1234	824	720	1654	598	501	1209	487	446	828	321	887	379	451	641	328	383	189	191	145	127	139	330	113	206	95	109	102	87	83	235	75	100	70	56	100	38	86	33	40	44	52	56	40	24	25	30	29	24	35	21	21	76	12	18	12	14	31	14	12	13	9	8	24	10	16	11	9	4	5	8	25	3	3	8	5	8	5	4	4	2	5	0	7	2	5	3	9	2	3	2	1	0	2	2	16	2	1	4	0	0	0	3	0	0	3	1	1	0	1	0	1	0	1	1	0	0	1	4	0	1	13	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1
0.03	north3_active	80	12543	12570	5615	4405	1590	3300	548	562	909	2536	296	315	216	792	158	178	1442	159	160	1072	242	188	698	94	793	242	342	560	226	311	59	71	56	25	32	298	40	171	31	27	26	27	39	209	37	67	39	28	71	10	67	6	12	36	39	45	33	5	15	14	12	14	22	8	18	68	9	7	3	7	25	3	2	7	4	2	23	2	9	7	7	1	2	2	24	2	0	3	0	3	2	1	3	0	1	0	6	1	5	0	8	1	2	1	0	0	2	2	15	0	0	3	0	0	0	0	0	0	3	1	1	0	1	0	0	0	1	1	0	0	1	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north4_all	80	25963	17321	9039	6849	4057	4626	2507	2050	2040	3151	1324	1144	1047	1186	835	743	1803	590	519	1348	491	447	769	310	864	373	429	693	316	389	200	185	147	133	149	300	131	242	107	101	102	83	73	239	70	102	78	58	100	40	81	39	45	52	64	59	60	23	37	30	27	22	26	19	33	58	21	16	13	13	38	19	17	12	11	14	28	11	16	11	9	4	6	9	19	2	3	8	7	10	4	9	3	3	4	2	8	3	5	2	8	3	7	1	2	1	3	4	14	2	2	17	0	0	0	3	0	0	2	1	0	0	3	1	0	1	1	1	0	0	1	3	0	1	15	0	4	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0
0.03	north4_active	80	12545	12486	5508	4318	1595	3229	593	554	909	2634	284	308	206	773	180	174	1592	156	152	1199	241	184	635	94	774	233	326	610	212	316	58	60	68	34	31	263	40	204	35	23	23	28	35	202	34	73	40	26	67	8	64	8	13	37	54	47	51	6	19	14	10	15	14	5	25	51	14	5	3	9	31	3	2	8	4	6	24	2	10	9	9	1	2	2	18	1	0	3	0	5	2	9	3	1	0	1	6	1	5	0	7	1	5	0	2	0	3	4	13	0	0	17	0	0	0	0	0	0	2	1	0	0	2	1	0	1	1	1	0	0	0	3	0	0	14	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north5_all	80	25920	17369	9134	6811	4019	4630	2522	2092	2008	3303	1311	1122	1046	1294	799	746	1792	617	517	1404	482	458	714	325	849	352	394	671	326	326	193	191	150	123	151	271	133	234	106	94	118	82	72	213	64	105	93	60	94	44	74	44	43	47	73	46	76	25	43	28	24	23	31	21	40	53	23	17	15	14	34	21	20	13	12	10	27	9	15	8	17	2	4	6	6	2	4	7	7	8	4	22	3	4	3	3	9	4	3	1	8	2	7	1	2	1	5	5	13	2	1	15	0	0	0	3	0	0	2	1	1	0	2	1	0	1	1	1	0	0	2	3	0	0	14	0	4	0	0	3	0	0	1	5	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
0.03	north5_active	80	12568	12464	5569	4356	1581	3256	608	548	893	2767	285	321	202	864	171	174	1579	154	153	1254	221	187	583	101	765	209	305	593	219	248	61	59	69	32	33	235	44	200	33	20	26	26	29	176	30	78	51	22	66	8	53	12	14	33	51	32	66	4	24	17	10	16	13	6	25	48	15	4	3	8	28	2	3	8	3	5	23	2	8	5	16	1	1	1	5	1	0	3	1	7	1	22	3	2	0	1	7	1	3	0	7	1	5	0	2	0	4	5	12	0	0	15	0	0	0	0	0	0	2	1	0	0	1	1	0	1	1	1	0	0	0	3	0	0	14	0	4	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
