label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159
0.03	north1_all	80	6248	2005	2328	1274	675	702	464	484	333	270	508	476	264	168	356	148	285	131	123	101	205	93	187	123	138	105	49	41	99	40	105	69	33	30	49	71	30	28	12	33	26	32	17	17	11	13	24	19	15	16	5	23	7	4	4	12	8	16	3	9	19	1	6	8	3	5	1	5	3	2	4	7	3	3	4	2	2	0	1	0	7	3	8	1	0	2	5	2	0	1	1	0	3	0	2	1	0	0	1	0	2	1	1	0	1	0	1	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	2	0
0.03	north1_active	80	3624	899	1447	728	332	367	243	280	163	126	312	303	144	92	223	67	189	79	57	52	126	36	99	89	77	62	29	16	55	18	77	43	10	15	27	40	13	17	6	21	14	22	6	9	5	6	18	9	8	10	3	20	4	2	2	5	5	10	3	8	11	0	2	4	1	3	1	2	2	1	3	6	3	0	1	0	1	0	0	0	7	0	5	0	0	1	5	1	0	1	1	0	3	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	2	0
0.03	north2_all	80	6437	2075	2542	1310	682	767	469	520	352	289	554	494	279	180	418	141	295	139	141	107	218	91	197	108	140	129	53	38	105	35	108	81	31	32	47	56	27	24	16	34	37	41	12	16	13	17	36	20	17	24	6	23	11	3	7	10	9	15	4	11	18	1	8	7	6	4	1	5	2	10	1	8	4	3	4	6	2	1	1	0	4	7	8	0	0	1	3	1	0	2	1	1	2	0	1	3	0	0	1	0	2	2	1	0	1	0	1	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north2_active	80	3765	976	1615	749	307	413	223	309	188	142	336	313	147	98	267	69	185	79	66	53	126	39	111	72	76	77	28	13	57	15	80	52	14	19	22	32	12	15	8	23	20	28	4	8	5	9	29	10	8	13	5	17	5	1	1	6	5	11	3	6	9	0	3	3	3	2	1	3	1	9	1	5	3	0	2	2	1	1	0	0	3	4	5	0	0	1	3	1	0	1	1	1	2	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north3_all	80	6707	2106	2680	1360	695	788	486	508	381	299	538	514	259	169	428	137	290	132	140	114	222	100	211	118	152	126	51	44	107	34	92	93	26	39	48	57	23	22	12	35	36	42	15	11	14	15	40	19	17	23	3	19	10	5	10	6	8	11	4	14	17	2	7	5	8	3	3	3	3	9	2	11	5	4	3	5	1	2	2	0	5	7	4	1	0	0	4	1	0	4	1	1	3	0	2	4	0	0	0	0	3	2	1	0	2	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north3_active	80	3966	1018	1710	789	313	436	239	304	203	142	321	327	147	86	278	63	186	69	63	64	126	45	130	82	94	83	27	16	71	17	57	61	15	24	25	40	10	14	4	22	21	25	7	6	7	9	30	9	6	13	2	9	5	2	2	4	5	7	3	8	9	1	3	4	5	2	2	1	1	8	1	9	3	0	2	2	1	1	1	0	2	4	0	0	0	0	4	1	0	0	1	1	2	0	2	3	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north4_all	80	6745	2115	2739	1392	733	817	512	478	379	279	568	508	259	177	435	124	289	135	153	114	212	91	224	112	143	107	60	47	93	43	96	81	27	43	45	56	20	24	14	37	26	45	10	6	13	11	36	14	12	24	7	27	8	8	10	10	11	10	5	14	14	1	8	7	8	3	2	7	7	11	2	10	5	2	2	5	1	2	1	1	7	6	3	1	0	1	2	0	0	4	0	1	2	1	2	3	0	0	0	1	7	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	3964	1057	1737	812	325	465	249	281	201	125	362	341	144	89	276	64	182	64	76	63	126	42	151	73	86	67	33	13	57	16	55	53	17	26	31	42	8	12	6	21	16	30	6	3	7	7	25	4	5	15	3	17	4	3	2	4	6	6	4	6	8	1	5	5	5	3	1	3	5	10	1	7	2	0	2	2	1	1	1	0	4	4	0	0	0	0	2	0	0	0	0	1	1	0	2	3	0	0	0	0	7	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6663	2131	2784	1429	695	799	493	457	352	262	586	489	253	183	437	123	280	153	148	114	197	91	204	129	136	100	67	48	102	46	99	87	24	37	42	56	21	21	15	53	26	38	9	8	11	8	24	13	9	27	11	23	3	7	10	8	9	7	4	16	7	5	5	4	4	5	2	5	8	6	3	10	4	1	3	2	2	2	1	2	9	3	6	1	3	2	2	0	0	3	0	0	1	1	1	1	0	0	0	1	7	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	3914	1055	1805	839	320	456	239	248	180	113	391	323	137	90	275	59	177	77	81	59	121	39	135	83	89	70	36	18	70	18	50	54	14	16	26	45	10	10	3	28	17	25	5	3	8	5	12	4	4	19	8	17	2	2	5	1	5	2	3	8	4	1	5	2	2	4	1	2	6	5	1	8	1	0	3	2	2	1	1	1	7	0	2	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	7	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
