label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172
0.03	north1_all	80	3183	1638	945	1249	1815	444	875	346	632	441	269	171	219	243	203	172	97	140	79	82	120	61	84	80	62	103	35	134	126	37	37	85	27	50	40	47	13	23	28	27	57	21	25	19	20	42	29	10	9	21	21	25	5	7	19	12	9	9	9	9	8	8	8	4	8	6	5	5	3	4	2	3	7	6	3	4	2	1	2	6	0	3	7	2	2	16	2	3	2	0	2	0	3	0	2	6	2	1	0	3	2	0	1	1	1	1	0	0	0	1	5	0	1	2	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1544	827	441	788	1245	218	565	166	419	266	153	80	123	129	119	108	42	72	41	45	74	27	43	49	37	75	19	88	89	14	22	60	17	34	23	28	1	12	14	11	38	10	16	11	9	23	20	6	4	13	16	19	1	3	15	9	4	6	6	3	3	3	4	3	4	2	3	2	0	0	1	3	5	4	3	4	0	1	0	1	0	2	7	1	1	2	2	2	2	0	2	0	1	0	1	4	1	1	0	2	2	0	1	1	1	1	0	0	0	1	3	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3136	1574	965	1200	1598	424	856	359	567	420	281	184	218	223	213	160	93	134	76	76	125	57	87	90	56	112	35	123	84	30	35	111	24	57	40	40	16	22	24	21	51	19	23	26	28	41	41	17	12	20	19	18	4	9	12	8	8	9	12	7	6	9	8	5	6	6	4	7	3	6	4	4	6	2	3	4	1	4	2	3	3	2	13	2	3	14	4	2	1	0	2	1	2	1	3	7	1	1	0	3	1	0	1	0	1	2	0	0	0	1	6	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1490	781	432	725	1062	206	533	183	360	254	166	89	132	114	119	97	41	67	39	43	72	25	46	51	32	79	16	81	56	11	20	75	13	36	26	27	2	10	11	7	36	12	11	12	16	28	27	11	5	12	14	12	2	6	4	7	4	4	10	3	2	3	5	3	3	3	1	3	1	1	1	4	5	1	2	4	0	2	0	0	3	2	12	1	1	0	4	2	0	0	1	1	1	0	1	4	0	1	0	2	1	0	1	0	1	1	0	0	0	1	3	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3087	1538	990	1135	1503	414	818	360	548	416	291	197	218	207	201	160	96	145	78	74	137	60	83	84	64	95	37	115	68	27	33	104	25	45	51	44	17	18	23	25	45	20	17	26	26	37	32	21	15	13	18	17	3	9	11	6	22	8	16	12	7	5	4	7	5	6	4	6	4	4	4	5	8	2	3	3	2	5	2	3	4	2	13	1	3	14	4	2	1	2	5	1	3	1	2	5	0	1	4	3	1	0	0	0	0	1	0	0	1	1	3	0	1	2	0	0	0	1	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north3_active	80	1474	781	443	659	943	193	489	182	339	248	178	99	130	105	109	99	52	79	44	37	89	27	45	49	36	59	12	68	48	14	18	69	14	30	25	35	5	9	14	8	32	11	6	9	17	23	24	12	4	7	13	12	2	6	5	4	13	3	14	7	3	2	2	5	2	4	1	3	1	2	2	4	5	2	1	3	0	3	0	0	4	2	12	0	1	0	4	2	0	0	3	1	1	0	1	4	0	1	4	2	0	0	0	0	0	0	0	0	1	1	1	0	1	2	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3083	1531	983	1141	1398	413	773	369	543	416	304	204	196	190	193	183	92	135	76	77	135	64	85	97	78	102	42	90	60	23	33	84	22	38	62	35	23	21	16	15	39	17	15	22	32	32	37	21	11	14	13	13	4	15	10	5	23	11	19	12	7	6	3	5	3	8	4	8	4	5	5	5	15	2	4	2	4	5	1	2	7	2	9	1	2	1	6	0	1	2	5	1	2	1	1	4	1	3	5	2	1	0	0	1	1	2	1	1	1	0	2	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north4_active	80	1423	771	445	660	860	187	456	186	342	243	191	98	114	100	111	111	51	71	42	36	81	29	52	54	46	66	11	55	38	10	18	51	12	24	30	27	9	9	9	6	24	9	5	8	22	21	27	12	2	5	10	10	3	13	4	3	15	4	15	7	3	2	3	4	3	5	0	4	3	3	3	4	12	2	1	2	1	2	0	0	6	2	8	0	0	1	5	0	0	0	3	1	1	0	0	3	1	3	5	2	0	0	0	0	1	1	0	1	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3169	1583	923	1206	1394	404	818	371	522	461	283	203	189	203	194	179	87	127	78	85	143	67	88	92	70	119	41	98	84	28	44	74	27	34	53	31	22	28	18	15	54	14	14	23	38	27	27	17	8	11	25	25	4	15	6	5	22	14	18	9	6	3	2	6	8	5	4	6	5	4	5	3	23	2	3	2	6	4	3	4	7	0	3	2	4	2	5	6	0	2	4	1	2	1	2	2	1	2	5	0	1	0	0	4	1	2	1	1	1	0	2	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north5_active	80	1489	800	417	708	873	171	513	178	335	281	167	104	105	116	118	104	46	70	41	44	80	27	45	47	41	86	14	61	50	15	22	45	13	24	22	22	10	15	10	7	37	7	3	12	27	16	21	7	0	5	16	20	3	12	2	3	15	4	11	5	3	0	1	3	5	2	0	4	3	2	4	2	18	1	1	2	2	2	2	0	4	0	3	0	3	1	4	6	0	0	3	1	0	0	1	1	1	2	5	0	0	0	0	2	1	1	0	1	1	0	1	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
