label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200
0.03	north1_all	80	13173	6713	5106	3424	1284	1105	1482	771	706	488	467	448	347	428	725	253	250	237	301	222	149	275	160	212	104	137	134	102	112	94	88	70	119	90	67	107	53	46	52	46	43	86	44	38	32	25	29	32	73	53	25	32	20	37	34	20	20	18	22	13	15	21	18	9	9	17	11	29	15	8	11	9	9	9	3	13	6	7	4	5	5	5	4	7	5	8	5	4	12	3	3	1	2	2	3	2	3	5	3	2	4	3	2	2	2	2	2	4	1	1	1	3	4	0	1	2	1	1	3	1	0	2	1	2	0	1	0	1	0	0	1	1	7	0	1	0	1	0	3	0	0	2	1	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	10264	5416	4334	2820	370	468	1124	371	374	115	185	262	109	277	626	53	138	106	229	119	39	204	48	128	37	50	63	27	69	24	36	19	78	51	25	79	18	10	19	17	17	68	19	13	8	7	14	11	64	42	13	9	7	26	8	10	14	6	17	3	12	16	5	3	7	8	7	20	13	4	7	7	4	2	1	12	1	4	2	1	1	3	2	2	4	3	2	1	11	2	3	1	0	0	2	1	3	3	1	1	4	3	0	2	1	1	1	4	1	0	1	3	2	0	0	1	0	0	1	0	0	0	1	2	0	0	0	1	0	0	1	1	7	0	0	0	1	0	1	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	14022	7314	5628	3532	1275	1154	1527	777	730	524	503	486	348	400	741	254	254	247	318	229	167	287	159	221	104	131	131	113	123	83	96	71	126	105	69	87	65	51	54	39	36	91	42	39	37	27	31	31	86	48	26	28	20	66	29	24	25	20	26	12	12	22	19	8	12	16	8	43	10	10	13	12	14	12	6	4	6	9	3	5	5	5	5	2	6	4	9	4	12	3	2	2	1	3	5	3	4	2	5	1	1	2	2	4	3	2	3	3	2	0	0	0	3	0	2	1	1	1	1	3	0	2	0	2	0	1	0	1	8	0	0	0	1	0	1	1	1	0	1	0	0	1	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north2_active	80	11164	6079	4820	2958	390	511	1191	386	388	140	205	302	122	256	652	68	144	122	243	138	54	212	51	148	37	46	73	37	77	20	46	23	86	67	28	57	29	9	19	12	16	76	19	15	11	10	19	13	80	32	12	5	6	56	6	12	19	9	21	2	9	19	4	3	5	9	5	34	9	4	4	11	9	3	1	4	2	6	1	1	2	2	2	1	5	2	4	0	10	1	2	2	0	0	4	1	4	1	2	0	1	2	0	4	2	1	1	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	8	0	0	0	1	0	0	0	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	14821	7902	6253	3660	1238	1141	1630	779	740	557	520	544	342	435	824	260	256	264	348	241	180	337	151	202	116	113	132	105	120	74	87	72	121	92	63	90	64	62	44	42	39	91	36	46	41	32	31	29	70	43	26	25	24	76	22	18	32	17	25	15	16	23	21	12	13	11	4	40	12	7	14	13	14	13	6	8	6	13	3	2	5	2	6	4	7	5	10	7	10	4	2	4	2	2	4	3	4	1	6	2	4	1	4	9	3	2	4	2	1	0	0	0	4	0	3	1	0	0	0	3	1	1	0	2	0	0	0	1	9	1	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north3_active	80	12082	6725	5468	3107	418	532	1302	421	412	155	219	339	132	276	732	74	139	129	271	153	54	269	43	140	35	48	82	40	70	19	44	21	90	55	25	61	35	12	17	13	20	77	17	15	18	12	19	12	66	28	15	4	7	66	3	8	26	9	20	2	13	20	5	3	7	5	3	32	10	1	4	11	10	5	0	8	1	8	2	1	2	0	2	2	6	2	4	2	7	1	2	4	1	0	3	1	4	1	2	0	2	1	2	9	2	1	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	9	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15180	8094	6482	3936	1218	1111	1627	786	735	553	512	582	350	450	749	258	258	267	370	235	181	338	131	200	102	112	145	106	104	79	80	76	120	93	64	101	62	54	42	49	41	96	45	45	37	37	34	28	68	45	21	18	25	70	19	22	36	14	23	16	17	26	19	11	17	10	6	47	22	7	14	13	22	15	9	12	5	12	3	1	4	4	5	2	9	6	9	5	7	6	4	4	1	2	4	1	3	2	6	2	6	2	2	10	2	2	4	2	1	0	1	0	4	1	4	1	0	0	0	3	3	1	3	0	0	0	1	1	9	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	12550	6923	5709	3377	425	550	1326	429	412	169	217	378	128	297	658	84	127	139	293	145	56	274	34	133	28	46	79	47	63	21	50	19	88	62	30	73	37	12	13	19	17	83	25	18	15	11	20	9	65	30	9	5	6	64	5	14	30	9	19	3	10	22	3	2	7	5	4	40	19	1	3	11	18	6	1	12	2	9	2	1	2	1	1	1	8	3	4	2	5	1	4	4	1	0	3	0	2	2	2	0	3	2	2	10	2	1	2	1	0	0	0	0	1	1	1	0	0	0	0	0	2	1	3	0	0	0	1	1	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	15190	8082	6124	4048	1205	1082	1619	778	737	541	515	554	358	479	802	245	273	282	357	254	174	359	138	204	109	122	126	98	98	85	87	80	121	91	76	109	54	59	43	58	39	82	51	42	44	38	36	26	45	51	28	20	22	81	19	24	41	15	23	13	18	33	16	9	20	8	7	32	22	10	14	13	25	10	5	16	6	14	7	2	4	6	5	3	9	4	4	6	5	9	4	3	2	1	4	0	3	6	6	3	7	2	3	10	1	1	3	7	2	0	1	0	3	1	2	1	1	0	0	1	4	1	4	0	0	0	3	0	1	4	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	12595	6896	5406	3483	431	541	1326	434	402	159	216	354	132	321	707	79	139	144	288	157	53	300	27	143	29	56	63	38	55	21	55	17	85	68	37	83	29	11	15	26	14	73	22	18	23	12	19	10	42	36	12	9	5	75	3	16	30	10	16	4	12	29	5	3	10	4	5	25	17	2	5	10	19	6	1	15	1	10	3	2	2	2	2	1	8	2	1	2	3	3	3	3	2	1	1	0	2	3	2	0	3	1	3	10	1	1	2	6	1	0	0	0	1	1	1	0	1	0	0	0	2	1	4	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
