label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191
0.03	north1_all	80	8019	2035	1436	4311	1490	753	538	869	361	267	267	369	302	190	192	256	136	147	272	107	86	121	284	147	64	78	57	128	182	55	53	76	37	51	31	54	58	37	25	43	27	29	96	28	51	23	19	40	32	22	11	19	13	8	11	19	12	54	31	20	10	6	11	9	5	16	27	17	6	8	7	10	12	6	5	8	3	3	6	3	9	1	9	4	1	9	2	4	0	9	4	1	4	3	5	2	0	1	6	1	0	2	3	0	7	0	0	1	0	2	0	0	0	0	0	10	1	2	1	1	0	0	0	0	1	0	2	1	0	2	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	6169	521	650	4012	1200	451	187	723	140	78	64	253	211	51	104	168	31	66	223	22	25	50	244	102	17	25	15	105	161	18	14	58	8	22	8	26	42	15	2	18	9	13	82	13	44	5	10	25	20	17	5	12	6	4	1	14	5	47	23	15	4	1	9	3	3	16	24	13	6	6	6	8	11	3	1	5	3	1	1	2	6	0	9	1	0	9	1	4	0	9	1	0	1	0	4	1	0	0	6	1	0	0	3	0	6	0	0	0	0	2	0	0	0	0	0	10	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7946	2010	1470	4258	1580	716	523	870	370	271	287	373	311	173	191	263	142	153	268	115	94	117	267	151	66	75	69	114	170	48	54	74	39	37	29	44	56	34	24	50	28	26	79	37	52	25	13	35	31	23	9	16	16	10	11	31	11	49	25	18	10	8	7	9	6	30	25	19	10	9	9	12	16	4	6	7	1	5	6	3	11	4	11	6	2	6	1	5	1	8	4	3	5	1	2	0	0	1	13	3	1	2	4	0	6	1	4	1	0	2	0	0	0	0	0	8	1	2	1	1	1	0	0	0	1	1	2	3	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6097	508	673	3961	1268	421	180	715	144	76	68	251	213	46	104	183	37	72	226	35	27	48	230	109	14	23	21	88	141	12	15	59	9	14	7	19	41	20	7	20	10	12	68	21	48	5	9	21	20	18	5	12	5	3	2	28	5	42	23	14	4	1	5	2	5	29	22	16	6	6	8	9	16	0	2	3	1	1	1	1	8	3	11	1	1	6	0	5	0	8	1	1	1	0	1	0	0	0	13	3	1	0	4	0	5	1	3	0	0	2	0	0	0	0	0	8	0	1	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7369	2039	1480	3804	1452	713	504	774	382	288	272	331	321	181	184	248	146	135	249	120	105	118	213	124	65	60	71	98	137	51	49	61	42	40	30	34	56	37	28	46	23	26	61	40	40	19	12	31	28	21	10	15	18	11	13	32	12	38	20	15	8	10	8	8	8	30	21	20	13	9	8	9	16	5	6	7	2	2	5	2	12	6	12	4	2	5	1	6	1	7	4	5	4	0	2	1	0	1	7	2	1	2	4	1	2	1	4	1	1	3	1	0	1	0	0	8	1	1	2	0	1	0	1	1	2	1	3	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5491	520	635	3474	1140	402	157	611	146	72	69	215	209	44	95	166	43	65	202	37	33	49	180	87	13	19	19	74	105	15	10	44	10	13	7	13	39	22	9	19	7	14	49	22	35	2	8	21	16	15	4	10	4	2	1	30	3	30	16	11	3	1	6	1	6	29	18	18	7	5	7	7	16	0	2	1	1	0	1	0	9	3	12	0	1	5	0	6	0	7	1	2	1	0	1	0	0	0	7	2	1	0	4	0	1	1	3	0	1	3	1	0	0	0	0	8	0	0	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6916	2015	1490	3281	1317	699	510	760	386	315	278	300	316	191	182	221	159	148	204	131	108	110	175	103	74	53	66	88	142	53	52	54	40	39	24	31	47	39	35	41	28	29	70	34	41	27	11	26	27	23	10	10	18	10	10	28	11	31	18	12	8	8	8	10	7	28	7	20	13	7	5	6	11	8	3	4	2	2	4	4	7	7	13	2	2	2	3	11	1	8	2	4	3	0	3	1	0	1	8	2	1	1	2	1	1	1	4	1	2	3	2	0	1	0	0	1	0	0	2	0	1	0	1	1	1	1	2	2	0	1	3	0	0	1	0	0	1	3	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4913	484	585	2920	993	377	146	563	139	68	66	187	203	42	90	147	48	79	159	40	36	49	148	67	16	13	17	61	107	12	16	39	7	11	4	10	31	20	11	17	13	13	56	17	31	3	5	14	18	18	2	4	5	0	1	26	3	27	15	9	2	2	3	0	4	27	4	18	5	4	4	4	10	0	1	1	1	0	0	0	6	3	12	0	1	2	0	10	0	7	0	2	2	0	1	0	0	0	7	2	1	0	2	0	0	1	3	0	1	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6417	2037	1435	2727	1144	695	520	669	376	310	276	248	296	209	177	197	151	152	207	119	103	100	164	92	73	64	60	80	112	52	54	56	37	38	19	30	33	30	33	31	31	26	42	20	32	23	13	23	20	26	17	14	16	7	14	14	11	24	18	11	7	4	7	10	5	14	19	20	10	4	6	2	7	7	4	6	4	2	2	5	3	4	4	0	1	2	3	8	3	3	1	4	2	1	2	1	2	1	9	0	0	0	4	3	1	1	0	1	2	1	2	0	1	1	0	1	0	0	1	0	1	0	1	2	2	0	2	0	0	0	3	1	1	1	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4360	492	517	2352	813	332	133	463	118	65	71	145	182	47	82	120	39	81	153	31	31	45	133	59	16	15	15	51	81	13	14	38	8	9	2	12	18	14	8	13	9	12	30	9	22	5	4	16	14	21	4	10	5	0	0	11	4	19	12	7	0	2	2	1	1	13	16	17	5	2	4	1	6	0	1	1	1	0	0	0	3	0	3	0	0	1	0	6	1	1	0	2	1	0	0	0	0	0	7	0	0	0	3	2	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
