label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189
0.03	north1_all	80	1961	1173	1115	420	352	373	294	223	381	141	127	218	104	94	92	65	76	105	67	112	67	64	35	122	185	48	38	28	24	32	23	24	28	18	84	19	39	18	17	18	13	13	15	6	9	10	13	11	11	12	57	10	13	13	10	4	10	6	4	14	4	2	12	5	4	18	2	2	2	6	15	2	4	12	1	2	2	3	2	11	3	11	0	5	7	1	2	6	3	35	0	2	5	1	1	1	0	0	0	1	0	0	0	0	2	2	1	0	1	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	580	688	858	178	111	244	137	118	294	23	65	171	29	29	12	17	26	79	15	83	21	46	9	100	173	37	9	10	3	11	8	5	12	5	78	9	33	10	10	2	7	5	3	5	1	6	5	9	4	8	56	3	7	11	7	1	2	2	2	14	2	2	8	2	2	15	0	0	0	5	10	1	0	5	0	1	0	2	2	11	3	10	0	5	7	1	0	6	3	34	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1956	1188	1093	438	351	401	297	231	387	151	135	213	106	79	94	70	80	101	53	117	68	70	32	122	197	55	40	33	33	27	24	22	34	18	101	17	33	28	17	12	10	14	15	6	9	14	11	13	11	15	62	7	8	13	9	2	10	5	11	9	3	1	10	5	4	30	4	2	3	6	8	1	3	13	4	3	3	2	0	10	3	8	1	4	3	1	3	3	3	28	0	2	4	1	1	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	561	694	833	196	117	274	148	130	296	29	72	162	30	22	18	18	21	69	13	83	22	55	7	104	188	38	9	10	7	11	7	6	18	8	94	9	28	18	10	1	6	8	3	6	2	7	4	10	3	10	62	2	5	12	7	2	2	1	8	9	1	0	8	3	2	28	0	0	0	5	4	0	0	5	0	1	1	0	0	10	3	7	0	4	3	1	0	3	3	27	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1980	1205	1059	474	348	402	288	248	378	140	148	228	111	87	95	75	74	105	49	127	67	82	36	104	191	50	37	35	35	20	22	19	31	16	99	16	35	33	23	12	16	18	13	3	13	15	9	11	10	13	50	6	12	19	10	3	7	5	13	15	4	4	9	6	4	26	5	4	3	7	4	2	1	6	4	2	2	1	1	4	2	2	1	9	3	0	2	3	1	26	0	2	8	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	2	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	570	701	798	204	111	272	153	138	296	22	82	163	30	26	20	20	21	75	14	92	20	65	9	84	181	30	9	9	11	7	6	6	20	8	95	8	30	20	15	3	8	10	1	3	2	7	4	6	4	11	50	2	8	19	8	2	1	2	9	14	2	1	9	4	2	24	1	2	0	5	4	0	0	5	0	1	1	0	0	4	2	2	0	9	3	0	0	3	1	26	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1990	1253	1047	468	334	407	273	211	371	144	165	234	104	82	93	82	83	103	53	113	73	86	37	85	217	66	33	30	40	21	20	17	29	26	75	16	40	22	27	14	16	18	13	10	13	16	9	15	11	10	52	5	15	24	6	2	2	6	11	17	2	4	11	5	3	20	3	3	1	5	7	2	1	4	7	1	3	3	2	4	5	1	2	8	4	2	4	2	1	27	0	2	7	2	0	1	2	0	1	0	0	0	1	0	2	0	1	0	1	0	0	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	586	726	778	214	110	272	143	112	286	22	89	163	24	23	21	21	21	70	14	86	17	68	11	64	202	44	8	8	17	8	6	6	22	12	71	7	34	13	16	3	8	9	3	6	3	6	3	9	3	6	51	1	7	23	4	1	0	3	8	15	1	1	10	2	2	19	1	2	0	3	7	0	0	3	0	0	1	1	1	4	5	1	0	8	3	1	1	2	0	26	0	0	7	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	1	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1978	1229	1030	483	340	383	257	198	334	136	166	202	104	84	86	73	74	94	60	110	63	78	43	84	214	66	30	22	43	23	23	17	25	24	63	17	45	13	29	17	19	16	10	12	16	13	14	16	11	8	58	8	17	27	7	3	4	8	6	26	4	5	9	5	3	13	3	6	1	3	4	2	0	3	7	1	1	2	3	3	4	3	1	5	2	4	3	2	1	23	1	3	4	2	0	1	2	0	1	0	0	2	1	0	2	2	1	0	1	1	0	3	0	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	530	712	752	196	107	250	124	94	256	23	79	139	18	22	17	21	18	64	14	84	10	64	9	54	197	41	8	5	14	7	6	6	14	10	58	8	39	5	18	4	7	9	4	6	2	6	5	10	2	4	56	3	7	25	4	1	1	4	3	24	1	1	7	2	2	12	1	2	0	2	4	0	0	2	0	0	0	1	1	3	4	3	0	5	1	1	1	2	0	21	0	0	4	1	0	0	1	0	1	0	0	0	1	0	2	1	0	0	1	1	0	3	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
