label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233
0.03	north1_all	80	31786	9967	5309	7275	4492	5021	3371	1880	1604	2039	1095	1197	1043	1160	1545	934	963	1056	1107	610	695	424	446	544	320	289	506	350	326	241	391	303	261	198	185	149	200	157	253	248	190	182	196	112	89	143	83	94	57	124	86	78	53	151	93	65	70	47	77	42	48	106	69	34	37	37	35	29	26	32	32	20	24	33	17	31	19	20	21	14	34	33	20	31	24	17	23	6	19	14	7	18	9	9	10	12	6	5	13	4	5	12	5	5	5	6	12	12	4	9	3	4	5	5	10	2	6	9	5	3	5	5	6	3	7	5	4	1	2	0	0	3	0	1	1	3	1	0	1	2	1	3	1	0	2	3	1	3	1	0	1	2	2	0	1	1	0	2	1	1	0	0	0	0	1	0	2	1	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north1_active	80	19112	5035	2366	4370	2548	3063	1948	925	809	1171	527	605	487	636	943	514	554	643	670	315	382	189	237	322	149	131	288	209	184	107	233	152	166	84	107	66	107	71	153	156	108	102	122	58	46	71	41	54	31	75	48	36	27	88	50	33	42	17	48	21	28	73	35	16	17	25	19	15	11	11	15	9	11	10	8	19	5	7	13	7	20	21	6	21	17	9	18	2	7	10	0	9	2	3	4	8	4	1	4	1	4	7	2	3	0	3	6	1	3	5	2	3	2	1	10	1	5	5	5	1	3	3	1	1	6	2	2	0	0	0	0	1	0	0	0	3	0	0	1	2	1	1	0	0	1	2	1	1	1	0	0	2	2	0	1	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	32506	10080	5385	7646	4607	5119	3489	1846	1595	2127	1135	1216	1083	1180	1528	970	1026	1150	1090	633	677	411	460	509	341	304	528	373	330	254	404	323	265	216	205	158	192	162	249	230	186	181	198	123	90	141	82	89	66	129	95	75	59	154	82	66	69	49	77	40	50	94	84	37	43	35	27	42	22	35	32	26	16	36	20	30	24	20	15	15	31	35	21	26	34	21	19	11	17	13	8	22	8	6	13	15	7	4	10	8	3	8	7	7	8	8	10	10	6	7	7	5	8	3	20	0	3	12	4	7	4	5	4	4	5	4	3	1	2	2	0	3	1	5	2	3	0	0	1	1	3	3	0	0	1	2	1	1	1	1	1	2	1	1	1	1	0	2	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	19607	5112	2407	4645	2610	3141	1979	920	773	1227	514	610	520	637	942	562	602	721	676	349	370	193	245	294	165	147	326	232	172	119	234	171	166	94	120	74	94	79	157	140	110	98	137	66	48	62	41	47	33	81	56	36	27	93	41	36	39	16	46	25	32	61	44	14	22	24	14	20	8	15	19	11	8	18	5	19	7	6	10	9	20	24	7	19	29	14	15	7	5	10	1	12	3	3	4	11	3	2	5	3	3	4	2	4	2	4	6	1	3	2	2	3	3	1	17	0	2	9	4	4	2	3	1	2	5	2	2	0	0	2	0	1	1	4	1	3	0	0	1	1	2	1	0	0	0	2	1	0	1	1	0	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	34001	10431	5467	8057	4772	5429	3623	1876	1639	2151	1192	1252	1156	1280	1645	992	1068	1240	1076	666	699	373	496	535	347	307	562	375	297	258	410	313	289	205	225	178	192	162	235	257	191	196	206	126	80	135	85	94	71	142	107	68	79	135	87	69	72	44	71	34	49	81	77	44	43	28	24	39	31	32	52	27	18	35	23	24	27	17	14	15	29	22	16	29	29	25	11	17	10	16	13	26	11	21	16	15	9	4	7	9	6	9	8	8	9	5	5	5	7	10	10	13	9	4	26	0	4	9	4	8	3	5	4	4	6	1	2	2	3	2	0	3	2	5	1	2	0	2	1	1	2	3	0	0	2	1	0	2	0	1	0	2	1	1	2	2	1	1	0	0	0	1	1	0	1	1	0	2	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north3_active	80	20696	5356	2456	4952	2728	3279	2091	980	787	1208	562	640	597	703	987	575	634	789	666	369	405	173	259	321	165	145	354	210	150	122	227	177	175	100	132	92	90	86	146	158	115	100	142	66	36	63	44	52	34	90	64	36	40	83	44	44	43	14	42	18	32	53	51	22	21	18	10	18	14	13	33	11	9	19	7	16	7	6	10	12	17	13	6	15	27	18	7	11	1	9	3	16	4	9	6	12	4	3	4	4	5	6	2	4	3	4	3	2	4	6	3	10	4	1	14	0	3	7	4	5	1	2	1	2	5	1	2	1	2	2	0	2	2	4	1	2	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	2	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	35741	10743	5455	8344	5020	5690	3695	1954	1655	2260	1197	1281	1235	1367	1721	997	1134	1264	1108	705	718	367	505	574	368	309	588	378	311	257	384	307	304	225	249	177	182	156	280	248	197	192	186	122	88	125	85	83	83	145	103	57	88	108	103	74	72	46	81	37	49	91	88	37	43	26	27	45	29	27	65	29	15	34	24	26	27	10	16	18	23	24	13	32	26	24	10	18	17	14	14	24	12	20	24	22	10	5	4	12	11	10	8	8	6	13	4	3	9	9	8	18	9	2	25	3	2	11	3	9	1	4	2	2	3	2	1	1	4	3	2	4	3	5	1	0	0	2	1	1	3	2	0	0	2	0	0	2	0	1	0	2	1	1	4	1	1	0	1	2	0	2	1	0	1	3	0	3	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0
0.03	north4_active	80	21915	5629	2491	5200	2890	3472	2165	1041	815	1262	577	661	665	789	1087	593	677	809	722	406	430	167	273	338	184	149	382	201	167	129	218	173	163	115	149	93	81	91	165	160	116	114	122	66	39	63	42	47	43	98	66	34	43	64	51	49	40	18	56	16	30	55	65	20	18	19	13	23	12	11	46	13	8	22	6	15	11	5	9	11	13	15	6	19	24	18	3	12	10	6	5	12	6	9	12	19	4	4	2	5	8	4	3	5	3	7	3	2	5	6	2	12	5	0	13	1	2	11	1	6	0	1	1	2	0	1	1	1	3	3	1	4	2	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	1	1	3	1	0	0	1	2	0	1	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	36834	11112	5530	8493	5206	5949	3801	2006	1692	2299	1209	1352	1235	1436	1833	979	1195	1298	1251	752	750	368	512	600	354	315	553	367	324	256	406	313	316	235	257	162	179	172	325	249	191	191	195	138	94	138	83	79	80	143	121	58	83	125	114	77	61	47	87	35	59	98	126	45	39	25	31	39	29	27	59	22	15	31	21	31	26	11	17	20	22	32	12	43	15	17	17	21	16	17	13	20	12	30	27	30	7	3	4	11	14	9	7	9	3	11	5	5	9	13	10	16	6	6	14	4	2	15	4	3	4	3	1	3	3	2	1	1	3	1	4	4	3	2	1	1	0	2	2	3	2	2	0	0	4	0	2	1	1	0	0	0	1	0	4	1	2	1	1	2	0	2	0	0	1	2	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	22800	5955	2507	5332	3088	3708	2222	1063	843	1313	608	716	674	830	1134	575	721	828	780	432	464	166	290	348	166	148	348	194	178	124	250	187	175	136	144	87	87	95	182	154	113	114	126	78	43	72	41	46	44	96	83	31	46	83	60	44	35	22	52	14	36	58	67	22	15	16	13	15	11	13	36	11	6	21	8	18	11	5	7	11	13	18	7	26	13	12	10	15	11	7	5	8	6	13	15	24	3	2	2	4	11	4	4	5	2	6	3	5	5	10	3	12	3	4	3	1	1	15	1	2	3	1	1	1	0	0	1	1	3	1	2	4	2	2	1	1	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	1	2	0	1	0	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
