label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232
0.03	north1_all	80	47456	17013	6472	7922	3470	2897	2535	1919	1934	1622	1523	2105	1105	1253	1154	1848	1063	939	1102	586	681	509	997	487	361	326	390	509	389	403	325	350	218	291	272	308	351	204	286	198	140	218	169	143	115	108	177	98	73	80	77	63	101	63	81	76	74	62	57	60	44	87	45	158	49	39	34	33	34	28	33	56	65	41	34	28	37	78	18	21	25	13	42	12	19	14	15	24	9	13	24	12	10	10	12	8	4	8	12	11	16	12	6	5	8	7	5	7	9	10	7	16	10	1	9	3	4	3	4	7	6	2	13	4	4	2	7	2	4	3	3	10	2	5	0	5	6	1	1	2	1	0	0	1	0	0	0	4	0	3	0	1	0	0	0	1	5	0	1	3	0	0	1	0	2	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	40856	13074	1472	6153	830	846	960	468	933	708	763	1640	487	763	688	1588	753	643	894	241	437	237	840	285	144	72	229	403	263	275	210	262	99	197	183	240	282	134	227	96	35	166	108	93	34	74	155	33	17	26	39	30	60	14	35	42	29	19	33	43	18	73	17	144	22	10	19	22	14	8	12	46	48	36	6	7	28	71	3	8	16	3	37	0	9	4	10	15	8	6	20	8	1	5	1	2	1	0	5	9	13	9	2	2	7	7	2	0	5	5	1	13	7	0	2	0	4	1	3	2	1	1	12	1	1	2	7	2	2	3	1	8	2	2	0	5	2	1	0	2	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	5	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	47783	16882	6383	8111	3450	2888	2507	1906	1901	1640	1535	2184	1076	1221	1153	1823	1001	905	1136	601	660	489	897	484	373	335	362	454	399	400	341	330	252	310	264	325	334	207	288	196	139	221	152	128	110	128	171	93	70	76	81	65	100	65	72	73	76	67	59	68	50	86	44	113	49	34	34	27	34	28	37	56	52	40	33	22	34	75	17	21	22	16	44	14	18	11	8	27	8	10	21	13	13	10	10	10	7	8	12	10	16	11	8	9	6	4	4	3	5	10	7	10	8	6	9	4	4	2	5	5	6	3	11	2	5	9	6	1	3	0	3	13	2	4	1	6	5	2	4	2	1	1	0	1	0	0	0	3	0	4	0	1	0	1	0	1	3	2	1	3	0	0	2	0	1	1	0	0	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	41192	12960	1422	6329	786	871	938	457	917	735	809	1726	472	742	704	1555	719	623	954	240	430	229	757	280	164	71	211	357	280	281	222	229	107	219	162	253	275	132	233	99	33	166	101	85	37	86	150	30	21	27	44	36	62	10	31	42	33	22	36	43	19	76	14	103	22	8	15	20	13	9	16	46	39	35	9	7	28	65	5	8	12	3	39	1	5	2	4	18	4	5	18	10	2	4	1	3	0	1	5	8	15	9	4	3	4	3	1	0	2	7	1	7	6	4	3	1	4	1	2	1	1	1	11	0	2	9	5	1	1	0	1	10	2	2	0	6	2	2	4	2	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	1	3	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	47701	16693	6327	8077	3526	2938	2502	1988	1956	1665	1498	2088	1134	1231	1134	1853	1009	896	1168	616	687	473	831	499	384	341	372	462	397	444	356	373	248	318	251	343	301	197	270	192	133	227	149	157	105	133	151	102	75	74	91	84	82	75	68	74	69	58	65	58	53	92	44	106	51	42	38	27	39	31	39	37	51	39	20	18	38	67	18	20	20	17	46	24	16	16	19	18	10	6	22	20	13	11	7	9	9	7	6	17	8	9	9	9	10	5	5	5	11	8	7	6	6	8	6	5	6	2	5	5	6	3	7	2	4	9	4	1	4	0	2	17	2	2	1	1	3	4	4	3	1	1	0	0	1	0	0	3	2	2	0	1	1	2	1	6	3	2	1	4	0	0	3	0	0	1	1	0	2	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	41198	12788	1392	6333	783	845	931	475	978	743	783	1642	487	736	653	1586	690	625	986	257	449	225	709	279	157	75	219	367	283	327	240	273	96	238	154	268	244	120	211	88	35	178	104	107	33	87	132	32	28	20	54	42	56	10	32	40	35	17	43	35	17	80	16	94	25	10	24	14	14	8	15	28	41	29	7	5	29	58	4	6	11	3	42	5	4	4	13	9	3	3	21	15	2	4	0	2	0	2	1	14	6	6	4	2	8	4	1	0	9	6	2	2	3	5	2	1	6	1	2	1	1	1	7	0	2	9	3	0	1	0	1	14	2	0	0	1	0	4	4	2	1	0	0	0	0	0	0	3	2	1	0	0	1	0	1	6	3	0	0	3	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	47911	16546	6324	8012	3537	2939	2484	2035	1991	1711	1518	2050	1157	1172	1098	1857	1042	945	1112	596	673	457	827	487	392	341	422	461	389	447	379	386	251	306	247	322	301	189	284	172	122	255	128	161	115	149	170	86	81	77	88	83	79	71	57	79	63	55	68	55	48	106	46	98	45	41	44	30	46	29	36	38	55	29	19	20	32	49	18	18	19	24	33	25	16	15	20	15	13	11	25	25	13	14	8	7	10	6	5	20	8	12	7	16	15	3	4	7	14	7	7	4	8	10	6	5	5	1	4	2	1	4	2	2	5	11	3	1	1	1	2	8	1	4	2	1	1	4	4	4	0	2	1	0	1	0	1	1	6	4	1	0	1	2	1	6	0	2	0	1	0	0	3	0	0	0	1	0	2	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north4_active	80	41470	12640	1374	6256	784	857	904	478	1003	775	760	1653	516	693	631	1587	706	684	893	256	440	208	679	271	168	72	257	372	272	324	271	268	97	228	149	245	249	110	223	86	40	194	88	115	38	93	143	21	27	22	54	41	59	7	26	41	26	16	48	32	13	92	15	89	23	10	31	19	17	7	12	32	46	19	6	5	25	39	3	9	10	6	31	6	3	4	16	8	4	4	24	21	3	7	2	3	0	3	1	17	6	9	4	4	13	2	2	2	12	5	3	2	4	7	2	1	5	0	1	0	1	2	2	1	3	11	1	0	0	0	1	7	0	1	1	1	0	4	4	2	0	1	1	0	0	0	0	1	2	3	0	0	1	0	1	6	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north5_all	80	47407	16381	6372	7883	3627	2924	2463	2043	2054	1693	1510	2139	1183	1149	1094	1882	1055	1016	1127	605	666	471	853	498	376	336	433	500	413	463	410	383	244	290	229	294	293	202	304	160	129	280	131	176	116	146	175	81	88	70	92	77	88	58	63	86	56	62	71	53	49	85	47	82	42	48	56	39	42	26	34	36	55	45	19	26	34	44	21	17	17	30	36	30	10	22	19	12	9	22	14	27	11	15	10	10	6	11	6	25	8	10	7	13	16	5	6	5	13	5	6	4	9	8	4	5	5	0	2	3	5	4	2	5	5	10	3	1	1	1	2	5	1	4	1	2	1	8	0	5	0	2	1	0	1	0	2	0	6	2	1	0	1	1	2	5	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north5_active	80	40998	12376	1413	6111	800	808	925	483	1033	737	747	1733	540	673	627	1635	691	754	905	242	419	202	700	277	153	80	274	414	281	336	298	257	90	204	148	212	237	113	241	77	48	214	80	124	35	92	150	22	26	19	56	38	65	6	29	44	28	14	51	34	14	68	16	71	22	9	44	20	19	3	10	27	45	34	4	7	26	31	6	11	9	13	31	8	3	7	14	4	3	11	13	23	2	8	2	5	0	6	3	22	5	7	4	3	13	3	2	2	12	4	3	2	5	3	1	1	5	0	1	1	5	2	2	3	3	10	2	0	0	0	1	5	0	1	1	1	0	4	0	2	0	1	1	0	0	0	0	0	2	2	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
