label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286
0.03	north1_all	80	35321	9290	12995	4816	5042	3309	2412	1967	2410	1720	2331	2999	1842	1240	2051	1477	824	667	707	826	1215	1268	474	410	400	542	597	283	356	320	289	300	261	240	333	408	171	427	150	465	170	190	228	123	130	188	136	183	165	111	135	116	87	191	157	80	66	133	216	82	51	63	54	62	70	73	65	125	93	48	49	42	35	50	86	34	55	30	46	21	58	40	37	62	26	26	31	27	31	34	27	54	33	31	33	31	15	34	15	15	20	21	23	10	18	40	9	20	15	23	24	9	8	11	12	10	5	28	18	16	6	6	8	7	5	10	11	2	5	8	6	5	9	2	2	6	8	2	2	5	0	4	8	2	4	3	1	2	4	4	5	7	2	6	11	1	0	2	0	2	5	0	2	2	1	0	6	8	1	1	1	2	14	6	0	1	3	1	1	1	2	0	1	3	1	2	0	0	0	2	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	3	0	0	1	0	0	0	0	1	5	2	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north1_active	80	28311	2121	10944	2360	3563	1780	912	623	1650	860	1842	2599	1475	748	1737	1214	456	171	344	537	1055	1105	142	86	116	371	470	125	139	148	90	125	103	90	252	329	52	370	51	402	32	88	159	59	28	120	30	140	114	45	68	61	30	169	127	38	25	119	191	42	16	38	8	31	37	49	44	108	74	16	19	22	12	30	65	12	46	9	38	6	51	26	25	52	15	7	24	18	10	26	17	46	27	16	31	30	9	29	1	10	16	16	16	3	6	39	4	5	11	20	23	4	2	7	5	6	3	22	14	13	0	6	8	3	1	4	9	0	2	3	1	4	4	1	0	6	2	1	0	1	0	3	6	1	1	2	1	0	1	3	4	6	2	5	9	0	0	0	0	0	1	0	1	1	1	0	6	7	0	1	0	1	6	6	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	37236	9304	13480	4955	5243	3325	2439	1922	2442	1788	2350	3172	1907	1230	2138	1626	855	650	698	816	1303	1278	474	416	361	543	683	322	363	342	266	302	271	234	319	412	166	451	172	509	160	196	244	139	124	191	130	201	181	101	147	152	93	205	161	63	67	166	213	89	59	86	44	52	68	75	57	101	103	49	63	49	26	56	94	39	71	32	54	25	61	37	36	51	35	27	53	32	30	39	34	28	41	30	35	18	14	31	12	15	21	23	20	13	10	35	6	13	12	17	28	10	7	7	9	18	7	15	22	12	6	8	8	8	5	9	11	3	5	8	7	4	7	1	5	1	7	5	0	2	0	2	7	5	4	3	1	1	2	2	6	5	3	6	11	1	0	0	1	2	2	0	1	3	0	2	6	1	2	3	0	1	7	2	1	0	3	0	1	1	1	0	0	3	0	2	0	0	0	2	0	0	3	0	0	1	1	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	1	1	5	4	0	0	1	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	30350	2196	11563	2440	3818	1811	968	641	1683	943	1852	2809	1545	776	1837	1359	473	176	364	554	1148	1132	153	94	116	381	570	140	159	163	83	134	115	95	246	335	52	397	50	458	31	92	177	70	35	136	34	163	139	36	83	91	35	187	138	28	30	158	193	52	13	54	8	27	34	47	38	89	78	18	23	29	11	37	71	12	59	9	43	9	54	27	24	43	23	7	44	25	8	28	19	24	31	18	31	16	9	26	2	7	18	20	13	5	4	32	3	3	8	15	26	3	3	4	5	12	4	11	18	8	0	7	6	4	2	6	10	2	2	2	1	3	3	0	0	1	2	2	0	1	0	1	6	4	1	2	1	0	1	1	5	5	3	5	9	0	0	0	1	0	1	0	1	1	0	2	6	1	1	3	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	4	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	37838	9172	13592	4945	5358	3323	2388	1937	2550	1839	2533	3099	2042	1205	2202	1673	845	657	751	800	1267	1277	473	434	376	573	733	353	355	333	249	319	272	215	341	412	172	469	182	525	153	187	265	158	113	208	128	195	183	97	159	152	98	165	151	70	82	193	185	105	62	100	48	55	72	82	63	101	93	49	63	54	33	59	69	45	57	34	64	26	57	44	39	59	37	21	53	34	21	42	39	35	33	24	35	19	13	22	16	18	28	26	18	7	5	25	7	17	6	12	15	11	4	4	7	16	6	12	19	20	5	7	8	9	4	5	9	4	6	6	7	5	3	5	6	3	5	4	1	3	7	2	6	5	7	3	1	1	2	2	3	6	9	8	9	0	1	1	3	2	5	0	3	2	0	3	1	0	1	2	0	0	1	1	2	1	2	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	3	0	0	1	2	0	0	0	0	0	0	1	1	2	1	0	1	0	0	0	2	1	4	4	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	31149	2218	11661	2451	3935	1893	984	686	1792	1020	2027	2737	1652	766	1956	1404	448	179	378	552	1115	1136	165	90	120	414	622	144	171	156	64	165	123	99	266	341	48	416	59	473	25	89	198	81	30	158	38	157	140	33	104	90	34	142	127	33	36	178	162	66	11	64	11	23	42	55	42	85	71	18	26	33	16	41	49	16	41	6	56	8	49	32	24	55	23	8	42	27	2	31	24	32	23	16	31	17	7	20	5	9	25	24	15	3	1	21	5	4	4	10	11	4	1	2	3	10	3	9	16	11	1	6	6	4	2	5	9	2	4	1	2	3	1	3	0	1	0	1	0	1	6	1	4	4	3	3	1	0	1	1	2	5	9	6	8	0	0	1	3	0	0	0	3	1	0	3	1	0	1	2	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	4	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
0.03	north4_all	80	37595	9179	13839	4893	5372	3313	2376	1951	2529	1931	2565	3131	2007	1252	2122	1642	856	658	726	826	1322	1387	457	434	375	644	700	370	342	326	250	308	267	244	356	449	186	540	185	488	158	168	226	165	119	214	129	201	155	95	151	139	96	156	137	73	81	272	161	99	61	99	46	50	69	92	71	117	101	46	58	55	38	43	71	47	80	31	71	36	61	37	70	56	35	18	53	29	15	42	35	38	28	30	28	18	19	22	15	30	24	21	17	5	3	54	8	12	6	6	16	8	3	6	7	24	9	11	15	15	4	9	9	6	3	5	2	5	5	5	7	18	3	4	7	4	5	5	3	1	8	3	5	4	6	17	1	0	1	1	4	2	8	7	2	0	1	2	3	1	4	0	3	5	7	4	0	2	1	2	0	0	4	1	2	3	2	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	1	0	4	0	0	1	0	0	1	3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	30943	2227	11943	2466	3896	1867	967	705	1727	1084	2065	2782	1613	792	1886	1350	454	173	391	557	1173	1254	160	93	119	495	579	145	161	157	74	154	134	125	283	381	52	482	61	429	21	79	167	88	25	161	36	151	120	32	108	86	35	133	116	31	33	253	133	65	7	71	11	24	36	56	50	103	79	16	23	27	11	28	53	15	60	5	62	14	52	23	31	50	18	7	41	21	1	34	25	34	21	22	22	16	9	22	6	21	20	20	16	2	1	46	5	3	4	4	11	2	2	3	3	21	3	7	13	8	1	5	5	1	1	4	2	4	3	1	2	17	0	3	2	2	1	2	0	0	6	2	3	4	3	16	0	0	0	1	2	0	8	5	2	0	0	1	3	0	0	0	3	4	7	4	0	0	1	2	0	0	4	0	2	2	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0
0.03	north5_all	80	37475	9028	13671	4849	5361	3261	2384	2028	2638	1883	2632	3093	2089	1252	2100	1667	855	670	683	838	1417	1389	482	442	393	668	752	372	315	301	287	317	246	266	356	443	198	516	174	410	161	151	228	159	108	210	123	168	154	101	158	126	93	161	151	81	76	272	117	105	60	88	49	63	77	95	71	147	99	35	41	58	45	44	61	44	59	25	58	39	52	37	81	67	40	16	53	26	17	43	33	45	27	30	41	15	18	19	20	25	22	23	22	7	5	43	11	10	10	6	14	11	5	7	6	21	9	13	10	9	8	11	9	5	6	3	2	7	5	5	5	19	2	4	7	4	5	3	3	1	10	5	3	1	6	16	2	0	1	2	3	5	12	9	2	0	2	2	2	0	5	0	2	5	10	9	0	2	1	4	0	1	6	1	1	3	2	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	3	1	0	1	0	0	1	3	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
0.03	north5_active	80	30848	2182	11749	2433	3876	1862	981	741	1822	1075	2148	2713	1670	784	1854	1388	456	169	353	581	1260	1242	168	85	124	496	605	137	146	153	96	153	130	122	285	379	53	448	65	354	24	75	158	79	21	165	38	116	110	34	104	76	31	138	127	35	33	249	86	64	4	67	10	31	49	59	49	135	73	11	15	28	10	29	45	18	43	5	53	16	43	28	38	61	24	8	41	18	4	36	24	39	23	25	33	13	9	18	7	20	16	18	19	2	1	36	6	3	7	6	11	3	3	5	2	19	4	8	9	4	3	4	7	1	2	2	1	4	2	2	2	17	0	3	4	2	1	2	0	0	6	3	2	1	3	15	0	0	0	2	0	3	11	7	2	0	0	1	2	0	1	0	2	4	10	9	0	0	0	4	0	0	4	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
