label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287	Otu288	Otu289	Otu290	Otu291	Otu292	Otu293	Otu294	Otu295	Otu296	Otu297	Otu298	Otu299	Otu300	Otu301	Otu302	Otu303	Otu304	Otu305	Otu306	Otu307	Otu308	Otu309	Otu310	Otu311	Otu312	Otu313	Otu314	Otu315	Otu316	Otu317	Otu318	Otu319	Otu320	Otu321	Otu322	Otu323	Otu324
0.03	north1_all	80	10652	3071	2159	2606	852	1391	1248	503	451	653	590	307	753	296	328	247	232	202	301	354	337	165	296	114	135	122	113	116	88	117	90	114	95	170	81	78	102	63	76	155	72	56	46	53	153	62	71	45	44	31	75	62	93	32	65	39	39	74	21	27	65	13	22	28	29	19	21	34	53	27	13	38	24	40	8	36	16	11	10	12	9	17	27	11	7	11	8	15	8	41	10	7	5	9	10	10	23	6	9	4	11	4	9	5	4	5	10	3	11	8	6	29	0	7	27	5	3	9	8	6	10	3	2	5	2	5	6	1	3	7	1	3	1	15	3	4	2	5	5	2	2	2	1	0	2	1	2	3	10	2	7	2	5	0	2	1	1	6	1	1	4	1	2	5	1	0	0	2	1	1	2	2	0	1	0	0	2	1	0	2	2	3	4	0	2	0	1	2	0	0	2	0	0	2	1	1	0	0	1	1	1	0	0	0	0	4	0	3	5	0	0	0	2	1	0	0	6	0	0	0	2	1	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
0.03	north1_active	80	8908	1965	1430	2240	248	1121	1001	155	211	494	435	113	645	121	204	118	123	98	227	297	275	66	245	41	60	64	29	65	30	75	19	63	42	141	41	17	66	19	43	134	48	26	8	12	141	43	57	24	18	8	62	47	73	14	53	26	18	60	4	10	56	3	6	19	14	12	15	22	48	19	8	35	17	35	3	31	7	5	3	6	4	4	23	6	4	6	2	5	5	39	7	2	1	3	5	1	20	3	5	2	7	2	4	2	1	2	9	2	10	6	4	26	0	4	25	1	1	4	7	2	5	3	0	2	0	2	1	0	2	2	0	1	1	14	1	0	1	3	0	1	1	2	0	0	2	1	1	2	8	0	4	0	3	0	0	1	0	6	0	0	3	0	1	5	0	0	0	1	1	0	1	2	0	1	0	0	2	1	0	0	2	2	3	0	2	0	0	2	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	3	0	2	5	0	0	0	0	1	0	0	5	0	0	0	2	0	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north2_all	80	10608	3144	2080	2638	851	1436	1223	536	452	655	599	303	767	299	310	242	229	188	320	378	321	166	276	138	131	123	104	115	90	110	92	121	91	217	75	70	101	61	77	148	74	53	52	38	164	70	73	57	40	36	100	78	98	41	63	34	34	79	22	18	62	16	22	22	27	22	19	19	56	24	15	43	21	37	9	40	14	14	13	14	9	17	24	11	9	11	7	15	14	45	12	4	3	8	8	11	19	6	6	2	9	3	8	7	3	5	11	6	9	8	7	28	1	6	31	4	6	9	8	5	8	1	2	5	2	2	5	1	4	6	1	4	1	13	3	4	1	2	3	0	3	4	1	0	2	1	2	2	10	2	2	2	5	0	2	3	1	9	0	1	5	0	1	3	2	0	1	2	2	0	1	0	0	1	1	0	2	2	0	1	0	3	3	1	1	0	0	2	0	0	1	0	0	1	0	1	1	0	1	3	1	0	0	0	0	1	1	2	5	1	0	1	2	1	1	0	5	0	0	0	2	1	0	0	0	0	4	1	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_active	80	8882	2023	1394	2264	241	1170	991	170	212	501	434	114	673	129	190	113	125	87	245	317	260	70	228	57	55	67	34	74	31	64	18	61	44	186	38	19	58	13	45	128	53	26	8	10	150	44	65	34	14	11	91	61	79	23	50	24	18	64	5	6	53	5	7	14	12	12	12	14	50	15	8	39	14	34	4	33	6	7	2	10	4	4	20	5	6	7	3	4	8	41	8	1	1	2	4	1	15	1	2	0	5	2	3	1	1	2	9	4	8	7	5	26	0	3	31	1	2	4	7	2	7	1	0	2	0	2	1	0	3	2	0	1	1	12	1	0	1	1	0	0	2	3	0	0	1	1	1	2	8	0	2	0	3	0	0	3	0	7	0	0	2	0	0	2	0	0	0	1	2	0	0	0	0	1	1	0	2	1	0	0	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	1	1	5	1	0	0	0	1	0	0	4	0	0	0	2	0	0	0	0	0	4	1	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north3_all	80	10539	3184	2050	2648	833	1403	1196	539	449	643	618	315	794	304	299	239	239	187	321	334	359	145	273	148	126	137	96	111	92	106	89	119	86	219	79	75	90	61	75	180	75	58	58	38	137	56	77	56	44	41	85	80	88	39	68	37	41	57	26	21	71	19	16	24	32	30	23	18	70	27	13	42	20	31	10	26	17	20	13	13	13	15	24	11	9	17	6	14	18	29	12	6	4	8	8	12	18	6	7	5	11	8	10	9	4	4	12	6	13	9	8	25	2	3	26	8	7	15	9	3	12	2	4	8	4	2	6	3	4	3	1	3	2	6	2	4	2	1	2	0	3	5	2	1	2	4	2	1	9	3	3	2	3	0	2	3	1	9	0	0	5	0	0	3	3	2	2	1	2	0	0	0	0	2	1	0	1	2	0	0	0	6	3	2	0	0	0	0	3	0	2	1	0	1	0	1	1	0	0	22	0	1	0	0	0	1	1	1	5	1	0	1	2	1	1	0	5	0	0	1	2	1	0	0	0	0	3	1	0	0	0	5	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
0.03	north3_active	80	8837	2045	1403	2277	253	1139	961	185	200	498	434	135	702	141	186	122	131	77	248	280	306	53	218	63	48	69	28	73	29	59	20	64	35	182	39	20	47	13	50	154	48	30	15	11	121	34	65	32	17	10	76	65	75	20	56	25	22	46	13	6	60	5	4	16	18	20	13	11	62	15	5	36	13	28	6	18	8	11	2	9	8	4	22	5	5	8	3	3	9	25	6	2	2	2	4	1	15	0	4	0	7	4	2	1	1	2	7	4	12	6	6	24	0	1	26	4	2	8	8	2	12	0	1	5	2	1	2	2	4	1	0	2	1	6	1	1	1	1	0	0	2	4	1	0	1	4	0	0	8	1	3	0	1	0	1	3	0	7	0	0	3	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	5	3	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	22	0	1	0	0	0	1	1	0	5	1	0	0	0	1	0	0	4	0	0	1	2	0	0	0	0	0	3	1	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north4_all	80	10435	3185	1960	2586	855	1390	1193	553	453	670	605	292	791	292	290	252	226	174	345	343	356	129	331	152	112	136	97	130	92	124	93	109	72	209	88	67	96	61	79	183	74	57	56	38	142	63	97	59	36	43	91	85	76	43	62	31	48	55	31	19	70	23	18	28	34	30	34	17	49	18	17	45	14	30	10	21	17	19	14	15	12	11	38	11	12	15	6	9	18	40	15	8	7	7	9	13	12	7	9	7	8	7	8	8	3	6	12	6	11	7	4	20	3	5	30	9	7	16	3	1	15	3	4	6	3	2	8	5	5	2	2	4	3	4	5	3	3	0	2	0	2	5	4	1	1	5	2	2	3	2	2	1	3	3	3	3	1	5	0	1	3	0	1	4	2	2	2	2	3	1	0	1	0	2	2	0	0	2	1	1	0	3	2	2	0	0	0	1	3	0	2	1	1	1	0	1	1	0	2	22	1	2	0	0	1	1	1	0	0	1	0	1	0	0	1	0	9	0	0	1	0	0	0	0	0	0	3	1	0	0	0	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north4_active	80	8753	2047	1321	2191	246	1142	974	181	196	523	419	121	688	143	182	123	123	66	265	289	309	44	259	66	49	68	32	88	28	77	26	60	32	178	42	16	56	17	56	151	49	34	15	11	129	42	79	38	11	13	83	75	64	22	50	23	28	49	16	2	58	7	6	18	20	18	18	11	41	9	7	39	6	26	5	13	6	8	3	11	7	4	36	2	5	6	4	1	8	37	8	3	2	1	5	1	9	0	5	0	5	3	2	1	2	3	6	3	10	4	3	20	1	2	28	5	2	10	2	1	14	0	1	3	2	0	6	4	4	0	0	2	2	4	2	1	2	0	1	0	1	2	1	0	0	5	1	0	2	1	2	0	2	0	2	3	0	3	0	1	1	0	1	1	0	0	0	0	3	0	0	1	0	0	2	0	0	1	1	0	0	3	2	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	22	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	3	1	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north5_all	80	10415	3145	2011	2575	832	1301	1134	572	459	666	605	303	747	276	284	283	247	190	350	337	387	136	350	135	109	128	112	125	84	123	93	98	85	176	99	69	92	59	68	157	76	64	54	37	138	71	85	52	35	44	99	89	85	42	64	32	51	45	34	22	70	25	18	25	29	33	34	20	65	17	16	49	20	22	9	24	16	20	18	10	15	9	39	16	13	22	9	12	22	35	12	11	9	10	7	16	9	8	8	9	10	7	8	6	3	4	15	5	10	8	5	26	4	3	33	9	4	11	4	3	14	3	6	5	6	2	9	6	3	2	3	3	4	7	5	5	3	2	1	0	1	5	4	2	0	6	3	3	4	3	1	0	4	3	2	0	2	1	1	1	1	2	2	3	1	2	1	1	2	1	0	1	0	2	1	0	1	1	1	1	0	4	2	2	1	0	0	1	3	0	2	1	1	1	1	0	0	3	2	22	1	3	0	0	1	0	0	2	0	2	0	0	2	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north5_active	80	8749	2045	1342	2191	264	1049	903	187	205	518	416	119	642	140	174	146	137	75	277	283	340	45	279	56	41	58	33	85	25	79	24	62	43	146	50	19	57	20	45	127	47	36	12	11	123	47	64	34	9	10	91	78	73	23	53	23	33	40	20	2	61	9	6	15	20	22	18	11	59	8	7	44	8	18	2	17	6	10	6	8	6	5	37	4	6	14	3	2	7	32	7	4	3	3	5	3	8	0	5	1	7	3	1	2	2	2	6	0	10	5	4	25	2	1	31	5	0	8	3	1	13	0	2	3	6	0	7	5	2	0	0	1	3	6	1	2	2	0	1	0	1	1	1	0	0	6	2	1	4	2	1	0	2	0	2	0	1	1	0	1	1	2	1	1	0	0	0	0	2	0	0	1	0	0	1	0	1	1	1	0	0	3	2	0	1	0	0	0	3	0	0	1	0	1	0	0	0	2	0	22	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
