label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287	Otu288	Otu289	Otu290	Otu291	Otu292	Otu293	Otu294	Otu295	Otu296	Otu297	Otu298	Otu299	Otu300	Otu301	Otu302	Otu303	Otu304	Otu305	Otu306	Otu307	Otu308	Otu309	Otu310	Otu311	Otu312	Otu313	Otu314	Otu315	Otu316	Otu317	Otu318	Otu319	Otu320	Otu321	Otu322	Otu323	Otu324	Otu325	Otu326	Otu327	Otu328	Otu329	Otu330	Otu331	Otu332	Otu333	Otu334	Otu335	Otu336	Otu337	Otu338	Otu339	Otu340	Otu341	Otu342	Otu343	Otu344	Otu345	Otu346	Otu347	Otu348	Otu349	Otu350	Otu351	Otu352	Otu353	Otu354	Otu355	Otu356	Otu357	Otu358	Otu359	Otu360	Otu361	Otu362	Otu363	Otu364	Otu365	Otu366	Otu367	Otu368	Otu369	Otu370	Otu371	Otu372	Otu373	Otu374	Otu375	Otu376	Otu377	Otu378	Otu379	Otu380	Otu381	Otu382	Otu383	Otu384	Otu385	Otu386	Otu387	Otu388	Otu389	Otu390	Otu391	Otu392	Otu393	Otu394	Otu395	Otu396	Otu397	Otu398	Otu399	Otu400	Otu401	Otu402	Otu403	Otu404	Otu405	Otu406	Otu407	Otu408	Otu409	Otu410	Otu411	Otu412	Otu413	Otu414	Otu415	Otu416	Otu417	Otu418	Otu419	Otu420	Otu421	Otu422	Otu423	Otu424	Otu425	Otu426	Otu427	Otu428	Otu429	Otu430	Otu431	Otu432	Otu433	Otu434	Otu435	Otu436	Otu437	Otu438	Otu439	Otu440	Otu441	Otu442	Otu443	Otu444	Otu445	Otu446	Otu447	Otu448	Otu449	Otu450	Otu451
0.03	north1_all	80	16514	10605	5698	4106	3077	3225	2641	2871	2101	1727	1888	1413	1123	1634	862	1153	1162	1107	969	883	1094	833	906	488	675	486	441	825	365	717	643	813	442	343	340	272	286	276	555	258	530	384	320	443	401	188	265	241	159	233	204	186	139	208	223	196	223	209	227	207	166	155	161	115	212	170	113	128	135	156	105	86	99	78	69	71	171	69	166	66	61	69	66	79	79	69	80	32	55	61	57	60	43	57	34	65	81	30	39	74	87	33	31	33	38	44	61	37	28	42	36	24	29	30	52	31	32	40	22	19	22	40	29	39	27	15	27	37	20	33	47	25	35	22	21	13	14	26	10	14	24	22	12	19	16	16	15	16	38	20	18	10	23	13	8	22	10	16	13	20	9	7	18	36	10	8	9	5	10	14	10	7	17	9	7	12	8	10	10	5	7	9	13	10	6	4	4	14	11	5	10	5	7	6	9	4	6	7	11	4	0	1	13	7	4	5	11	7	8	6	10	6	3	3	8	4	1	4	3	1	2	2	5	7	14	11	6	7	2	0	5	5	3	0	1	6	6	7	1	2	3	3	1	4	5	4	1	4	4	0	0	2	2	0	0	2	3	0	6	0	2	2	1	1	1	2	3	3	2	2	2	2	1	1	1	5	1	1	2	1	0	1	3	0	1	0	5	1	0	2	2	0	0	1	8	1	0	1	2	0	0	0	1	1	2	0	0	0	2	0	0	1	1	2	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	7523	5659	2659	1912	1414	1703	1350	1600	1069	855	1053	744	541	931	378	603	667	656	530	522	613	497	535	220	379	237	184	501	151	405	391	574	253	157	167	130	142	122	335	129	341	210	175	284	239	96	151	132	59	136	120	97	54	127	133	106	120	120	150	119	97	85	93	61	127	100	65	81	94	84	52	41	56	43	33	33	117	33	79	29	30	38	30	41	44	39	46	12	38	32	35	37	22	31	9	39	53	11	15	47	55	17	16	15	12	22	42	18	12	21	18	14	18	19	31	13	17	24	7	14	11	25	14	26	14	3	14	28	11	19	33	10	20	8	14	7	6	17	8	11	14	14	7	12	8	10	9	6	24	13	10	6	16	5	4	11	4	11	9	13	7	4	9	23	10	5	5	2	6	6	4	5	7	5	2	8	2	7	6	3	3	7	10	7	4	2	1	8	9	3	2	1	5	5	5	2	3	4	5	2	0	0	10	7	4	2	4	6	2	2	8	1	0	2	2	2	1	3	1	1	1	1	4	2	14	9	4	2	1	0	4	4	1	0	1	4	3	7	1	1	3	2	0	2	1	4	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	2	1	1	0	1	3	2	2	1	1	0	0	0	0	1	0	1	0	0	0	1	2	0	1	0	5	0	0	0	1	0	0	1	8	0	0	1	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	16667	10739	5761	4183	3196	3299	2792	2943	2160	1824	1953	1444	1129	1662	923	1205	1128	1107	1063	922	1141	862	949	525	686	508	439	867	357	769	641	827	473	352	327	305	304	270	525	247	524	363	327	436	445	211	292	255	164	211	216	196	158	243	249	187	223	225	259	207	175	149	176	121	204	160	118	132	143	159	92	78	85	76	78	73	175	82	166	66	59	78	68	69	98	66	77	37	61	59	58	66	38	60	38	105	72	42	47	64	91	33	39	34	40	53	71	39	29	42	36	23	30	30	40	24	37	44	28	27	24	34	21	47	27	15	30	39	24	32	63	25	40	17	20	13	19	19	13	15	21	20	15	20	14	17	16	17	35	29	19	9	21	11	10	21	9	18	13	21	18	10	12	30	6	7	8	7	15	16	11	5	17	10	8	9	6	8	8	4	9	10	6	11	6	15	4	13	9	4	13	5	6	6	7	5	6	8	7	5	0	1	10	7	4	10	23	10	8	4	6	8	3	3	11	5	1	4	5	1	2	7	4	5	8	8	3	7	3	1	7	3	7	0	3	6	3	3	1	3	1	1	2	3	2	4	1	3	4	2	0	2	3	1	0	1	3	2	6	0	3	2	0	2	2	3	0	2	4	2	3	4	0	1	1	4	0	1	0	2	0	1	1	0	1	0	5	1	0	0	1	0	0	1	1	1	1	2	0	0	0	2	1	1	2	2	0	0	0	0	1	2	1	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	7612	5805	2739	2001	1480	1736	1445	1713	1134	933	1079	736	549	966	411	657	614	646	581	549	675	502	544	237	399	257	183	518	153	471	391	584	273	162	177	148	154	117	315	122	336	195	195	289	268	106	185	143	69	118	141	102	61	134	156	103	117	133	173	118	96	80	110	63	126	78	65	73	92	88	46	36	47	38	33	31	125	43	84	31	30	41	35	37	64	41	40	19	42	32	37	43	21	33	11	68	42	16	23	42	61	19	24	16	14	31	52	24	12	28	16	13	20	17	25	11	20	25	10	16	10	21	12	31	15	5	17	26	15	17	41	9	22	7	12	8	9	12	8	10	12	9	6	14	9	14	10	9	28	20	9	4	12	4	6	13	5	12	10	8	13	6	3	15	6	4	4	4	9	10	3	4	6	5	4	5	1	7	6	3	6	8	6	8	5	5	2	6	7	3	3	2	5	6	3	2	3	3	5	2	0	0	8	7	4	9	16	9	2	3	3	2	0	2	2	5	1	3	2	1	1	2	3	1	8	5	2	2	2	0	6	2	5	0	1	4	2	1	1	1	1	0	0	1	0	4	1	1	0	0	0	0	1	1	0	0	1	2	1	0	1	2	0	0	1	1	0	1	3	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	5	0	0	0	1	0	0	1	1	0	0	2	0	0	0	2	1	0	0	2	0	0	0	0	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	16835	10936	5867	4226	3205	3347	2853	3016	2180	1828	1977	1480	1143	1744	950	1219	1182	1156	1041	940	1231	865	949	558	742	510	449	918	366	783	679	736	479	369	319	307	295	252	601	242	559	412	357	444	476	216	319	272	171	225	226	188	147	233	267	184	215	219	256	203	189	142	193	124	221	194	117	142	171	157	90	69	87	72	91	65	176	91	153	58	51	79	74	68	97	70	88	36	72	59	62	65	45	70	43	116	62	51	48	68	92	26	43	33	35	56	78	45	37	41	30	23	34	32	31	28	50	38	25	35	21	28	19	46	24	13	29	34	25	45	81	21	44	20	13	16	17	18	13	35	13	20	16	26	12	18	17	17	39	30	18	11	14	18	10	18	8	14	9	44	39	9	13	35	5	8	8	9	17	17	13	8	16	8	8	16	3	11	7	5	8	9	24	11	8	15	3	11	11	2	13	4	6	3	6	11	4	8	10	5	1	3	10	10	5	10	17	10	6	7	4	7	3	1	14	5	1	3	5	2	2	10	6	5	9	11	2	7	5	4	4	2	8	0	4	4	3	3	2	1	1	2	1	3	1	2	0	3	6	4	1	2	2	1	0	2	3	2	10	0	3	2	0	2	3	1	0	1	4	2	4	3	0	2	1	2	1	2	0	1	0	1	2	1	2	0	0	1	0	0	3	0	1	0	1	1	1	3	0	0	0	3	0	1	2	2	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	1	0	0	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north3_active	80	7652	5978	2777	2028	1472	1802	1490	1776	1145	946	1065	767	552	1026	434	679	654	682	552	562	724	482	523	260	424	258	189	575	158	490	416	488	277	182	179	153	148	104	371	123	350	245	228	289	283	100	205	159	87	130	142	98	56	132	171	101	115	140	167	107	110	79	125	68	135	98	64	74	115	93	47	36	52	37	39	30	132	46	79	27	28	43	38	32	67	47	45	15	51	32	36	40	24	35	17	77	35	23	19	50	65	16	26	16	15	32	54	28	13	29	10	10	21	20	19	10	18	21	9	20	9	17	12	31	10	6	17	25	13	27	43	7	25	10	9	9	9	10	7	15	8	11	6	18	8	14	11	7	28	25	8	4	6	10	7	11	3	8	6	15	31	6	4	21	5	6	4	5	9	10	4	7	4	5	4	3	1	9	4	4	6	7	23	10	6	5	2	6	9	2	3	2	5	3	3	7	2	4	8	3	0	1	7	7	5	9	15	9	1	3	2	2	0	1	3	5	1	2	2	1	1	4	4	1	8	7	0	2	3	2	3	1	8	0	2	0	1	1	1	0	1	1	0	1	0	1	0	2	2	1	0	0	1	1	0	1	3	2	2	0	1	2	0	0	3	0	0	1	3	2	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	3	0	0	0	2	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	16964	10965	5787	4287	3306	3421	2938	2981	2192	1786	1996	1434	1099	1706	974	1195	1192	1181	1010	937	1261	848	1002	530	725	532	445	912	384	758	666	770	451	346	308	308	298	254	535	223	580	423	371	410	391	215	309	259	180	253	252	177	157	222	277	188	229	238	292	224	202	128	218	123	230	173	121	140	166	141	87	70	87	68	86	58	150	82	157	65	55	86	80	78	86	71	102	45	76	58	53	55	52	68	47	129	66	61	44	63	70	30	38	40	41	48	83	48	34	44	27	24	29	24	42	26	50	28	35	42	20	34	18	38	23	15	30	32	20	43	56	19	48	24	15	17	19	23	12	37	15	17	20	29	10	13	13	32	55	31	20	13	18	15	8	20	9	13	6	45	48	14	12	36	10	6	7	10	14	12	14	10	17	6	11	26	0	17	5	5	10	7	25	10	7	15	4	8	13	1	10	4	4	3	7	11	4	11	5	3	3	4	5	8	5	10	18	6	7	7	3	8	4	1	11	4	2	3	4	2	2	17	5	2	4	5	5	1	5	4	4	1	7	4	7	4	1	3	3	1	1	3	3	0	0	2	0	2	3	6	1	2	2	1	1	1	2	2	8	0	3	1	0	3	3	1	0	1	2	2	3	3	0	2	1	1	1	2	0	2	0	2	1	1	1	0	0	0	0	6	3	0	1	0	1	0	1	2	0	0	0	3	0	1	4	2	2	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	1	0	0	1	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0
0.03	north4_active	80	7625	6012	2738	2061	1514	1818	1582	1745	1152	949	1057	736	531	1024	453	665	684	680	537	544	764	465	575	245	407	256	196	589	175	471	393	501	269	172	168	152	147	112	313	115	365	271	237	299	238	96	181	154	91	143	155	91	63	124	168	108	145	150	198	126	114	78	145	74	149	83	63	61	107	88	39	37	47	33	35	26	102	41	103	28	23	49	45	37	57	39	60	21	47	30	26	35	26	40	20	90	43	29	19	48	47	16	25	22	21	27	57	30	12	27	8	10	11	17	21	8	18	11	14	27	10	20	10	22	10	7	19	22	10	28	21	8	27	13	7	9	10	11	6	15	7	7	10	21	5	8	9	15	37	24	10	5	9	12	7	10	3	7	3	19	37	8	7	20	9	6	5	5	9	9	7	9	11	3	6	11	0	11	2	3	9	4	24	7	6	6	3	2	10	0	6	2	3	3	4	9	3	4	3	1	0	2	3	5	4	9	16	4	5	3	0	4	0	0	2	3	2	1	2	1	1	11	2	1	3	3	1	1	3	2	4	1	7	2	5	0	0	1	2	0	1	2	2	0	0	1	0	1	2	1	0	0	1	1	0	1	2	2	2	0	1	0	0	0	3	0	0	1	1	2	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	2	0	0	0	1	0	0	1	0	0	0	3	0	0	1	2	2	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	17076	11070	5759	4333	3294	3417	2900	3007	2246	1704	2000	1434	1109	1722	984	1221	1216	1178	1000	984	1217	852	962	525	717	523	441	908	388	735	650	740	451	343	313	272	294	242	583	214	607	460	401	399	369	201	331	251	187	262	249	188	156	218	260	180	234	219	292	221	205	116	236	109	210	152	136	128	182	147	89	72	90	80	87	70	143	83	173	69	64	76	84	98	90	86	111	47	84	63	54	52	45	60	48	122	64	57	38	62	65	28	45	33	46	38	71	49	30	52	21	26	34	27	41	25	51	25	44	46	19	32	28	32	23	22	33	25	19	49	57	19	45	28	14	16	18	21	8	42	13	17	16	26	9	14	13	38	51	24	15	13	20	16	8	14	11	12	4	40	57	15	12	40	12	9	8	11	13	8	17	10	16	6	10	27	1	24	2	5	11	4	28	10	12	16	3	9	15	6	11	3	4	5	4	13	6	7	6	3	4	5	11	9	3	5	5	7	9	8	1	4	3	3	10	5	1	2	4	2	3	17	5	2	4	3	4	1	3	4	6	4	3	8	6	6	1	0	3	2	2	2	2	1	0	2	3	3	5	4	2	0	1	1	2	1	5	2	4	2	1	1	0	3	2	0	0	1	2	2	1	2	0	4	2	1	1	2	0	4	0	2	1	1	2	0	0	0	0	6	2	0	1	0	1	1	0	1	0	0	0	1	0	0	4	0	2	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	2	0	0	1	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	6	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0
0.03	north5_active	80	7712	6021	2719	2088	1501	1776	1581	1740	1174	883	1080	748	525	1006	444	695	718	685	536	563	755	489	575	243	405	248	195	564	182	432	400	484	281	167	155	133	142	107	355	107	372	281	258	269	231	100	183	150	85	150	142	99	66	122	148	101	138	142	185	137	128	70	154	67	124	83	74	49	118	87	40	37	45	44	33	26	79	44	118	31	23	42	50	45	53	57	76	23	57	33	29	30	20	36	25	86	43	26	18	47	41	11	24	16	22	18	46	24	8	33	8	9	10	22	17	7	15	12	18	34	7	18	14	19	9	11	19	17	9	32	31	6	26	17	6	7	11	11	5	21	5	7	7	15	4	7	7	14	35	19	10	5	14	11	7	6	3	9	3	22	46	6	8	30	9	7	5	6	8	6	8	8	11	2	4	11	0	18	1	3	9	1	23	6	7	5	1	5	12	5	6	1	2	4	4	10	4	4	4	1	0	2	4	5	1	3	4	4	7	4	0	2	0	0	2	2	1	1	2	1	3	11	3	1	3	2	1	0	2	2	4	3	3	5	5	0	0	0	2	1	2	2	2	0	0	1	2	1	3	1	1	0	0	1	1	1	5	1	1	2	0	0	0	0	2	0	0	1	1	1	0	2	0	4	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
