label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287	Otu288	Otu289	Otu290	Otu291	Otu292	Otu293	Otu294	Otu295	Otu296	Otu297	Otu298	Otu299	Otu300	Otu301	Otu302	Otu303	Otu304	Otu305	Otu306	Otu307	Otu308	Otu309	Otu310	Otu311	Otu312	Otu313	Otu314	Otu315	Otu316	Otu317	Otu318	Otu319	Otu320	Otu321	Otu322	Otu323	Otu324	Otu325	Otu326	Otu327	Otu328	Otu329	Otu330	Otu331	Otu332	Otu333	Otu334	Otu335	Otu336	Otu337	Otu338	Otu339	Otu340	Otu341	Otu342	Otu343	Otu344	Otu345	Otu346	Otu347	Otu348	Otu349	Otu350	Otu351	Otu352	Otu353	Otu354	Otu355	Otu356	Otu357	Otu358	Otu359	Otu360	Otu361	Otu362	Otu363	Otu364	Otu365	Otu366	Otu367	Otu368	Otu369	Otu370	Otu371	Otu372	Otu373	Otu374	Otu375	Otu376	Otu377	Otu378	Otu379	Otu380	Otu381	Otu382	Otu383	Otu384	Otu385	Otu386	Otu387	Otu388	Otu389	Otu390	Otu391	Otu392	Otu393	Otu394	Otu395	Otu396	Otu397	Otu398	Otu399	Otu400	Otu401	Otu402	Otu403	Otu404	Otu405	Otu406	Otu407	Otu408	Otu409	Otu410	Otu411	Otu412	Otu413	Otu414	Otu415	Otu416	Otu417	Otu418	Otu419	Otu420	Otu421	Otu422	Otu423	Otu424	Otu425	Otu426	Otu427	Otu428	Otu429	Otu430	Otu431	Otu432	Otu433	Otu434	Otu435	Otu436	Otu437	Otu438	Otu439	Otu440	Otu441	Otu442	Otu443	Otu444	Otu445	Otu446	Otu447	Otu448	Otu449	Otu450	Otu451	Otu452	Otu453	Otu454	Otu455	Otu456	Otu457	Otu458	Otu459	Otu460	Otu461	Otu462	Otu463	Otu464	Otu465	Otu466	Otu467	Otu468	Otu469	Otu470	Otu471	Otu472	Otu473	Otu474	Otu475	Otu476	Otu477	Otu478	Otu479	Otu480	Otu481	Otu482	Otu483	Otu484	Otu485
0.03	north1_all	80	3157	1953	923	851	616	383	432	286	554	285	376	446	236	441	132	122	313	130	143	117	76	177	238	147	72	109	72	66	82	138	73	97	114	92	42	107	63	88	48	29	41	23	41	49	32	57	30	56	44	32	42	33	28	21	32	26	25	41	24	22	30	29	29	23	27	30	18	25	51	18	16	17	38	21	44	22	23	15	24	16	48	11	12	16	20	12	15	12	21	9	11	15	12	26	9	14	11	12	11	15	26	18	7	20	16	5	9	8	9	12	12	10	3	3	6	4	4	7	4	7	7	7	9	6	4	8	7	12	14	2	12	8	5	5	5	7	20	4	11	6	12	9	4	4	6	11	4	10	1	2	4	4	8	7	9	1	5	1	1	0	5	5	6	5	3	10	9	2	11	5	5	7	4	2	13	7	1	3	3	3	6	0	2	2	2	0	4	0	1	1	4	1	0	5	1	3	1	0	1	0	0	2	3	0	0	4	10	3	0	0	1	4	0	0	6	0	1	1	2	0	1	1	1	1	1	4	0	0	1	2	2	2	1	0	1	0	1	1	1	1	2	3	0	0	0	0	2	1	1	1	1	0	0	1	0	0	0	3	0	1	1	0	0	0	3	0	3	0	1	1	0	2	0	1	0	0	0	0	1	1	1	0	0	1	0	4	0	2	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	1638	1168	429	474	316	166	205	132	351	130	240	287	117	263	54	61	200	75	74	59	34	115	158	77	37	58	37	39	44	86	45	56	70	53	16	71	37	43	26	12	19	6	18	23	13	33	16	30	29	13	25	16	18	12	14	7	12	20	13	12	16	13	20	12	13	17	12	17	25	4	7	8	17	9	29	8	12	8	12	7	28	8	5	10	13	9	9	8	14	7	6	9	8	16	5	8	9	5	7	10	23	14	2	9	5	3	4	5	5	10	9	3	2	2	4	3	1	3	2	5	3	3	7	3	1	5	2	5	9	1	7	5	2	3	2	3	13	2	9	3	8	5	1	2	5	8	2	9	0	0	2	3	8	4	4	1	3	0	0	0	4	0	4	4	0	7	6	1	8	3	4	7	3	2	9	3	1	2	1	2	1	0	1	2	1	0	2	0	1	1	3	0	0	1	1	3	0	0	1	0	0	2	1	0	0	4	8	0	0	0	0	4	0	0	5	0	0	1	1	0	1	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3193	1941	897	834	614	389	451	289	570	290	358	441	224	391	124	127	300	159	152	125	80	159	243	157	83	107	68	72	76	129	81	99	100	89	46	92	55	76	41	32	40	32	34	51	35	56	29	52	43	31	44	29	23	21	33	22	23	37	32	30	29	21	21	21	25	28	19	25	47	23	19	19	43	18	37	21	24	14	18	17	44	9	14	14	24	15	15	11	26	12	9	15	15	25	12	11	7	13	12	11	20	14	8	13	15	6	5	18	8	15	17	11	7	4	6	7	4	5	5	9	6	7	11	10	7	7	6	9	16	3	10	8	8	7	11	4	12	1	7	6	8	6	2	7	6	17	6	12	1	3	4	4	12	9	7	2	7	1	1	0	5	5	6	6	2	5	10	2	16	3	5	2	1	1	9	5	0	3	4	3	6	1	3	3	1	0	2	0	3	0	3	1	1	4	0	2	2	0	1	0	1	5	2	0	0	5	8	3	0	0	0	3	0	2	6	0	1	1	3	0	1	0	1	2	0	4	1	0	2	0	1	2	1	1	0	1	1	1	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	2	0	1	1	0	1	0	3	0	3	0	0	1	0	3	0	1	1	0	0	0	1	1	0	0	0	0	0	4	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	1	0	1	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	1707	1138	414	455	316	173	235	126	368	139	214	282	116	253	60	52	184	86	79	63	36	103	173	89	39	54	33	44	41	80	52	60	62	56	18	64	37	39	21	12	18	7	14	26	15	34	15	30	29	17	29	13	13	11	17	8	8	22	14	15	16	9	15	11	13	16	11	18	26	8	9	9	26	7	20	8	12	8	9	7	22	6	6	9	15	9	8	8	17	7	4	9	11	16	7	8	6	5	7	8	16	10	2	9	4	3	1	12	4	12	11	3	4	3	3	5	2	4	3	3	4	3	7	3	1	2	3	4	10	2	5	3	4	5	7	1	6	0	5	3	5	4	1	4	4	10	1	11	0	1	2	3	11	5	0	1	5	0	0	0	3	0	5	4	0	3	7	1	14	1	4	2	0	1	6	4	0	2	2	2	3	0	0	2	0	0	0	0	1	0	3	0	0	1	0	2	1	0	1	0	1	2	1	0	0	4	6	0	0	0	0	3	0	0	5	0	0	1	0	0	1	0	0	2	0	4	1	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3239	1983	937	820	615	406	434	275	581	272	362	420	216	378	124	133	269	160	167	136	75	146	234	174	88	102	64	60	75	110	82	76	102	93	48	88	64	63	41	34	40	26	33	49	37	52	32	61	41	33	35	24	24	23	40	24	23	38	38	29	28	20	21	23	35	23	18	29	35	17	22	20	48	21	43	23	14	26	15	18	44	5	12	12	23	19	14	14	33	9	7	8	19	15	11	12	7	11	12	6	16	19	5	13	14	9	11	15	10	19	18	10	9	2	8	7	5	6	8	9	6	5	9	12	4	10	5	6	13	2	11	10	7	7	14	3	15	3	11	7	11	6	2	12	6	11	7	6	2	4	4	7	12	9	7	2	6	3	0	0	6	3	6	4	6	3	6	2	15	2	4	1	2	2	3	6	0	3	6	6	4	2	2	3	1	0	2	1	3	0	2	1	1	4	0	1	1	0	0	0	1	4	3	0	0	5	4	2	0	0	2	2	0	2	7	0	0	2	4	0	1	1	1	2	0	1	2	1	2	1	1	1	1	1	0	1	1	1	0	2	3	2	0	1	0	0	1	2	0	0	0	0	0	0	2	3	0	1	2	1	0	0	1	0	2	1	4	0	0	2	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	1702	1141	440	441	321	176	236	126	380	136	224	250	116	259	56	56	167	86	94	74	30	92	143	103	47	55	24	34	38	64	50	45	67	49	18	59	41	28	17	16	18	6	12	27	17	32	18	39	23	23	23	11	15	14	16	8	11	18	16	15	13	8	15	15	24	15	12	18	24	8	12	8	32	9	23	11	9	18	8	9	29	2	5	8	12	9	9	11	21	3	3	3	12	8	7	7	6	4	8	3	10	13	0	11	6	7	6	8	8	14	12	3	6	1	4	4	3	4	4	4	2	3	5	4	1	6	3	1	6	1	5	6	6	2	11	1	8	1	8	3	4	4	1	9	4	5	2	3	0	1	2	5	10	5	0	0	4	0	0	0	3	0	5	2	3	1	3	1	14	1	2	1	0	1	0	6	0	2	2	4	3	0	0	2	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0	0	1	1	1	0	0	4	4	0	0	0	2	2	0	0	5	0	0	1	1	0	0	0	0	2	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_all	80	3270	2049	922	853	670	390	417	274	560	280	379	452	199	401	134	146	268	154	169	145	89	130	231	189	99	84	60	67	67	123	98	81	96	89	50	93	64	72	38	38	41	29	30	52	36	55	31	66	33	34	41	14	33	22	38	28	22	36	28	24	32	22	18	23	38	19	20	22	33	21	20	23	46	18	43	13	13	28	17	12	38	12	11	11	13	15	18	15	28	12	11	6	16	27	13	6	7	11	13	11	14	16	6	16	15	17	12	14	10	19	17	9	11	2	7	7	5	8	8	11	7	4	10	11	5	14	3	3	9	4	9	8	9	6	14	2	7	3	14	6	13	5	3	11	5	9	9	9	3	7	3	7	15	10	4	4	5	2	1	2	6	3	4	3	4	6	8	0	6	3	2	4	1	3	3	5	4	4	4	4	4	2	3	3	1	1	0	1	3	2	0	2	1	3	1	2	1	1	1	1	1	3	4	0	1	6	5	2	1	1	2	2	0	2	6	0	0	4	5	1	3	5	0	2	0	5	2	1	2	1	1	1	0	1	0	1	1	0	0	2	2	3	0	2	0	2	4	2	0	1	0	0	1	0	2	4	0	0	3	0	0	0	1	2	0	1	1	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	1	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	1730	1184	451	460	352	168	236	122	372	141	236	275	100	283	65	68	175	83	94	73	38	83	125	108	53	57	25	37	30	76	56	44	61	43	18	56	38	33	14	20	18	9	8	29	20	28	17	47	17	21	25	6	16	11	16	14	11	17	10	13	15	8	12	14	28	12	10	14	21	13	11	12	25	8	25	9	9	18	8	7	25	7	6	7	6	6	11	10	15	3	6	3	8	15	8	2	5	4	9	4	8	9	0	13	6	10	7	9	6	11	9	2	5	1	2	4	3	5	4	6	1	4	5	4	2	7	2	2	3	3	5	5	8	2	10	1	5	1	10	4	3	3	2	8	3	3	3	3	1	1	0	6	13	6	0	2	2	0	0	2	3	2	3	1	3	4	4	0	6	2	1	2	0	2	2	5	4	3	1	3	3	0	0	1	0	1	0	0	1	1	0	0	0	3	0	1	1	1	1	1	1	0	3	0	0	5	4	0	1	1	2	1	0	0	5	0	0	0	2	1	1	2	0	2	0	5	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	3	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_all	80	3325	2027	922	873	688	404	387	284	602	266	393	452	202	412	132	146	249	145	170	147	104	129	240	176	97	86	66	72	71	112	104	73	109	78	47	108	53	79	34	43	45	35	36	45	38	66	32	59	33	28	44	15	32	31	39	31	19	43	29	20	17	25	21	28	40	18	16	24	32	24	17	21	60	18	40	15	13	32	18	13	37	14	11	17	12	15	20	18	30	16	11	6	12	25	10	8	8	12	9	9	9	16	12	12	10	20	13	8	11	14	17	7	12	3	8	9	6	6	9	10	7	6	12	5	4	13	3	4	3	4	10	6	5	6	8	3	9	6	12	6	21	6	3	11	5	3	5	11	6	6	1	7	15	4	1	3	3	2	3	2	5	3	2	3	4	6	6	2	3	2	3	5	2	2	6	6	4	3	2	5	4	2	1	1	1	2	0	2	3	2	0	2	0	4	1	2	0	1	2	1	2	3	5	1	1	4	5	0	1	1	2	2	1	2	2	0	0	4	3	1	4	6	4	1	0	6	2	1	0	2	1	1	0	2	1	0	1	0	0	2	1	3	0	2	2	2	4	2	0	1	0	0	2	1	1	3	1	1	3	1	0	0	0	2	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	1742	1161	448	451	367	175	210	128	411	139	251	284	108	298	59	72	163	82	89	73	43	81	133	97	52	56	28	38	30	70	57	41	67	34	19	70	24	38	11	20	22	15	15	24	21	36	21	38	17	15	28	7	15	15	18	15	9	18	14	12	7	10	13	14	28	7	9	14	23	14	9	11	36	7	25	9	8	22	8	7	29	6	3	9	7	5	13	11	15	6	6	2	6	13	5	3	2	5	7	3	4	11	4	8	6	11	8	5	7	6	12	3	4	1	2	4	3	4	3	6	1	5	7	3	2	9	2	3	0	2	7	4	5	1	4	1	7	2	8	3	12	4	2	7	3	2	3	4	3	2	0	6	13	3	0	2	1	0	1	2	2	2	1	1	3	5	4	1	2	2	0	2	0	1	2	6	4	3	0	3	3	0	0	0	0	1	0	1	1	1	0	1	0	3	0	1	0	1	2	1	1	0	4	1	0	3	4	0	1	1	2	1	1	1	1	0	0	0	2	1	1	3	4	1	0	5	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	2	0	3	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
