label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39
0.03	north1_all	80	8151	2715	3628	783	465	528	354	562	132	72	86	53	63	21	21	14	16	6	5	6	6	3	0	2	1	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0
0.03	north1_active	80	5446	1358	3183	320	120	414	249	522	77	38	53	29	46	14	16	4	5	0	0	2	3	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	8168	2662	3687	764	477	498	360	595	140	59	86	61	66	23	24	15	18	3	5	6	6	2	0	3	1	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0
0.03	north2_active	80	5426	1314	3240	313	132	388	247	562	81	27	65	32	49	15	17	6	7	0	0	2	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8168	2699	3698	773	470	499	374	667	145	68	81	50	70	23	27	16	14	3	4	3	7	3	1	3	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	5390	1330	3254	323	125	377	262	634	83	34	67	28	54	18	21	8	7	0	1	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8338	2639	3505	812	456	514	319	722	151	67	88	46	66	37	35	13	10	4	2	2	8	2	1	3	2	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	5560	1328	3093	361	110	378	224	677	89	37	68	25	59	27	29	8	6	0	1	1	3	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8342	2589	3478	819	422	520	302	667	151	81	74	38	56	42	32	14	8	4	4	2	6	2	2	2	2	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	5610	1319	3042	357	105	379	215	617	88	47	51	21	50	29	27	6	4	1	1	1	2	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	8275	2630	3497	821	417	528	292	679	139	82	96	39	55	44	44	16	15	3	7	3	4	3	2	1	2	2	4	0	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	5588	1352	3046	362	99	388	198	623	88	47	55	22	50	27	38	5	12	1	3	1	0	0	1	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	8322	2611	3404	812	438	512	312	614	142	83	88	40	55	38	50	17	18	7	13	3	4	2	2	1	3	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	5622	1340	2957	344	110	383	217	566	92	47	54	20	46	22	44	4	12	2	6	0	1	0	1	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	8292	2681	3374	761	449	510	327	685	128	75	95	36	58	38	51	21	20	7	10	5	4	3	2	1	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	5626	1405	2911	329	107	388	217	626	85	42	60	19	46	21	47	7	15	2	6	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	8210	2655	3376	781	476	554	342	701	124	75	82	40	53	33	45	23	15	7	8	4	3	1	3	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	5472	1371	2924	342	114	414	237	641	79	31	55	18	44	21	41	9	11	3	5	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	8264	2688	3397	750	451	552	336	679	126	85	72	44	54	26	38	15	12	8	5	4	2	2	3	1	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_active	80	5494	1392	2956	296	112	408	244	626	79	42	50	25	41	16	34	7	12	2	3	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_all	80	8219	2543	3340	804	440	536	341	661	166	96	70	48	85	39	75	17	9	8	7	3	5	4	0	3	5	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	5475	1308	2927	326	93	411	243	612	100	57	49	26	78	27	70	9	5	0	1	0	1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	8101	2522	3314	786	416	525	350	706	151	106	78	37	89	40	53	21	14	8	6	2	3	4	0	6	5	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	5416	1314	2896	318	104	386	258	656	90	54	49	19	78	31	49	9	8	0	1	0	0	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	8106	2534	3319	740	430	556	329	635	155	102	81	43	70	35	48	23	13	11	4	3	4	4	2	6	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	5448	1281	2876	306	108	415	237	585	97	56	50	18	56	26	46	14	10	1	0	1	1	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	8045	2564	3332	762	450	577	311	609	135	94	76	39	52	23	28	25	15	13	3	3	2	3	2	4	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	5396	1281	2914	318	109	423	227	558	82	48	44	17	37	16	26	14	12	1	0	1	1	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	7989	2697	3300	797	451	600	312	590	143	97	66	48	47	21	31	22	12	11	6	4	4	4	2	3	1	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0
