label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37
0.03	north1_all	80	12190	2861	3375	2298	782	731	285	317	131	352	86	47	33	41	26	39	12	7	16	7	12	3	6	1	1	4	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	7495	1374	2167	1533	455	405	137	186	60	262	52	19	15	16	12	22	7	2	12	2	5	1	6	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	12216	2841	3391	2313	835	729	288	309	124	338	87	44	43	39	38	30	10	5	24	6	10	5	8	2	1	3	1	0	1	1	1	1	1	0	0	0	0	0
0.03	north2_active	80	7515	1410	2200	1542	484	429	142	186	59	247	50	21	18	18	21	18	7	3	12	3	5	1	7	1	0	3	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north3_all	80	12347	2854	3322	2186	818	740	263	276	116	301	89	50	56	33	42	26	12	5	25	6	6	3	5	2	0	1	1	0	1	1	1	1	1	0	0	0	0	0
0.03	north3_active	80	7644	1442	2185	1424	465	447	133	165	58	200	56	29	24	15	21	16	9	3	12	3	3	1	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north4_all	80	12183	2795	3303	2220	850	764	263	286	121	270	92	47	62	27	41	33	11	5	20	5	8	4	4	7	0	3	3	1	5	1	1	1	1	0	0	0	0	0
0.03	north4_active	80	7506	1409	2159	1450	490	468	138	164	54	179	55	27	32	14	25	18	8	3	7	4	5	1	1	4	0	3	2	0	4	0	0	1	1	0	0	0	0	0
0.03	north5_all	80	12179	2784	3376	2320	846	762	290	290	123	296	99	42	51	25	34	26	13	5	14	7	9	4	4	7	0	3	2	1	5	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	7605	1389	2218	1532	491	480	161	165	51	200	58	26	27	9	20	15	8	2	9	5	7	3	1	4	0	3	2	0	4	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12025	2678	3369	2472	805	742	294	328	128	280	113	38	44	26	31	25	11	5	16	10	7	5	2	6	0	3	2	1	5	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	7498	1318	2202	1616	453	470	164	199	47	206	68	20	22	13	16	12	4	2	14	4	5	3	1	4	0	3	2	0	4	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	12026	2676	3404	2496	813	718	307	361	123	281	117	39	45	30	25	18	12	7	12	8	12	5	1	5	2	3	3	0	4	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	7455	1310	2181	1698	486	475	167	227	44	203	65	21	22	14	11	8	7	1	9	3	7	3	1	4	0	2	3	0	4	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	12165	2745	3342	2512	815	738	297	341	105	278	115	47	49	33	26	15	13	6	18	8	13	2	1	1	3	1	1	0	0	0	1	0	1	0	0	0	0	0
0.03	north8_active	80	7454	1339	2143	1703	468	488	156	212	44	189	68	24	24	16	12	8	7	2	13	3	6	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	12371	2769	3253	2330	828	753	283	324	105	268	108	48	50	35	21	19	11	6	12	6	12	4	0	3	3	1	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_active	80	7548	1327	2051	1517	462	492	142	198	46	191	67	23	26	20	6	12	8	2	6	3	6	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	12362	2843	3295	2316	833	734	278	311	101	299	95	54	47	30	23	20	14	6	17	6	8	3	0	3	2	0	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	7540	1396	2056	1530	475	464	150	183	46	211	54	22	26	15	9	14	6	2	9	4	5	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	12237	2735	3275	2345	826	754	312	299	131	269	109	44	43	34	18	35	13	7	16	6	13	4	6	2	3	0	0	0	0	0	2	0	0	1	0	0	0	0
0.03	north11_active	80	7666	1371	2134	1564	465	486	165	168	62	180	70	21	20	21	8	22	6	4	13	2	12	1	4	2	2	0	0	0	0	0	2	0	0	1	0	0	0	0
0.03	north12_all	80	12111	2689	3410	2424	831	718	308	295	130	255	109	40	45	30	20	35	15	8	10	7	16	3	5	3	1	0	0	0	0	0	3	0	0	1	0	0	0	0
0.03	north12_active	80	7546	1345	2204	1625	458	459	165	163	59	172	74	19	25	18	12	25	5	5	9	2	15	1	4	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0
0.03	north13_all	80	12160	2702	3376	2417	823	689	293	292	122	278	115	40	47	21	19	23	15	7	9	6	12	2	5	5	0	4	0	0	0	0	3	0	0	1	0	0	0	0
0.03	north13_active	80	7457	1332	2145	1620	458	413	153	162	58	178	70	20	25	12	14	17	6	6	6	1	10	0	4	1	0	4	0	0	0	0	2	0	0	1	0	0	0	0
0.03	north14_all	80	11870	2728	3344	2351	809	704	294	258	130	267	123	38	42	26	23	15	13	7	10	6	9	3	0	4	0	4	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_active	80	7316	1353	2152	1593	452	426	140	150	67	178	68	18	26	13	17	12	3	6	2	1	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	12002	2710	3313	2343	845	759	305	259	120	266	133	34	43	23	28	11	14	7	13	3	9	2	1	4	0	6	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_active	80	7421	1339	2141	1546	457	470	148	156	67	174	72	14	28	11	22	9	5	3	3	1	7	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	11938	2753	3285	2328	873	760	294	273	122	305	123	40	51	23	29	17	15	8	15	1	4	2	2	2	0	4	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north16_active	80	7371	1357	2118	1536	484	471	146	174	59	209	69	15	32	13	18	12	5	4	5	1	2	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	12137	2735	3287	2254	854	801	298	275	122	312	113	47	52	23	33	20	14	7	15	3	9	1	4	3	0	6	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north17_active	80	7461	1349	2147	1443	486	513	156	187	55	213	65	12	32	12	18	10	5	2	8	3	7	0	3	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	12315	2704	3318	2301	868	771	282	282	129	301	93	49	57	28	26	23	11	6	10	5	12	0	3	2	1	4	0	1	1	0	0	0	0	1	0	0	0	0
0.03	north18_active	80	7612	1323	2144	1535	498	491	163	195	56	188	51	15	33	16	12	11	4	2	8	3	9	0	2	1	1	3	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	12423	2608	3332	2303	828	759	305	278	109	287	99	58	59	31	22	23	8	8	9	5	12	0	4	2	1	2	0	2	1	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	7766	1277	2219	1507	474	480	168	191	47	180	59	21	37	14	8	10	3	3	6	2	10	0	3	1	1	2	0	2	1	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	12410	2668	3371	2356	816	747	303	273	116	276	88	54	62	30	21	23	11	9	13	6	8	0	5	1	2	1	0	2	1	0	0	1	0	0	0	0	0	0
0.03	north20_active	80	7771	1282	2258	1567	472	459	163	170	48	181	59	30	40	15	13	13	5	3	10	3	6	0	3	0	1	1	0	2	1	0	0	1	0	0	0	0	0	0
0.03	south21_all	80	12257	2867	3304	2495	825	776	302	294	124	308	102	49	50	25	28	21	9	6	17	3	4	6	4	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south21_active	80	7681	1380	2130	1658	514	469	157	166	52	189	53	15	26	22	10	11	5	3	14	2	2	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	12450	2853	3228	2492	796	783	292	335	109	256	102	50	46	21	30	18	10	10	18	4	6	5	4	3	1	4	0	0	1	0	1	0	0	0	0	0	0	0
0.03	south22_active	80	7718	1367	2032	1692	481	502	149	204	41	164	47	18	21	18	11	10	6	4	15	3	2	3	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	12348	2879	3220	2510	787	750	288	312	102	222	115	44	47	26	27	19	9	10	19	4	3	5	2	3	2	4	0	0	2	0	1	0	0	0	0	0	0	0
0.03	south23_active	80	7605	1380	2019	1730	450	480	132	182	33	154	58	20	25	18	13	11	7	5	16	3	0	3	0	3	2	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	11947	2843	3160	2428	743	741	284	322	111	247	101	40	42	32	38	19	11	10	18	5	4	3	0	4	2	8	0	0	3	0	1	2	0	0	0	0	0	0
0.03	south24_active	80	7340	1360	2011	1648	411	481	131	203	41	182	50	18	24	21	20	10	8	5	16	3	0	2	0	3	2	6	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	11879	2786	3248	2425	761	717	291	328	107	256	99	41	38	37	38	19	12	9	11	5	2	4	2	3	3	7	0	0	2	0	2	3	0	0	0	0	0	0
0.03	south25_active	80	7304	1341	2081	1622	419	473	143	206	48	180	56	18	25	19	22	11	10	3	7	2	0	3	0	1	2	5	0	0	2	0	0	1	0	0	0	0	0	0
0.03	south26_all	80	11813	2790	3163	2383	785	730	279	293	104	221	112	40	33	32	41	24	13	9	9	7	6	3	3	2	2	5	0	1	2	0	2	3	0	0	0	0	0	0
0.03	south26_active	80	7264	1346	2023	1548	441	486	138	180	49	145	65	13	23	15	23	18	11	5	5	2	4	2	1	0	1	5	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south27_all	80	12100	2865	3182	2326	804	747	300	299	118	240	124	53	38	28	31	28	10	9	15	6	6	2	11	1	2	5	0	1	1	0	1	2	0	0	0	0	1	2
0.03	south27_active	80	7455	1393	2054	1552	462	500	163	182	52	159	76	17	25	11	17	19	6	6	5	2	5	2	8	0	1	5	0	0	0	0	0	1	0	0	0	0	0	2
0.03	south28_all	80	11605	2891	3056	2256	773	734	308	246	121	185	126	59	53	27	29	31	11	10	14	5	6	2	12	2	4	0	0	1	1	0	1	1	0	0	0	0	1	2
0.03	south28_active	80	7082	1407	1940	1519	455	473	170	140	46	123	78	22	28	15	14	24	6	5	6	2	5	1	9	1	3	0	0	0	0	0	0	1	0	0	0	0	0	2
0.03	south29_all	80	10932	2854	2947	2089	759	693	327	258	123	198	120	68	60	28	28	30	7	8	17	4	3	3	12	1	4	0	1	1	2	0	1	2	0	0	0	0	1	2
0.03	south29_active	80	6577	1364	1848	1399	439	444	178	142	47	140	71	26	33	14	11	17	3	5	8	3	3	2	8	1	3	0	1	0	2	0	0	2	0	0	0	0	0	2
0.03	south30_all	80	10381	2724	2844	1955	734	651	321	257	115	172	101	65	58	28	27	26	12	6	16	5	7	4	8	3	4	1	1	1	2	1	1	2	0	0	0	0	1	0
0.03	south30_active	80	6210	1285	1752	1267	425	413	164	142	40	123	61	25	31	13	14	16	5	2	9	4	7	3	4	3	2	1	1	0	2	0	0	2	0	0	0	0	0	0
0.03	south31_all	80	12060	2818	3264	2443	838	796	310	267	137	277	96	70	60	28	32	25	15	6	14	1	19	3	7	2	1	1	0	1	2	0	0	0	0	0	1	0	0	0
0.03	south31_active	80	7458	1385	2104	1553	479	534	138	151	58	177	61	31	29	19	24	8	9	1	7	1	8	1	5	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0
0.03	south32_all	80	12010	2808	3297	2427	855	800	332	283	132	272	104	61	57	26	27	20	11	7	11	2	18	2	16	2	4	1	0	1	1	0	1	0	0	0	0	0	0	0
0.03	south32_active	80	7392	1390	2094	1554	501	528	163	162	60	178	69	27	24	18	18	6	5	2	3	1	9	1	14	1	4	1	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south33_all	80	12161	2817	3384	2376	861	780	343	285	136	275	95	54	63	26	28	26	9	8	15	2	15	1	15	2	3	1	0	1	0	0	1	1	0	0	0	0	0	0
0.03	south33_active	80	7537	1359	2155	1519	490	483	174	161	65	171	61	27	31	14	17	15	3	5	6	0	4	1	13	1	3	1	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south34_all	80	12220	2766	3447	2342	828	746	324	292	131	267	103	50	53	29	25	24	10	7	12	2	13	0	16	1	3	6	1	1	0	0	1	1	0	0	0	0	0	0
0.03	south34_active	80	7641	1355	2246	1521	488	443	175	167	56	155	69	25	29	15	12	18	4	5	8	0	7	0	14	0	3	1	1	1	0	0	1	0	0	0	0	0	0	0
0.03	south35_all	80	12312	2656	3442	2345	836	747	294	302	124	267	111	50	53	29	32	32	8	10	11	2	10	1	11	1	3	6	1	1	0	0	1	1	0	0	0	0	0	0
0.03	south35_active	80	7582	1314	2286	1521	495	447	159	184	55	172	65	25	27	13	15	25	4	6	9	1	5	1	11	1	2	1	1	1	0	0	1	0	0	0	0	0	0	0
0.03	south36_all	80	12407	2671	3538	2347	865	764	278	299	128	299	117	54	52	24	28	30	10	5	13	3	10	1	2	1	2	5	1	2	0	0	0	1	0	0	0	0	0	0
0.03	south36_active	80	7581	1334	2371	1506	518	467	156	184	55	206	67	31	25	10	11	21	5	2	10	2	7	1	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	12086	2655	3369	2394	858	728	267	292	135	314	116	52	49	20	30	30	14	3	13	4	10	1	2	1	2	0	1	1	1	0	0	1	0	0	0	0	0	0
0.03	south37_active	80	7364	1336	2245	1522	494	456	135	189	55	227	58	30	24	7	15	16	7	1	9	3	9	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	11522	2655	3098	2225	835	727	268	282	132	292	112	45	40	20	26	21	13	3	10	4	14	2	2	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0
0.03	south38_active	80	7025	1314	1982	1391	483	453	143	170	62	200	55	28	21	9	12	9	5	0	3	3	12	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	10727	2626	2945	2127	782	690	276	269	122	230	116	38	42	20	26	20	12	5	12	6	18	2	4	0	0	0	1	0	4	1	0	1	0	0	0	0	0	0
0.03	south39_active	80	6471	1276	1864	1323	448	428	146	161	58	142	59	25	27	9	14	6	6	0	1	4	15	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	10341	2583	2783	1924	753	638	281	258	127	196	106	42	45	29	28	19	9	8	10	5	11	3	5	0	0	0	1	0	3	1	0	1	0	0	0	1	0	0
