label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	north1_all	80	19602	7882	2807	4114	1225	675	1376	663	509	563	218	108	77	61	42	25	24	28	49	5	9	6	10	5	10	3	3	3	2	2	1	1	0	1	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	14545	5688	1124	3568	649	215	1224	520	398	498	164	46	27	36	17	4	11	16	43	2	3	2	6	2	8	1	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	19485	7875	2741	4146	1193	675	1315	632	491	521	229	116	80	70	40	28	21	25	49	6	9	4	9	4	8	5	1	2	2	3	1	1	0	1	1	0	0	0	1	0	0	0	0
0.03	north2_active	80	14460	5715	1113	3595	639	196	1170	494	380	455	172	54	32	38	14	5	10	13	43	2	3	1	7	1	7	1	0	1	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	19248	7878	2774	4371	1208	670	1360	588	567	507	261	114	76	77	45	31	20	27	68	8	11	5	8	5	8	5	2	2	2	3	1	0	0	1	1	0	0	0	1	0	0	0	0
0.03	north3_active	80	14318	5726	1151	3814	667	212	1210	453	458	434	203	55	38	42	14	8	8	16	58	2	4	2	6	1	7	1	1	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	19286	7842	2767	4398	1227	687	1377	574	526	460	237	122	80	69	46	30	24	35	58	6	14	9	5	6	6	3	2	0	1	2	0	0	0	1	1	0	0	0	1	0	1	0	0
0.03	north4_active	80	14264	5709	1151	3855	679	224	1218	448	428	393	180	59	36	35	15	8	11	21	49	2	4	3	2	2	6	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	19331	7859	2777	4498	1244	689	1365	628	521	491	217	116	80	72	58	34	25	34	53	10	12	10	7	6	1	2	1	0	2	3	1	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north5_active	80	14232	5717	1179	3931	701	226	1206	493	429	410	167	50	34	39	18	9	12	19	45	5	3	3	2	4	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	19523	7877	2690	4604	1267	699	1281	603	508	480	223	107	80	60	57	30	29	32	26	9	11	9	7	3	4	2	2	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0
0.03	north6_active	80	14394	5741	1090	4014	695	228	1116	473	416	404	168	48	33	30	21	5	15	17	21	5	2	3	2	3	3	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	19080	7725	2670	4507	1233	710	1169	578	493	481	210	101	81	51	55	34	27	29	20	13	9	5	6	4	6	2	4	2	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north7_active	80	13867	5538	1065	3913	648	242	1005	454	396	401	151	50	36	25	28	6	15	15	16	6	0	2	2	3	5	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	18211	7324	2638	4141	1190	708	1046	557	458	435	215	96	88	51	46	32	27	24	18	11	9	4	6	3	6	1	5	3	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	12879	5081	1031	3561	575	233	885	429	360	367	152	49	36	20	20	8	14	13	15	5	1	2	3	1	5	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	17512	7023	2600	3871	1167	723	946	546	427	418	191	101	85	50	41	31	28	20	18	10	11	3	5	5	8	1	5	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	11997	4751	955	3280	557	225	784	404	328	357	134	52	35	15	18	9	13	10	14	5	3	2	2	1	8	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
