label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36
0.03	north1_all	80	2495	976	1011	380	216	225	169	250	59	36	66	20	59	29	25	13	4	5	5	2	1	0	2	2	0	2	0	2	0	0	1	0	0	10	0	0	0
0.03	north1_active	80	1352	483	627	216	106	133	87	172	29	17	51	12	44	15	16	8	2	4	4	1	1	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2380	959	924	402	204	192	145	199	52	32	61	22	65	32	18	14	4	4	6	3	2	0	2	2	1	2	0	2	0	0	1	0	0	10	0	0	0
0.03	north2_active	80	1255	470	573	226	100	108	83	141	28	15	45	13	50	26	12	8	1	3	5	2	2	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2261	940	885	384	199	204	163	173	55	30	45	21	64	46	19	12	4	3	2	3	4	0	1	2	2	2	0	2	0	0	2	0	0	9	0	0	0
0.03	north3_active	80	1149	463	537	208	99	122	94	114	35	14	31	14	44	33	13	8	1	1	1	2	3	0	0	2	1	1	0	2	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	2325	920	914	383	193	202	150	156	59	31	46	16	53	47	21	13	2	3	4	2	3	0	3	2	2	1	0	2	0	0	1	1	0	0	0	0	0
0.03	north4_active	80	1214	464	551	218	96	134	88	92	34	11	23	10	34	37	12	7	0	1	3	1	2	0	1	2	1	0	0	2	0	0	1	1	0	0	0	0	0
0.03	north5_all	80	2335	900	871	376	180	215	162	160	62	31	41	14	50	42	17	12	1	4	3	1	2	0	4	2	1	0	0	1	1	0	1	1	0	0	0	0	0
0.03	north5_active	80	1217	447	537	218	84	146	104	97	34	10	21	5	30	31	11	7	0	2	2	1	1	0	3	2	1	0	0	0	1	0	1	1	0	0	0	0	0
0.03	north6_all	80	2407	907	850	349	175	217	148	160	54	35	53	19	41	33	22	14	1	4	3	3	2	1	5	0	0	0	0	1	1	0	1	1	0	1	0	0	0
0.03	north6_active	80	1266	439	541	204	81	144	97	100	30	12	26	8	26	22	11	6	0	3	2	2	1	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north7_all	80	2456	959	862	358	174	209	154	189	55	37	61	17	31	19	22	10	3	2	3	5	4	1	3	0	0	0	0	1	1	0	3	0	0	1	0	0	0
0.03	north7_active	80	1308	483	552	196	73	129	100	128	31	15	33	8	20	8	14	3	0	2	2	3	3	1	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0
0.03	north8_all	80	2559	1014	875	369	191	226	160	217	53	41	50	22	59	37	26	9	7	1	2	6	4	1	3	1	0	1	0	0	1	0	3	0	3	1	0	0	1
