label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	north1_all	80	14413	2881	1994	1487	829	465	402	273	288	202	92	168	187	80	57	28	12	18	25	26	5	10	6	3	2	4	1	2	2	4	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	8970	1301	1024	886	434	212	218	144	175	132	40	104	135	49	35	14	4	9	15	18	3	9	1	2	2	2	1	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	14319	2948	1953	1502	844	477	400	264	280	185	89	155	166	76	57	26	16	23	20	18	5	12	3	2	3	4	2	2	1	4	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	8935	1347	994	908	440	218	215	140	161	127	43	85	116	45	33	12	3	13	10	10	4	10	0	1	2	3	2	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	13932	2934	1936	1496	848	494	382	273	261	183	97	152	131	66	52	25	19	26	16	15	7	17	0	2	1	6	3	3	1	4	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	8703	1329	991	895	441	236	203	142	151	119	43	88	90	44	31	12	6	12	9	9	6	14	0	1	0	3	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13314	2933	1889	1447	841	463	358	277	243	172	98	153	130	69	59	24	16	30	20	15	7	12	2	2	3	7	3	3	0	0	2	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	8252	1367	950	855	439	218	189	133	132	98	42	87	92	44	37	10	6	16	10	5	6	9	2	1	1	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	12755	2913	1804	1423	821	446	366	258	222	174	107	160	119	54	61	23	15	31	20	15	7	8	3	2	2	4	3	2	0	2	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	7797	1393	907	792	432	223	192	125	122	95	46	91	82	31	45	12	6	14	9	10	6	6	2	1	1	0	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_all	80	12045	2913	1801	1418	745	427	362	247	224	156	98	156	102	59	61	23	7	32	21	13	7	5	4	3	2	3	2	2	1	2	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0
0.03	north6_active	80	7287	1369	902	799	382	219	185	120	126	77	49	90	68	31	46	15	2	16	10	7	3	3	2	1	1	1	0	1	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
