label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43
0.03	north1_all	80	15250	6134	2677	3682	948	993	483	762	261	257	252	97	94	51	57	43	27	35	46	12	22	8	13	6	3	5	6	5	0	0	8	0	1	0	0	1	1	0	1	0	0	0	0	0
0.03	north1_active	80	10739	4181	1399	3222	259	714	199	651	72	163	187	46	47	17	18	22	7	27	36	2	18	4	12	0	3	1	3	4	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	15281	6204	2699	3617	954	994	479	753	246	258	286	85	83	52	52	44	23	32	41	12	12	7	14	7	11	5	5	5	3	0	7	0	3	0	0	3	1	0	2	0	0	0	0	0
0.03	north2_active	80	10752	4246	1386	3171	265	733	202	636	65	158	208	35	42	19	16	26	7	24	31	1	8	4	13	0	10	2	2	4	3	0	7	0	3	0	0	2	0	0	0	0	0	0	0	0
0.03	north3_all	80	15225	6147	2661	3550	939	990	431	800	245	265	283	106	76	55	46	45	22	35	35	10	19	10	11	3	13	5	4	4	4	1	7	0	2	0	0	2	1	0	2	0	0	0	0	0
0.03	north3_active	80	10707	4173	1372	3080	260	748	185	688	66	176	203	46	43	17	16	33	8	29	30	2	18	8	10	1	12	1	2	3	3	1	7	0	2	0	0	2	0	0	0	0	0	0	0	0
0.03	north4_all	80	15044	6198	2720	3581	900	980	423	775	231	247	271	105	76	59	43	49	19	35	30	13	22	13	10	2	16	3	6	4	5	1	0	0	3	0	1	2	0	0	1	0	0	0	0	0
0.03	north4_active	80	10547	4245	1448	3088	260	755	186	664	60	167	202	43	43	19	11	38	10	30	27	4	20	9	9	1	15	1	2	4	3	1	0	0	3	0	1	2	0	0	0	0	0	0	0	0
0.03	north5_all	80	15066	6094	2712	3498	925	995	422	796	236	241	292	124	97	64	41	40	14	39	40	11	26	18	10	5	15	4	5	4	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	10540	4117	1456	3010	263	755	186	694	65	162	232	50	58	22	14	26	7	35	35	5	25	13	9	2	14	0	2	3	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	15123	6079	2605	3561	938	980	443	835	243	244	274	111	110	73	43	41	16	31	40	11	31	15	17	5	4	4	5	5	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	10553	4136	1355	3068	275	713	194	739	69	161	227	48	60	32	19	26	8	25	34	6	28	11	13	3	3	1	3	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	15216	6054	2494	3646	907	1048	453	809	235	245	264	109	111	69	40	38	22	34	52	11	29	15	24	6	2	4	4	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north7_active	80	10654	4134	1275	3171	249	756	198	699	64	165	222	48	61	30	18	26	7	27	45	4	27	12	20	3	1	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	15201	5913	2501	3616	922	1029	451	837	259	253	259	112	105	73	35	41	25	36	71	13	38	8	20	7	5	2	2	3	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
0.03	north8_active	80	10565	4044	1272	3140	257	745	206	723	86	156	216	57	53	26	16	29	5	30	66	4	35	7	16	3	3	1	1	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
0.03	north9_all	80	15110	5893	2538	3687	929	1063	453	806	260	247	274	111	103	66	33	39	26	51	70	9	26	11	12	7	6	1	1	3	3	0	5	0	0	0	0	1	1	0	0	0	0	1	0	0
0.03	north9_active	80	10538	4031	1313	3171	239	767	193	701	91	156	207	60	58	21	14	30	7	43	65	1	23	9	10	3	5	0	0	2	3	0	5	0	0	0	0	1	1	0	0	0	0	1	0	0
0.03	north10_all	80	15353	5956	2585	3629	950	1027	479	816	250	236	273	104	115	58	40	37	25	63	65	13	46	10	8	7	12	3	2	6	2	2	10	0	0	0	0	1	1	0	0	0	0	1	0	0
0.03	north10_active	80	10759	4044	1316	3114	232	754	208	705	92	150	211	53	63	20	14	27	9	55	62	4	44	6	7	2	11	1	0	6	2	1	10	0	0	0	0	1	1	0	0	0	0	1	0	0
0.03	north11_all	80	15269	5944	2674	3565	879	1029	481	904	231	246	264	107	65	67	41	42	25	41	37	15	20	16	11	5	8	3	4	3	1	1	1	0	2	1	3	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	10739	4073	1349	3034	252	735	188	788	78	153	197	51	33	25	13	27	9	33	33	3	19	12	8	0	7	0	2	3	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	15169	5998	2730	3707	903	1057	516	881	230	260	273	105	83	63	38	33	27	39	43	10	33	13	9	5	12	3	2	3	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	10656	4144	1359	3158	267	755	192	765	74	165	210	46	42	24	15	19	9	32	38	1	32	5	5	0	11	0	1	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	15099	6091	2676	3778	924	1039	507	813	231	278	229	110	93	56	51	34	28	36	52	10	41	9	7	5	12	3	1	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	10560	4203	1356	3227	255	747	193	693	69	188	185	48	52	21	17	19	11	29	46	3	39	4	3	1	11	1	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	15101	6239	2652	3851	936	1018	497	777	258	250	243	112	99	61	50	38	26	40	53	14	44	8	8	3	9	3	1	0	0	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	10554	4324	1365	3303	264	743	206	644	72	159	194	49	54	27	17	22	9	31	48	4	40	3	3	1	7	1	1	0	0	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	15141	6219	2642	3711	906	985	474	812	255	243	230	119	103	68	47	42	26	43	56	16	43	12	8	5	8	4	3	2	0	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	10582	4296	1380	3175	230	722	211	686	72	160	172	60	57	27	14	26	8	32	51	4	37	9	3	1	6	2	1	2	0	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	15213	6200	2597	3598	891	936	440	806	255	231	264	123	99	71	39	41	24	41	70	17	51	11	11	5	10	3	3	2	1	4	3	1	4	1	0	0	0	1	0	0	0	0	0	0
0.03	north16_active	80	10646	4281	1405	3086	226	681	182	675	78	142	199	72	49	29	12	27	7	29	67	4	44	9	5	1	9	1	1	2	1	4	3	1	4	0	0	0	0	0	0	0	0	0	0	0
