label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45
0.03	north1_all	80	4094	5284	1151	1471	420	429	229	178	96	93	133	57	59	40	30	12	19	7	14	7	4	4	2	7	0	1	5	1	0	2	3	0	0	1	3	2	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	1903	3471	602	916	186	232	121	92	52	49	84	30	33	17	21	5	8	5	10	2	3	0	0	3	0	0	5	1	0	2	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	4043	5644	1181	1510	382	454	258	186	103	101	130	48	64	38	32	10	20	5	12	12	5	3	2	7	3	3	7	1	1	1	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1864	3748	634	942	168	261	132	100	59	58	79	26	38	17	20	4	10	3	8	4	3	0	0	3	3	1	7	1	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4018	5676	1178	1533	393	446	260	172	104	101	135	51	53	30	30	12	22	11	9	10	5	3	2	4	3	8	7	3	1	3	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1811	3734	606	959	169	259	140	98	57	56	69	29	28	15	14	4	15	6	7	5	3	1	0	2	3	6	7	3	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4011	5430	1124	1473	412	439	245	174	106	107	116	41	60	29	35	17	23	14	5	11	7	4	2	3	4	10	6	2	2	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1807	3619	547	943	181	239	132	91	52	59	54	20	33	12	19	7	14	9	2	7	4	3	0	3	3	8	6	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4066	5581	1103	1459	408	420	228	153	97	112	103	49	55	37	32	22	17	16	6	6	9	5	2	1	6	13	2	2	1	3	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	1806	3697	547	918	188	224	117	79	46	68	48	23	32	20	18	9	11	11	2	6	5	4	0	1	5	12	2	2	0	2	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
