label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	north1_all	80	1370	464	264	173	141	85	89	44	27	21	52	14	14	7	19	1	16	38	2	3	9	3	3	1	6	0	0	1	2	16	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	700	114	63	63	27	31	60	7	7	6	43	7	4	2	18	0	15	37	1	0	8	1	2	1	6	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1409	462	282	180	139	84	90	49	26	21	48	17	14	6	15	3	20	36	0	3	6	3	3	5	7	11	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	777	114	75	69	25	34	63	6	8	6	40	7	3	2	15	1	19	35	0	0	6	1	3	5	6	11	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1408	472	264	183	128	88	109	38	29	20	42	18	16	7	14	3	19	62	0	2	3	1	5	6	1	14	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	784	121	64	74	24	40	81	6	13	6	35	6	3	2	13	1	17	61	0	0	2	0	5	6	0	14	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1388	467	266	176	117	81	101	44	36	19	39	22	12	7	8	4	19	55	0	3	2	0	5	7	1	14	1	0	0	11	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	741	108	61	71	18	38	79	6	19	4	34	8	4	1	7	1	18	53	0	1	1	0	5	7	0	14	1	0	0	11	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	1414	476	263	182	107	82	101	42	35	17	37	16	8	3	18	4	28	53	2	3	15	1	7	4	0	7	1	0	0	16	0	0	0	0	0	1	1	0	0	0	0
0.03	north5_active	80	765	113	50	79	17	40	77	7	15	4	31	8	3	0	16	1	25	51	0	1	14	0	7	3	0	7	1	0	0	16	0	0	0	0	0	1	1	0	0	0	0
0.03	north6_all	80	1450	478	263	179	110	77	108	39	38	25	57	20	4	5	21	5	32	33	2	1	14	1	7	6	0	3	1	0	14	5	0	0	0	2	0	1	1	0	0	0	0
0.03	north6_active	80	808	108	44	80	18	34	82	11	14	5	49	10	3	2	19	1	30	31	0	1	14	0	7	5	0	3	1	0	14	5	0	0	0	2	0	1	1	0	0	0	0
0.03	north7_all	80	1445	479	280	194	106	90	110	39	31	24	46	19	5	7	23	3	31	56	2	1	16	1	4	6	1	6	1	0	14	5	0	0	0	2	0	0	1	0	0	0	0
